"","X","A_58a","A_58b","A_67a","A_67b","A_117a","A_117b","A_128a","A_128b","A_162a","A_162b","A_212a","A_212b","A_282b","A_282d","A_285a","A_285b","A_483b","A_483c","A_689a","A_689b","A_755c","A_755d","A_1442d","A_1442e","A_L6ab","A_L6.b","A_L8a","A_L8c","A_L10a","A_L10b","B_99b","B_99c","B_107b","B_107c","B_139a","B_139c","B_190b","B_190c","B_226a","B_226c","B_272b","B_272c","B_292a","B_292b","B_317b","B_317c","B_365a","B_365b","B_367b","B_367c","B_2607a","B_2607b","B_L5d","B_L5a","B_L7a","B_L7b","B_L9a","B_L9c","B_pyauma","B_pyaumc","FoldChange","p.value"
"62","ENSG00000004809",2.18,2.42,1.31,1.12,2.51,1.97,1.84,1.1,2.6,1.11,1.03,3.1,1.88,1.49,1.35,1.47,2.04,1.82,5.98,5,1.59,1.58,0.94,1.46,1.83,1.99,0.88,0.75,1.25,3.63,1.22,1.62,2.45,0.23,1.77,0.96,1.64,1.59,1.17,1.51,1.78,1.3,0.95,1,1.46,1.4,1.36,1.1,1.33,1.5,2.39,2.17,0.88,1.32,1.81,1.85,1.59,1.26,3.18,1.55,1.45147058823529,0.0131397439906678
"71","ENSG00000004961",19.82,27.3,24.65,14.55,25.11,19.89,16.22,22.97,17.82,19.75,15.2,18.88,18.56,21.19,23.56,25.49,21.35,16.76,17.45,24.35,23.62,21.88,21.94,22.98,18.5,22.8,19.35,26.26,19.72,15.42,21.04,21.25,21.71,19.17,23.33,24.05,24.05,21.97,23.39,15.82,24.68,22.27,24.91,24.77,23.79,21.35,23.03,21.8,23.57,22.47,16.84,17.52,19.48,17.4,15.61,15.98,19.81,31.56,17.53,18.19,0.926827092381735,0.0485051558629758
"80","ENSG00000005100",18.87,24.75,24.93,20.42,20.03,17.12,13.28,22.72,11.9,22.81,13.9,12.23,16.93,15.6,22.4,22.26,16.93,17.15,11.62,20.29,16,17.24,18.32,13.43,13.54,11.15,18.04,21.1,24.79,12.21,19.04,17.53,23.85,21.62,21.47,17.09,22.2,23.69,24.52,18.08,20.3,22.71,21.79,20.68,16.43,16.94,22.79,26.5,20.84,18.73,18.51,15.85,14.97,14.99,15.58,17.43,21.4,28.72,15.79,22.48,0.846353656392092,0.00271390411112106
"193","ENSG00000007923",42.21,67.49,63.75,58.51,52.83,55.92,58.89,59.95,50.04,57.17,45.86,45.36,58.39,66.97,54.68,53.15,49.78,76.12,35,39.39,51.49,62.01,47.61,43.96,59.3,36.59,57.12,52.76,61.74,30.53,42.48,66.84,59.9,63.81,49.43,66.4,63.53,61.53,67.18,61.18,65.41,68.1,51.18,60.34,44.97,81.13,67.88,53.48,55.91,61.43,53.08,54.02,67.62,45.4,50.84,43.64,58.18,68.08,59.79,57.67,0.877650027230275,0.0126052427626061
"233","ENSG00000009335",44.27,47.24,48.6,49.2,44.25,43.5,42.11,46.69,35.92,45.89,36.84,32.87,47.76,48.77,45.41,42.08,49.94,55.92,22.56,33.24,51.87,62.16,32.9,38.04,48.37,38.38,48.86,44.7,37.67,16.68,30.72,74.57,42.04,58.3,41.01,87.12,42.94,52.01,47.2,43.86,50.19,51.13,41.31,39.7,39.01,70.32,49.54,37.54,59.68,46.92,36.39,34.04,53.21,31.22,40.52,32.29,38.41,54.48,57.92,51.75,0.847817586630348,0.0456805426403689
"402","ENSG00000020577",7.23,10.26,7.51,7.83,6.04,17.04,4.8,8.17,4.54,12.25,8.64,4.46,5.47,3.09,10.12,2.72,4.2,5.71,4.13,6.81,8.93,14.59,4,17.99,8.61,7.58,6.24,3.69,3.75,3.54,26.35,9.73,11.25,10.21,21.84,4.83,13.42,11.2,7.14,4.4,12.58,9.59,4.33,5.15,18.49,11.24,6.13,3.37,12.19,11.96,4.37,3.36,7.16,9.67,6.25,11.74,8.56,18.75,3.72,5.86,0.684699829597588,0.0419312103297552
"421","ENSG00000022976",15.59,14.59,25.77,23.53,15.92,14.93,23.32,18.58,26.62,30.79,20.72,17.52,17.87,24.31,18.91,15.19,25.63,26.75,21.74,14.44,15.44,20.93,22.59,14.93,18.11,18.18,18.01,15.61,26.54,18.7,12.66,14.82,16.33,17.06,12.39,15.75,17.33,22.09,16.92,21.71,21.99,23.54,16.92,24.14,8.91,21.9,16.98,12.29,18.18,22.16,17.67,15.48,32.62,22.47,17.68,14.59,22.76,19.36,15.93,22.99,1.148247014753,0.0496038111713038
"456","ENSG00000026297",25.21,18.88,23.25,20.07,19.5,23.94,18.11,16.03,21.83,16.65,21.18,22.93,25.56,30.64,15.73,21.66,19.22,28.9,29.01,25.04,19.78,38.06,18.24,23.41,34.48,35.13,13.01,16.64,12.8,59.59,17.73,19.2,17.34,18.74,19.01,21.35,16.71,18.08,21.6,27.01,18.16,17.72,17.54,19.15,12.04,24.66,15.87,16.61,22.42,24.61,16.31,18.01,24.37,20.96,18.16,15.98,20.74,13.44,26.98,17.63,1.25368205241868,0.0129127736704107
"577","ENSG00000041802",31.83,49.86,38.47,41.18,42.94,42.93,27.88,34.07,31.15,46.98,33.8,24.69,38.83,34.49,42.47,37.48,46.17,40.21,30.23,36.84,60.52,64.77,30.93,50.1,40.43,35.6,51.71,57.36,37.57,22.98,50.75,62.67,51.89,79.92,42.09,45.55,42.58,35.8,57.82,48.95,38.35,46.85,35.34,44.93,45.65,68.34,40.27,39.63,33.85,31.56,33.52,30.06,50.28,39.7,55.74,41.85,41.18,53.49,31.12,47.3,0.837144299463363,0.0240976650695378
"621","ENSG00000047410",79.23,110.53,63.66,76.97,90.65,88.03,82.07,84.63,78.01,78.88,73.55,65.23,85.19,68.25,77.09,79.34,89.86,71.25,96.32,128.79,90.12,81.84,84.32,78.04,58.26,83.49,89.14,101.82,97.28,104.1,65.73,109.07,80.76,97.12,80.78,92.53,67.94,70.53,50.98,58.7,50.72,56.34,63.83,84.15,57.39,83.62,84.41,79.7,50.21,47.34,107.57,79.1,73.4,61.95,63.88,62.89,85.79,84.06,83.68,120.2,1.16004603313326,0.0184655289314382
