"","X","A_58a","A_58b","A_67a","A_67b","A_117a","A_117b","A_128a","A_128b","A_162a","A_162b","A_212a","A_212b","A_282b","A_282d","A_285a","A_285b","A_483b","A_483c","A_689a","A_689b","A_755c","A_755d","A_1442d","A_1442e","A_L6ab","A_L6.b","A_L8a","A_L8c","A_L10a","A_L10b","B_99b","B_99c","B_107b","B_107c","B_139a","B_139c","B_190b","B_190c","B_226a","B_226c","B_272b","B_272c","B_292a","B_292b","B_317b","B_317c","B_365a","B_365b","B_367b","B_367c","B_2607a","B_2607b","B_L5d","B_L5a","B_L7a","B_L7b","B_L9a","B_L9c","B_pyauma","B_pyaumc","FoldChange","p.value"
"10","ENSG00000001167",42.36,45.07,33.04,38.84,40.6,36.63,20.67,37.97,22.61,52.56,25.92,18.73,41,34.5,46.46,38.91,43.45,43.04,25.67,24.65,37.42,51.74,35.91,32.42,34.87,25.23,41.41,52.74,51.09,22.38,25.98,74.53,40.8,45.21,41.56,58.09,35.68,36.77,39.77,31.44,38.75,31.24,41,44.43,37.67,97.92,50.28,39.82,35.4,36.98,47.17,45.14,36.71,27.51,34.4,28.66,43.46,56.89,38.39,51.59,0.848945284711268,0.0460244329129211
"40","ENSG00000003402",22.25,30.4,25.22,24.66,20.22,34.43,21.12,24.73,15.36,24.2,16.38,15.99,19.65,21.63,15.61,16.6,26.66,15.5,15.95,21.17,26.95,25.6,16.26,31.46,19.23,22.9,20.47,15.2,14.87,12.69,29.15,22.66,29.13,26.49,29.47,26.08,19.77,27.92,20.87,17.71,19.79,18.61,18.1,23.96,37.32,20.35,15.64,18.37,22.27,24.74,24.97,17.26,37.16,24.79,21.74,22.34,26.84,39.26,26.68,23.4,0.86425413459964,0.0288787258883537
"54","ENSG00000004534",112.6,152.94,114.57,150.73,112.27,130.27,185.68,118.34,232.63,164.52,139.36,192.28,143.25,143.05,106.38,86.16,120.85,149.66,213.14,150.19,137.64,168.07,180.27,126.61,174.97,205.71,122.45,114.3,116.58,206.91,83.36,218.99,111.5,133.99,133.19,180.94,131.51,135.58,108.28,177.73,117.71,116.38,91.95,114.56,86.58,167.73,113.21,97.46,111.84,108.22,93.96,109.91,214.71,140.37,129.54,87.62,127.89,107.26,154.9,172.01,1.15300808480799,0.0381292661855109
"75","ENSG00000005020",4.8,10.06,4.12,3.63,3.35,3.64,1.68,5.85,1.87,3.33,3.38,1.95,6.77,4.85,3.06,2.69,13.62,6.55,1.69,1.6,5.75,4.18,5.13,2.84,6.71,5,4.79,3.65,3.41,2.08,2.18,14.39,2.27,8.15,5.66,12.31,5.48,8.85,5.54,2.12,11.5,4.24,4.55,3.02,1.62,8.9,4.52,2.43,8.53,6.85,5.59,5.66,9.55,4.46,8.6,3.79,5.78,7.56,9.88,6.26,0.694018082422204,0.0127078244805673
"80","ENSG00000005100",18.87,24.75,24.93,20.42,20.03,17.12,13.28,22.72,11.9,22.81,13.9,12.23,16.93,15.6,22.4,22.26,16.93,17.15,11.62,20.29,16,17.24,18.32,13.43,13.54,11.15,18.04,21.1,24.79,12.21,19.04,17.53,23.85,21.62,21.47,17.09,22.2,23.69,24.52,18.08,20.3,22.71,21.79,20.68,16.43,16.94,22.79,26.5,20.84,18.73,18.51,15.85,14.97,14.99,15.58,17.43,21.4,28.72,15.79,22.48,0.882891854212308,0.0239015718608387
"138","ENSG00000006468",31.05,52.28,38.47,42.98,68.32,38.81,6.15,22.75,9.79,17.9,21.52,9.32,41.73,44.71,42.25,36.42,46.27,29.46,34.22,23.89,35.88,35.83,18.47,62.18,51.03,37.1,44.12,40.07,22.96,17.23,51.43,61.01,103.37,129.81,35.85,31.66,29.5,23.02,33.62,23.02,20.9,19.9,34.17,23.1,100.7,29.34,33.9,35.94,21.06,24.86,112.47,62.53,60.95,39.59,57.21,59.56,35.07,48.33,29.22,34.23,0.7280619360715,0.0393496403250353
"185","ENSG00000007392",106.75,124.66,145.85,151.89,114.86,85.08,256.82,162.45,292.44,188.8,162.79,224.32,133.03,129.21,107.67,89.18,114.04,144.27,204.63,146.92,108.76,137.39,140.92,112.69,140.67,177.18,124.65,107.67,112.2,242.56,79.84,135.26,102.2,104.99,91.26,106.42,168.9,142.76,131.6,182.45,180.54,155.18,99.05,143.67,68.91,154.36,126.44,93.82,168.8,145.79,78.95,122.41,160.29,117.66,120.1,71.81,136.78,87.53,151.61,121.36,1.19719042109024,0.0294448771458026
"193","ENSG00000007923",42.21,67.49,63.75,58.51,52.83,55.92,58.89,59.95,50.04,57.17,45.86,45.36,58.39,66.97,54.68,53.15,49.78,76.12,35,39.39,51.49,62.01,47.61,43.96,59.3,36.59,57.12,52.76,61.74,30.53,42.48,66.84,59.9,63.81,49.43,66.4,63.53,61.53,67.18,61.18,65.41,68.1,51.18,60.34,44.97,81.13,67.88,53.48,55.91,61.43,53.08,54.02,67.62,45.4,50.84,43.64,58.18,68.08,59.79,57.67,0.900668199251029,0.0219931593230277
"314","ENSG00000012174",19.53,27.86,17.3,20.19,19.45,23.62,12.16,18.56,8.41,19.65,13.83,8.93,22.03,13.05,21.34,16.36,28.15,16.95,11.68,11.24,20.22,16.87,14.57,20.8,19.96,11.63,17.42,12.8,14.01,7.24,16.54,25.92,17.45,16.22,21.08,20.72,18.8,21.77,12.04,12.19,16.71,16.01,14.87,17.31,19.85,22.08,24.26,14.71,20.51,22.56,18.85,18.9,19.79,22.56,21.13,16.66,18.93,16.39,26.77,25.22,0.876924410540915,0.049872082161132
"438","ENSG00000023909",22.39,32.19,13.71,18.47,13.68,25.63,7.19,7.04,6.51,6.09,13.41,7.39,15.04,8.81,13.07,11.91,17.52,9.66,11.09,13.13,29.42,15.64,11.23,27.1,10.28,17.45,18.2,14,10.8,5.91,33.89,26.31,28.77,11.66,34.97,22.59,13.1,15.6,12.03,8.54,11.64,11.41,14.38,13.97,49.59,15.58,17.76,13.57,17.7,13.87,14.77,9.35,18.51,18.5,14.26,22.95,23.4,96.24,16.72,18.31,0.678126074319467,0.0439399221638613
