KCNE3	hsa:10008
HDAC6	hsa:10013
C17orf107	hsa:100130311
TMEM262	hsa:100130348
TMEM221	hsa:100130519
PET100	hsa:100131801
CDH4	hsa:1002
GNE	hsa:10020
WASHC1	hsa:100287171
USP17L11	hsa:100287178
NPIPA5	hsa:100288332
LIMS4	hsa:100288695
TMEM239	hsa:100288797
CDH5	hsa:1003
MTRNR2L1	hsa:100462977
MTRNR2L4	hsa:100463285
MTRNR2L6	hsa:100463482
MTRNR2L8	hsa:100463486
MTRNR2L10	hsa:100463488
MICA	hsa:100507436
TIMM23B	hsa:100652748
RWDD2B	hsa:10069
FMC1	hsa:100996928
NUBP1	hsa:10101
NPIPA7	hsa:101059938
NPIPA8	hsa:101059938
NPIPA7	hsa:101059953
NPIPA8	hsa:101059953
TBC1D3C	hsa:101060321
TBC1D3K	hsa:101060351
HIPK3	hsa:10114
CDH17	hsa:1015
LPAR6	hsa:10161
SLC25A15	hsa:10166
DHRS9	hsa:10170
RCL1	hsa:10171
CDK3	hsa:1018
RBM6	hsa:10180
MPP6	hsa:10200
CDK7	hsa:1022
MRPS31	hsa:10240
U2AF1L5	hsa:102724594
LAMC3	hsa:10319
HMG20B	hsa:10362
DLC1	hsa:10395
DRG1	hsa:10397
UBAC1	hsa:10422
CFDP1	hsa:10428
PPIE	hsa:10450
HOXB13	hsa:10481
CRTAP	hsa:10491
ZNF211	hsa:10520
KAT5	hsa:10524
JUNB	hsa:10535
ARFGEF1	hsa:10565
TACC2	hsa:10579
PRPF8	hsa:10594
TXNIP	hsa:10628
NPR2	hsa:10641
NPRL2	hsa:10641
IMP3	hsa:10643
CD226	hsa:10666
RRH	hsa:10692
CCT6B	hsa:10693
CAPN9	hsa:10753
CYP2D6	hsa:107987479
SEC24A	hsa:10802
EAF1	hsa:10847
PPP1R13L	hsa:10848
NMU	hsa:10874
EHMT2	hsa:10919
GPR75	hsa:10936
IMMT	hsa:10989
SLC27A5	hsa:10998
SLC27A3	hsa:11000
SPINK5	hsa:11005
ELP1	hsa:11014
IFT27	hsa:11020
VAX1	hsa:11023
MID2	hsa:11043
OGFR	hsa:11054
PRDM4	hsa:11108
BAZ2A	hsa:11176
CHKB	hsa:1120
GALNT6	hsa:11226
CHN1	hsa:1123
SAT2	hsa:112483
KLF8	hsa:11279
GABARAP	hsa:11337
CHRNA1	hsa:1134
AZIN2	hsa:113451
GALNT13	hsa:114805
LENG8	hsa:114823
OSBPL10	hsa:114884
SLC26A9	hsa:115019
KCTD12	hsa:115207
LRRC56	hsa:115399
ARHGEF25	hsa:115557
C12orf56	hsa:115749
DHRS1	hsa:115817
RAB3IP	hsa:117177
FTSJ3	hsa:117246
GALNT13	hsa:117248
CLCN3	hsa:1182
PSTK	hsa:118672
PIK3AP1	hsa:118788
CLIC1	hsa:1192
CLK2	hsa:1196
SLC36A4	hsa:120103
OR10AD1	hsa:121275
ANO4	hsa:121601
FOXN4	hsa:121643
TPPP2	hsa:122664
SOCS7	hsa:122809
TC2N	hsa:123036
SLC24A2	hsa:123041
CCR7	hsa:1236
NTAN1	hsa:123803
FOPNL	hsa:123811
ADH1A	hsa:124
CD300LB	hsa:124599
C17orf49	hsa:124944
ZFP3	hsa:124961
MRPL10	hsa:124995
LRRC25	hsa:126364
SHE	hsa:126669
COL1A1	hsa:1277
C1orf162	hsa:128346
COL4A3	hsa:1285
PROKR2	hsa:128674
COL5A1	hsa:1289
COL7A1	hsa:1294
LYG1	hsa:129530
RBM45	hsa:129831
COL9A3	hsa:1299
COL11A2	hsa:1302
AP1S3	hsa:130340
OSR1	hsa:130497
TMEM178A	hsa:130733
OTOL1	hsa:131149
ZPLD1	hsa:131368
LRRC15	hsa:131578
KLF6	hsa:1316
COL6A6	hsa:131873
TAMM41	hsa:132001
SYNPR	hsa:132204
LSMEM2	hsa:132228
ZFP42	hsa:132625
COX4I1	hsa:1327
GNPDA2	hsa:132789
C4orf36	hsa:132989
EGFLAM	hsa:133584
COX6B1	hsa:1340
CLVS2	hsa:134829
CPA2	hsa:1358
ADORA2B	hsa:136
CPN2	hsa:1370
CPT1B	hsa:1375
UNC5D	hsa:137970
ATF6B	hsa:1388
PTCHD1	hsa:139411
GCNT7	hsa:140687
BRI3BP	hsa:140707
SMCR8	hsa:140775
ZSWIM3	hsa:140831
CRYBB1	hsa:1414
CRYGS	hsa:1427
UBQLNL	hsa:143630
CSF3R	hsa:1441
PRICKLE1	hsa:144165
BEST3	hsa:144453
RAD9B	hsa:144715
ABHD12B	hsa:145447
MDP1	hsa:145553
NRG4	hsa:145957
CSPG4	hsa:1464
CSRP1	hsa:1465
ZNF688	hsa:146540
ZNF688	hsa:146542
CBLN2	hsa:147381
TMC4	hsa:147798
ZNF714	hsa:148206
CREB3L4	hsa:148327
CIART	hsa:148523
FAM163A	hsa:148753
BNIPL	hsa:149428
CCDC17	hsa:149483
COMMD7	hsa:149951
CBWD2	hsa:150472
CTSK	hsa:1513
GPR155	hsa:151556
PP2D1	hsa:151649
DPPA2	hsa:151871
KLB	hsa:152831
CCDC167	hsa:154467
FMC1	hsa:154791
VKORC1L1	hsa:154807
CYP2D6	hsa:1564
CYP2D6	hsa:1565
VPS13B	hsa:157680
CPN2	hsa:1585
CXorf38	hsa:159013
FAM122C	hsa:159091
DGKB	hsa:1607
FSIP1	hsa:161835
DBT	hsa:1629
ZNF114	hsa:163071
ZNF676	hsa:163223
SDE2	hsa:163859
TTC24	hsa:164118
LRRN4	hsa:164312
CABP7	hsa:164633
WBP1	hsa:1650
ZNF366	hsa:167465
SLC30A8	hsa:169026
PPP1R18	hsa:170954
CLYBL	hsa:171425
DHPS	hsa:1725
NQO1	hsa:1728
DIO2	hsa:1734
SAG	hsa:1755
ACAN	hsa:176
AGER	hsa:177
DYNC1H1	hsa:1778
DRD1	hsa:1812
RCAN1	hsa:1827
DUSP3	hsa:1845
DUSP5	hsa:1847
GPR183	hsa:1880
ECHS1	hsa:1892
AGO3	hsa:192669
AGO4	hsa:192670
EEF1G	hsa:1937
EEF2	hsa:1938
MEGF9	hsa:1955
EGFR	hsa:1956
CHN1	hsa:1959
KRTCAP3	hsa:200634
SPRED2	hsa:200734
KLHDC8B	hsa:200942
CENPV	hsa:201161
EMP1	hsa:2012
EMX2	hsa:2018
TMEM192	hsa:201931
KHDRBS2	hsa:202559
TUBB	hsa:203068
INTS6L	hsa:203522
TMEM31	hsa:203562
CLN8	hsa:2055
QARS	hsa:2058
