"","X","X67ND","X128ND","X162ND","X190ND","X212ND","X226ND","X272ND","X367ND","X67SD","X128SD","X162SD","X190SD","X212SD","X226SD","X272SD","X367SD","X67Nor","X128Nor","X162Nor","X212Nor","X190Nor","X226Nor","X272Nor","X367Nor","X67IL17","X128IL17","X162IL17","X212IL17","X190IL17","X226IL17","X272IL17","X367IL17","FoldChange","p.value"
"23","ENSG00000002549",18.628266,14.901734,15.12634,20.54245,18.092026,28.5050243,22.028366,22.812301,14.277137,23.03075,15.878334,19.931284,16.9044622,33.556329,23.039051,20.949234,20.278338,29.59743,21.934912,33.266598,36.565654,35.416964,29.65346,31.429095,21.929976,29.767354,38.860481521,33.896044,40.78807,30.057473,36.864164,26.506739,0.710935002821278,0.0211737185522956
"37","ENSG00000003249",70.23554,75.86606,65.7163307875,61.10204,62.74807,53.67392,59.96196,61.886571,71.606797,61.25442,78.822837256,41.909,73.17138,46.846591,60.081004,68.440841,60.769244,38.62695,40.989792,31.616179,45.659632,42.49688781,40.164616,35.123661,60.826028614,46.97377,39.23205,35.199554,37.034157,44.47943,34.889739,25.8046712157,1.16034481311362,0.0376332593567326
"46","ENSG00000004059",296.11733,279.44595,274.9796,216.47105,255.48028,263.0921,248.31745,242.88055,276.18903,291.9811,236.69513,201.57078,244.8255,259.16525,203.54988,251.97414,278.41374,254.97979,264.09661,249.00996,238.601688,232.3296,234.873559,213.832895,298.50399,257.166695,241.44704,178.27576,240.454484,215.41019,224.97818,201.6146,1.13933603543982,0.0395194994314138
"84","ENSG00000005175",30.64573,25.069903,28.468478,39.651504,32.27526,34.53365,32.66869,37.12354,33.90818,27.49515,19.86575,43.11875,33.26939,31.78348,26.220788726,26.01022,37.07671,38.280836,21.48944,19.8093,41.48817,31.9183,21.2246611,37.86753,39.049661,31.75603,40.75056,42.18409,40.91774,28.79161,36.74924,51.55731,0.808872669890988,0.0196330703316854
"85","ENSG00000005187",1.944367,4.290722,8.990389,9.736557,5.666865,8.014618,10.227531,12.53134,4.46773,8.6907678,6.74506,12.27062,1.492491,3.9805198,9.956786,4.14458,10.965572,13.588076,4.744076,2.8335533095,7.4678215,9.330067,9.334935,9.948097,10.818427,4.245633,12.620195,20.363562,5.234977,11.302772,9.946082,17.861342,0.515732393885704,0.0367411869647828
"132","ENSG00000006327",3.607688,3.3950845,2.758976,7.947021,2.4635423,8.18159,9.698309,10.2186250703,4.762902,4.093095,0.680651,11.13512,4.12041447,2.609492,11.284853,12.81866,14.164778,7.631534,8.3152,14.123684165,18.94817,23.52818,7.336874481,15.796269,17.905065,10.250546,11.53734,12.52472,6.977697,17.74519,11.44374,14.89995,0.339162323004324,0.000455318400214171
"176","ENSG00000007264",10.100604,6.557976,8.097802,3.88961,4.83287,1.907548,3.7588735476,5.989194,6.322055,8.5115828742,7.7380810926,12.59438,7.7661922699,3.0904923,5.597895,5.23112,7.9487740043,6.09943425,5.078934,1.054792,4.161438,3.302628,3.402043,2.6002,9.706268,3.1927101626,2.025312,8.41941,2.1713306,4.74667,2.094296,4.89223,1.90343021459526,0.0489808481050127
"216","ENSG00000008324",41.9983,32.91077,40.56075,29.33249,36.9648,32.4356,30.551325,33.83807,35.99754,32.7775,30.86207,16.84466,24.76512,35.16713,27.13102,26.7452,42.86828,34.84415,38.891,32.66807,31.733461,30.49784,48.3348,39.81584,33.268819,33.5961,34.3022,35.062894,43.91202,40.53484,33.8311,42.509091,1.20828835482889,0.0395136678789357
"249","ENSG00000010219",39.11105,34.569113,36.94322,51.968891,25.252095,58.00304,35.928338,53.541419,35.48083,66.029861702,38.894731,35.54196,40.984348,59.61272,52.490153,49.389075,28.510525,48.609822,29.139569,44.847459,55.395522,44.617447,25.503956,37.044138,42.092007,46.095322,32.891662,42.718192,43.189272,39.822289,38.164275,40.744951,0.681279221824476,0.0379570133683082
"273","ENSG00000010818",24.684092495,22.346727246,27.5260851277,19.6881413,17.56349,15.72975,14.0755443,14.610408396,19.261896405,21.2081402123,14.531453921,16.31963,11.8179418219,7.149912722,21.60362881,32.8294099086,48.3771184488,15.4407680495,14.4385600401,4.38679,13.181585,24.42812,9.488235,14.7669152406,41.3318766413,10.28755056,10.1000141328,22.1166157538,7.638804,7.888680001,19.6549251,23.1444539235,1.43704946733691,0.036588572545883
