TROAP	hsa:10024
WASHC1	hsa:100287171
PARP3	hsa:10039
SMC4	hsa:10051
MSANTD3-TMEFF1	hsa:100526694
CENPS-CORT	hsa:100526739
NOTCH2NLA	hsa:100996717
NOTCH2NLA	hsa:100996763
NPIPA7	hsa:101059938
NPIPA8	hsa:101059938
NPIPA7	hsa:101059953
NPIPA8	hsa:101059953
CDK2	hsa:1017
CDK6	hsa:1021
OLIG2	hsa:10215
LRRC17	hsa:10234
SPRY2	hsa:10253
SMIM11B	hsa:102723553
CBSL	hsa:102724560
EFS	hsa:10278
CDKN3	hsa:1033
TMEM123	hsa:10360
TUBB4A	hsa:10382
IFITM3	hsa:10410
YAP1	hsa:10413
SPON1	hsa:10418
FST	hsa:10468
CRTAP	hsa:10491
SEMA6C	hsa:10500
GABBR1	hsa:10537
HCST	hsa:10559
CENPF	hsa:1063
PDPN	hsa:10630
RAD51AP1	hsa:10635
CTSC	hsa:1075
ADCY2	hsa:108
CAST	hsa:10849
HCST	hsa:10870
EHMT2	hsa:10919
DBF4	hsa:10926
RBPMS	hsa:11030
RAB31	hsa:11031
UBE2C	hsa:11065
FAM107A	hsa:11170
EGLN3	hsa:112399
NXPH4	hsa:11247
PRR4	hsa:11272
TMEM123	hsa:114908
NOSTRIN	hsa:115677
CKS1B	hsa:1163
LYPD1	hsa:116372
CKS2	hsa:1164
OLIG1	hsa:116448
BORCS7	hsa:119032
CLIC1	hsa:1192
CPXM2	hsa:119587
TPP1	hsa:1200
CMTM3	hsa:123920
WFIKKN2	hsa:124857
DIPK1C	hsa:125704
C1orf194	hsa:127003
TYW3	hsa:127253
COL1A1	hsa:1277
COL1A2	hsa:1278
COL2A1	hsa:1280
COL3A1	hsa:1281
COL4A1	hsa:1282
COL4A5	hsa:1287
COL4A6	hsa:1288
COL9A2	hsa:1298
COL11A1	hsa:1301
COL11A2	hsa:1302
ADK	hsa:132
ATF6B	hsa:1388
SAMD10	hsa:140700
CRYM	hsa:1428
FGFBP3	hsa:143282
DNHD1	hsa:144132
NRG4	hsa:145957
CSNK2B	hsa:1460
CSRP2	hsa:1466
NOTUM	hsa:147111
APCDD1	hsa:147495
CCN2	hsa:1490
ODAPH	hsa:152816
SLC25A48	hsa:153328
AMOT	hsa:154796
MOSPD2	hsa:158747
AP2A2	hsa:161
DAXX	hsa:1616
ZNF408	hsa:161882
DCN	hsa:1634
DDC	hsa:1644
LIX1	hsa:167410
DHFR	hsa:1719
DPP6	hsa:1804
DUSP8	hsa:1850
EFL1	hsa:1942
EPHA2	hsa:1969
EMP3	hsa:2014
EMX2	hsa:2018
ENDOG	hsa:2021
TUBB	hsa:203068
ETV4	hsa:2118
ETV5	hsa:2119
TF	hsa:2152
FANCD2	hsa:2177
FBLN1	hsa:2192
LRTOMT	hsa:220074
MARCH8	hsa:220972
VSTM2A	hsa:222008
NYAP1	hsa:222950
FGF8	hsa:2253
FGFR1	hsa:2260
DENND3	hsa:22898
FAN1	hsa:22909
POMZP3	hsa:22932
FOXD1	hsa:2297
TPX2	hsa:22974
IGSF9B	hsa:22997
ABCF1	hsa:23
ALDOC	hsa:230
RAB21	hsa:23011
STK38L	hsa:23012
FOXM1	hsa:2305
FOXO1	hsa:2308
