"","X","X67ND","X128ND","X162ND","X190ND","X212ND","X226ND","X272ND","X367ND","X67SD","X128SD","X162SD","X190SD","X212SD","X226SD","X272SD","X367SD","X67Nor","X128Nor","X162Nor","X212Nor","X190Nor","X226Nor","X272Nor","X367Nor","X67IL17","X128IL17","X162IL17","X212IL17","X190IL17","X226IL17","X272IL17","X367IL17","FoldChange","p.value"
"18","ENSG00000001630",81.55392,46.2016,57.18398,86.89854,82.30319,60.6565,101.86346,73.38253,75.85842,59.5391,95.26387,88.3848,69.39677,50.48079,96.26316,71.88418,162.22545,145.76275,117.740466,122.45037,99.05933,108.980135,84.234,96.2169,113.501209,101.40621,101.62877,126.02079,83.08251,90.3377,90.73511,97.88857,1.41104924442592,0.0226884688800914
"35","ENSG00000003137",1.99493,5.01293,0.785644,4.393221,1.318457,4.83153,2.322582,2.0299666154,3.0129174,6.1041037,1.527202,5.9335,2.49897,5.868698,2.428949,2.205715,5.20946,2.9502948,1.785435,2.67759,8.053154,6.012349,5.58303,8.05972,4.064702,5.428876,4.3106232782,3.54479,1.808601,5.2752900037,2.8274,18.56463,0.455560291007881,0.00870400414273705
"46","ENSG00000004059",296.11733,279.44595,274.9796,216.47105,255.48028,263.0921,248.31745,242.88055,276.18903,291.9811,236.69513,201.57078,244.8255,259.16525,203.54988,251.97414,278.41374,254.97979,264.09661,249.00996,238.601688,232.3296,234.873559,213.832895,298.50399,257.166695,241.44704,178.27576,240.454484,215.41019,224.97818,201.6146,1.13794818568897,0.0098325363034551
"48","ENSG00000004142",96.4761,82.4547,81.16625,75.2551,71.6127,71.3132000474,86.4419,85.2685,95.5322,83.169,90.171,72.1038,86.4196,63.6936,83.383,90.36520333,88.7396,75.21942,85.0556,81.6563,74.8551,73.47968187,66.8849,71.1652,89.0584,78.8793,83.3928,65.3159,80.0034,70.0234000453,64.899,56.9997,1.1546381842534,0.0219686365586047
"68","ENSG00000004897",31.332445,47.382061,43.13812,53.95665749,36.35357,39.23437,35.81581,38.30324,33.17381,64.79002,42.21993,54.21383,41.04258,46.70172,37.790364493,42.61315133,42.936792,46.5984700103,26.824774,21.77354,59.044429,51.06305267,56.45348,68.71171,46.393866,61.06172,53.20758,73.383975,55.536766,41.6428974152,57.428456,77.23843,0.587121211442908,0.0188707342691809
"88","ENSG00000005206",127.30637,176.860112,158.10262,192.371420242,272.41874,134.26521,197.30779,204.46727,129.456169,143.13673,130.65828,126.5615,207.54456,88.931984,190.977644,168.67911,107.36497,132.443374,98.95988,70.79734,182.578657,129.54584,146.1906704728,138.143246,110.03960024,135.106384,147.6586396,140.41671,133.2268970134,126.77025,99.941593,136.50785,0.686662397157513,0.0354079440817877
"138","ENSG00000006468",22.20327,24.8271911487,12.8564669651,31.917651846,14.3111090524,43.7237428,15.366239,18.811883,27.6768563101,31.8831449109,14.401128,25.073331,14.1798717,40.7239625027,17.901834,27.91002401,24.753025,26.1528105291,23.6742223234,21.86680463,30.12161102,25.7709685088,29.2241207351,28.9533495,28.25783337,26.6891271718,19.5076666722,27.1271661636,24.064912,34.8123032,23.175391,19.902485,0.845505570323883,0.0152556309624592
"153","ENSG00000006712",56.1846,76.84508,56.22029,51.867384,61.27436,55.56369,63.9529,65.178352,61.60984,65.76332,56.218165,47.0612,58.89519,51.51744,63.253656,61.067454,68.708301,72.602358,78.293579,69.194104,58.282477,65.3081,64.23563,68.08994,62.373646,58.822517,66.850662,61.368396,65.984154,69.361764,60.248514,59.45839,1.12848816061614,0.0348529345494134
"204","ENSG00000008130",67.0255233479,74.396936,71.9108,59.1434403,74.95764,59.24177,74.477556,66.73188,54.70363,55.95698,79.51989,66.0350806583,69.6262,51.640526,58.6413340681,63.95024545,48.7053367,57.5043908,52.787509,43.3645760377,70.775974,56.311190143,71.3158424475,62.183986,65.2140810011,63.026047,48.443237,68.03971,59.4656291998,52.48661148,60.570048245,61.51662,0.776561448927353,0.0220984013838345
"214","ENSG00000008311",18.5144,20.1674,18.47967,18.5958,19.71262,36.01005,24.399813,20.14539,14.7746334718,17.19273,18.262796,19.12178,20.1828591689,35.72276,29.57476,15.45159,20.62068,25.5744300015,12.252673767,12.70946519,33.62695,23.407273,31.59978,35.69323,18.472976,24.09595,25.72662218,44.8711244717,28.217718,27.59226,35.61675,46.550638,0.572338394746548,0.020364342769071
