AASS hsa:10157
ABCF1 hsa:23
ABHD16A hsa:7920
ABLIM3 hsa:22885
ACACA hsa:31
ACAD11 hsa:84129
ACHE hsa:43
ACTC1 hsa:70
ADAM33 hsa:80332
ADAMTS19 hsa:171019
ADAMTS6 hsa:11174
ADAMTS9 hsa:56999
ADAP1 hsa:11033
ADARB1 hsa:104
ADCYAP1 hsa:116
ADD3 hsa:120
ADGRA2 hsa:25960
ADGRL2 hsa:23266
AEBP1 hsa:165
AFF1 hsa:4299
AFMID hsa:125061
AFP hsa:174
AFP hsa:7726
AGAP2 hsa:116986
AGAP5 hsa:729092
AGAP9 hsa:642517
AGPAT1 hsa:10554
AGR2 hsa:10551
AHNAK hsa:79026
AHSG hsa:197
AIG1 hsa:51390
AJUBA hsa:84962
AKR1C2 hsa:1646
ALB hsa:213
AMER3 hsa:205147
AMH hsa:268
ANKRD30BL hsa:554226
ANKRD34A hsa:284615
ANLN hsa:54443
ANO4 hsa:121601
ANP32E hsa:81611
ANPEP hsa:290
ANXA8 hsa:653145
ANXA8 hsa:728113
ANXA8L1 hsa:728113
AP2A2 hsa:161
AP3B1 hsa:8546
APBA2 hsa:321
APCDD1 hsa:147495
APOA1 hsa:335
APOA2 hsa:336
APOB hsa:338
APOBEC3C hsa:27350
APOE hsa:348
AQP1 hsa:358
AQP1 hsa:84182
AQP7 hsa:364
AQR hsa:9716
ARAP1 hsa:116985
ARC hsa:23237
ARC hsa:8996
ARG2 hsa:384
ARHGAP11A hsa:9824
ARHGAP28 hsa:79822
ARHGAP36 hsa:158763
ARHGDIG hsa:398
ARHGEF19 hsa:128272
ARL4D hsa:379
ARMCX1 hsa:51309
ARPP21 hsa:10777
ARRDC4 hsa:91947
ARSI hsa:340075
ARX hsa:10054
ARX hsa:170302
ASB13 hsa:79754
ASCC3 hsa:10973
ASCL1 hsa:429
ASPHD1 hsa:253982
ATAD2 hsa:29028
ATAT1 hsa:79969
ATCAY hsa:85300
ATP11C hsa:286410
ATP13A1 hsa:57130
ATP1A3 hsa:478
ATP2B3 hsa:492
ATP6V1G2 hsa:534
ATP8A2 hsa:51761
ATP9A hsa:10079
AURKB hsa:9212
AXIN2 hsa:8313
B3GALNT1 hsa:8706
B3GNT5 hsa:84002
BAMBI hsa:25805
BARHL2 hsa:343472
BAZ1A hsa:11177
BBS7 hsa:55212
BCAM hsa:4059
BCAM hsa:587
BCAT1 hsa:586
BCL11B hsa:64919
BCL2L12 hsa:83596
BEX1 hsa:55859
BEX1 hsa:84707
BMERB1 hsa:89927
BMP4 hsa:652
BMP5 hsa:653
BMPR1B hsa:658
BNC2 hsa:54796
BOC hsa:91653
BPIFC hsa:254240
BRCA1 hsa:672
BRD2 hsa:6046
BRSK1 hsa:84446
BSCL2 hsa:26580
BUB1 hsa:699
C11orf96 hsa:387763
C18orf32 hsa:497661
C1QL1 hsa:10882
C1orf216 hsa:127703
C1orf53 hsa:388722
C1orf54 hsa:79630
C21orf58 hsa:54058
C2CD6 hsa:151254
C4A hsa:720
C5orf34 hsa:375444
C6orf118 hsa:168090
CACHD1 hsa:57685
CACNA1A hsa:773
CACNA2D3 hsa:55799
CACNG5 hsa:27091
CACNG8 hsa:59283
CALD1 hsa:800
CALML4 hsa:91860
CAMK1 hsa:8536
CAMK2A hsa:815
CAMK2B hsa:816
CAPN6 hsa:827
CASKIN1 hsa:57524
CBLB hsa:868
CBSL hsa:102724560
CBSL hsa:875
CCDC150 hsa:284992
CCDC183 hsa:84960
CCDC184 hsa:387856
CCDC189 hsa:90835
CCKBR hsa:887
CCL2 hsa:6347
CCN1 hsa:3491
CCN1 hsa:5530
CCN1 hsa:890
CCN4 hsa:8840
CCNA2 hsa:890
CCNI2 hsa:645121
CD163L1 hsa:283316
CD164 hsa:8763
CD248 hsa:57124
CD37 hsa:951
CD44 hsa:960
CD46 hsa:4179
CD9 hsa:928
CDC27 hsa:996
CDC42EP5 hsa:148170
CDC45 hsa:8318
CDC6 hsa:990
CDC7 hsa:8317
CDCA3 hsa:83461
CDH11 hsa:1009
