NAALAD2	hsa:10003
ZNF730	hsa:100129543
TSTD1	hsa:100131187
NBPF10	hsa:100132406
HDAC5	hsa:10014
TROAP	hsa:10024
CMC4	hsa:100272147
SH2D3C	hsa:10044
MAMLD1	hsa:10046
MTRNR2L6	hsa:100463482
SMIM18	hsa:100507341
ARX	hsa:10054
PTPRO	hsa:10076
ATP9A	hsa:10079
CDH11	hsa:1009
NOTCH2NLA	hsa:100996717
NOTCH2NLA	hsa:100996763
NET1	hsa:10103
NPIPA7	hsa:101059938
NPIPA7	hsa:101059953
NBPF19	hsa:101060226
TBC1D3L	hsa:101060376
NBPF26	hsa:101060684
CDH15	hsa:1013
AASS	hsa:10157
SORBS3	hsa:10174
CDK3	hsa:1018
CDK6	hsa:1021
OLIG2	hsa:10215
RCAN2	hsa:10231
RAMP2	hsa:10266
SIK1B	hsa:102724428
CBSL	hsa:102724560
NET1	hsa:10276
CDKN2D	hsa:1032
TMEM123	hsa:10360
NDRG1	hsa:10397
MYL9	hsa:10398
ADARB1	hsa:104
WFDC2	hsa:10406
YAP1	hsa:10413
SPON1	hsa:10418
FST	hsa:10468
ZBTB18	hsa:10472
FBLN5	hsa:10516
CIB2	hsa:10518
P3H3	hsa:10536
GABBR1	hsa:10537
AGR2	hsa:10551
AGPAT1	hsa:10554
FAP	hsa:1056
IFI44	hsa:10561
IFITM2	hsa:10581
MAB21L2	hsa:10586
SCGN	hsa:10590
TXNIP	hsa:10628
PDPN	hsa:10630
POSTN	hsa:10631
RGS14	hsa:10636
IGF2BP3	hsa:10643
DMRT2	hsa:10655
DTL	hsa:10673
PAK6	hsa:106821730
FUT9	hsa:10690
CORIN	hsa:10699
TBR1	hsa:10716
PLK4	hsa:10733
CTSC	hsa:1075
ARPP21	hsa:10777
CYP2D6	hsa:107987479
NAPB	hsa:10801
CPLX2	hsa:10814
CPLX1	hsa:10815
CYP46A1	hsa:10858
ME3	hsa:10873
C1QL1	hsa:10882
PPARGC1A	hsa:10891
MMP24	hsa:10893
RUNDC3A	hsa:10900
SMAP2	hsa:10902
EHMT2	hsa:10919
IFI44L	hsa:10964
ASCC3	hsa:10973
RBPMS	hsa:11030
ADAP1	hsa:11033
DDX52	hsa:11056
STMN2	hsa:11075
PTPN21	hsa:11099
EMILIN1	hsa:11117
RCN3	hsa:11123
CHGB	hsa:1114
FAP	hsa:11146
FAM107A	hsa:11170
ADAMTS6	hsa:11174
BAZ1A	hsa:11177
SEC23IP	hsa:11196
POLI	hsa:11201
FZD10	hsa:11211
EGLN3	hsa:112399
NXPH4	hsa:11247
STX1B	hsa:112755
L3HYPDH	hsa:112849
CHRM5	hsa:1133
SLC2A13	hsa:114134
MBD6	hsa:114785
SLC25A25	hsa:114789
SORCS1	hsa:114815
KLHL29	hsa:114818
LENG8	hsa:114823
TMEM123	hsa:114908
NOSTRIN	hsa:115677
CKMT1B	hsa:1159
CTHRC1	hsa:115908
ADCYAP1	hsa:116
OSR2	hsa:116039
PHACTR3	hsa:116154
CYYR1	hsa:116159
ARAP1	hsa:116985
AGAP2	hsa:116986
TWIST2	hsa:117581
PARD3B	hsa:117583
CLCN4	hsa:1183
CLIC1	hsa:1192
