ABCD2 hsa:225
ABLIM1 hsa:3983
ACSBG1 hsa:23205
ACTN2 hsa:88
ADAM32 hsa:203102
ADAMTS15 hsa:170689
ADAMTS18 hsa:170692
ADAMTSL1 hsa:92949
ADCY7 hsa:113
ADCY8 hsa:114
ADCYAP1R1 hsa:117
ADHFE1 hsa:137872
ADORA2B hsa:136
ADRA1A hsa:146
ADRA1A hsa:148
AK3L1 hsa:205
AK3L1 hsa:50808
AKR1C3 hsa:8644
ALDH1L1 hsa:10840
ALDH4A1 hsa:8659
ALDH7A1 hsa:501
ALDOC hsa:230
ALPK2 hsa:115701
AMOTL2 hsa:51421
ANGPT1 hsa:284
ANK3 hsa:288
ANKFN1 hsa:162282
ANKRD44 hsa:91526
AP2M1 hsa:1173
AQP4 hsa:361
AQP7 hsa:364
ARAP2 hsa:116984
ARHGAP18 hsa:93663
ARHGAP29 hsa:9411
ARHGEF17 hsa:9828
ARHGEF4 hsa:50649
ARID5A hsa:10865
ARL6IP6 hsa:151188
ARNTL2 hsa:56938
ASCL1 hsa:429
ASS1 hsa:445
ASTN1 hsa:460
ATF3 hsa:467
ATG4C hsa:84938
ATL3 hsa:25923
ATOH8 hsa:84913
ATP1B2 hsa:482
ATP8A1 hsa:10396
AUTS2 hsa:26053
AXIN2 hsa:8313
B3GALT1 hsa:8708
B3GALT5 hsa:10317
B4GALT5 hsa:9334
BAG3 hsa:9531
BAI1 hsa:575
BLVRA hsa:644
BMI1 hsa:100532731
BMI1 hsa:648
BOC hsa:91653
BSCL2 hsa:26580
BZW2 hsa:28969
C10orf118 hsa:55088
C10orf72 hsa:196740
C11orf41 hsa:25758
C13orf38 hsa:728591
C14orf149 hsa:112849
C16orf93 hsa:90835
C17orf61 hsa:254863
C17orf75 hsa:64149
C1QTNF6 hsa:114904
C1orf183 hsa:55924
C1orf62 hsa:254268
C21orf63 hsa:59271
C2CD2 hsa:25966
C4A hsa:720
C4orf22 hsa:255119
C6orf142 hsa:90523
C8orf79 hsa:57604
C9orf125 hsa:84302
C9orf21 hsa:195827
CA11 hsa:56287
CA11 hsa:770
CA13 hsa:377677
CA14 hsa:23632
CACNA2D2 hsa:9254
CACNA2D3 hsa:55799
CACNG7 hsa:59284
CADPS2 hsa:93664
CAMK1D hsa:57118
CASP1 hsa:834
CAT hsa:10249
CAT hsa:1384
CAT hsa:847
CATSPERB hsa:79820
CAV2 hsa:858
CCDC144A hsa:9720
CCNG1 hsa:900
CD34 hsa:947
CD9 hsa:928
CDC42EP3 hsa:10602
CDK5RAP2 hsa:55755
CELSR2 hsa:1952
CENPQ hsa:55166
CEP78 hsa:84131
CFI hsa:3426
CHMP1B hsa:57132
CHST15 hsa:51363
CHST9 hsa:83539
CLN8 hsa:2055
CMIP hsa:80790
CNGA3 hsa:1261
CNKSR3 hsa:154043
CNN3 hsa:1266
CNTN2 hsa:6900
CNTN3 hsa:5067
COBL hsa:23242
COL12A1 hsa:1303
COL4A1 hsa:1282
COL4A2 hsa:1284
COQ2 hsa:27235
CPD hsa:1362
CPD hsa:9455
CPS1 hsa:1373
CPS1 hsa:1589
CRISPLD1 hsa:83690
CRTC3 hsa:64784
CSPG5 hsa:10675
CTSC hsa:1075
CYFIP2 hsa:26999
CYP26A1 hsa:1592
CYTSB hsa:92521
CYYR1 hsa:116159
DACH1 hsa:1602
DAG1 hsa:1605
DBI hsa:1622
DBI hsa:706
DCC hsa:1630
DCHS2 hsa:54798
DCT hsa:1638
DDIT4L hsa:115265
DDX60L hsa:91351
DEPDC6 hsa:64798
DGKE hsa:8526
DISP1 hsa:84976
DLGAP1 hsa:9229
DLL1 hsa:28514
DNHD1 hsa:144132
DOCK7 hsa:85440
DUSP1 hsa:11266
DUSP1 hsa:1843
DUSP4 hsa:1846
DYNC1LI2 hsa:1783
EBF1 hsa:1879
EBF3 hsa:22924
EBF3 hsa:253738
ECEL1 hsa:9427
EDIL3 hsa:10085
EDNRB hsa:1910
EFHD1 hsa:80303
EFNA5 hsa:1946
EGF hsa:1950
EGLN3 hsa:112399
