GNPDA1	hsa:10007
ZNF737	hsa:100129842
TST	hsa:100131187
FNTB	hsa:100529261
BMI1	hsa:100532731
EDIL3	hsa:10085
NET1	hsa:10103
RASGRP1	hsa:10125
RASA4	hsa:10156
FARP1	hsa:10160
LPAR6	hsa:10161
WASF2	hsa:10163
INADL	hsa:10207
TRIB1	hsa:10221
CAT	hsa:10249
NET1	hsa:10276
B3GALT5	hsa:10317
NOD1	hsa:10392
ATP8A1	hsa:10396
IFITM3	hsa:10410
SPON1	hsa:10418
LRRN2	hsa:10446
FAM3C	hsa:10447
SEMA4B	hsa:10509
IFI44	hsa:10561
SLC34A2	hsa:10568
IFITM2	hsa:10581
CDC42EP3	hsa:10602
MYL12A	hsa:10627
RASL10A	hsa:10633
CSPG5	hsa:10675
CTSC	hsa:1075
TRAF3IP2	hsa:10758
ALDH1L1	hsa:10840
PDE10A	hsa:10846
ARID5A	hsa:10865
PPARGC1A	hsa:10891
SLC38A3	hsa:10991
RAB31	hsa:11031
SLC35D2	hsa:11046
WWP1	hsa:11059
FOXN3	hsa:1112
LSM6	hsa:11157
POLB	hsa:11232
EGLN3	hsa:112399
DUSP1	hsa:11266
KLF12	hsa:11278
C14orf149	hsa:112849
ADCY7	hsa:113
PIK3IP1	hsa:113791
ADCY8	hsa:114
FMNL2	hsa:114793
GALNT13	hsa:114805
KLHL29	hsa:114818
RHPN1	hsa:114822
C1QTNF6	hsa:114904
ZNF618	hsa:114991
MARCH3	hsa:115123
DDIT4L	hsa:115265
ALPK2	hsa:115701
CYYR1	hsa:116159
ARAP2	hsa:116984
ADCYAP1R1	hsa:117
GALNT13	hsa:117248
AP2M1	hsa:1173
LRIG3	hsa:121227
SLAIN1	hsa:122060
TC2N	hsa:123036
CNGA3	hsa:1261
CNN3	hsa:1266
COL4A1	hsa:1282
COL4A2	hsa:1284
COL12A1	hsa:1303
LYPD6	hsa:130574
STXBP5	hsa:134957
ADORA2B	hsa:136
CPD	hsa:1362
CPS1	hsa:1373
ADHFE1	hsa:137872
PXDNL	hsa:137902
NACC2	hsa:138151
CAT	hsa:1384
S100A16	hsa:140576
HECTD2	hsa:143279
XRRA1	hsa:143570
DNHD1	hsa:144132
ADRA1A	hsa:146
SLC47A2	hsa:146802
ZNF583	hsa:147949
ADRA1A	hsa:148
ARL6IP6	hsa:151188
GPR155	hsa:151556
FAM19A4	hsa:151647
GLIPR2	hsa:152007
IGSF11	hsa:152404
PLEKHG4B	hsa:153478
CNKSR3	hsa:154043
NKAIN2	hsa:154215
PRAGMIN	hsa:157285
ESCO2	hsa:157570
FAM84B	hsa:157638
RLBP1L1	hsa:157807
LINGO2	hsa:158038
CPS1	hsa:1589
CYP26A1	hsa:1592
DACH1	hsa:1602
DAG1	hsa:1605
DBI	hsa:1622
ANKFN1	hsa:162282
SLFN5	hsa:162394
DCC	hsa:1630
DCT	hsa:1638
HFM1	hsa:164045
PRICKLE2	hsa:166336
LIX1	hsa:167410
PRSS35	hsa:167681
RNF133	hsa:168433
ADAMTS15	hsa:170689
ADAMTS18	hsa:170692
NQO1	hsa:1728
DYNC1LI2	hsa:1783
DUSP1	hsa:1843
DUSP4	hsa:1846
EBF1	hsa:1879
S1PR1	hsa:1901
S1PR3	hsa:1903
EDNRB	hsa:1910
EFNA5	hsa:1946
EGF	hsa:1950
CELSR2	hsa:1952
C9orf21	hsa:195827
EIF2A	hsa:1965
C10orf72	hsa:196740
LCTL	hsa:197021
EIF4B	hsa:1975
ZNF626	hsa:199777
ADAM32	hsa:203102
EPAS1	hsa:2034
EPB41	hsa:2035
SLC44A5	hsa:204962
AK3L1	hsa:205
CLN8	hsa:2055
F2R	hsa:2149
FABP4	hsa:2167
