"","Gene","C1","C2","C4","C6","P1","P2","P3","P4","log2_fold_change","p_value","q_value","significant"
"86","DRAXIN",2.9282,1.65102,2.13017,1.68677,6.55269,14.2027,14.1196,17.185,2.63237,5e-05,0.00164804,"yes"
"93","TNFRSF1B",0.0296008,0.261378,0.0636015,0.0472424,0.0776092,0.0748909,14.3043,0.912089,5.25731,5e-05,0.00164804,"yes"
"116","EFHD2",6.74944,7.11271,5.62637,6.99515,6.06155,11.0314,27.7149,13.3913,1.13589,0.0038,0.0437854,"yes"
"147","C1orf151-NBL1",13.6664,13.0136,12.7131,13.5955,13.259,16.3829,14.4282,67.115,1.06921,0.00335,0.0399072,"yes"
"170","EPHB2",13.3764,9.6219,16.0385,9.36018,22.6401,24.1127,63.3734,21.6975,1.44562,5e-05,0.00164804,"yes"
"192","LDLRAP1",0.295834,0.515145,0.661271,0.551064,0.461801,0.571145,2.29832,5.18314,2.07319,0.00235,0.0311051,"yes"
"205","LIN28A",0.21001,0.041363,0.163479,0.0808604,0.105723,0.259019,2.92179,1.92624,3.39448,0.002,0.0280947,"yes"
"208","RPS6KA1",1.05973,1.14035,1.45608,0.681335,3.00851,3.02531,10.026,8.35412,2.49277,5e-05,0.00164804,"yes"
"239","EPB41",3.27777,4.39097,5.19999,4.88385,7.27154,19.6415,16.6299,14.1881,1.70132,5e-05,0.00164804,"yes"
"240","PTPRU",0.0833601,0.632161,0.182128,0.087724,0.476874,2.08997,6.08524,8.4701,4.11905,5e-05,0.00164804,"yes"
"263","KIAA1522",2.26594,2.11967,1.67362,2.72867,3.01061,3.09888,14.3237,9.50668,1.76848,7e-04,0.0134565,"yes"
"266","ADC",38.4305,42.8456,17.13,27.3378,28.0437,23.9177,4.16162,5.24506,-1.03493,0.0011,0.0181879,"yes"
"316","CTPS1",9.97856,6.16026,6.68677,7.28904,10.8943,16.6324,16.3429,17.6431,1.03042,9e-04,0.0159439,"yes"
"356","PLK3",2.12495,1.88196,1.63652,2.22562,3.17836,7.00454,22.9749,16.6517,2.66216,5e-05,0.00164804,"yes"
"363","AKR1A1",62.5772,54.0473,60.0384,72.4443,80.9519,53.6688,182.049,115.806,0.795853,0.0033,0.039467,"yes"
"374","DMBX1",0.267262,0.0466584,0.0760308,0.0712049,0.0886804,0.112578,4.37222,0.149067,3.35624,0.0026,0.0331664,"yes"
"388","CDKN2C",6.06736,7.79076,30.1004,30.5531,6.53395,5.44381,4.04575,4.3804,-1.86862,5e-05,0.00164804,"yes"
"414","PCSK9",0.174925,0.0246536,0.0611688,0.0177091,0.0543941,0.0878979,2.66347,6.87041,5.11891,0.00015,0.0041716,"yes"
"422","NFIA",18.5087,24.3736,16.4873,18.6093,18.5421,12.7373,0.23041,3.00963,-1.17567,0.00045,0.00976765,"yes"
"440","DNAJC6",2.53994,2.86953,1.92653,1.21452,4.84384,11.3882,2.49818,1.60761,1.25008,0.00205,0.0285059,"yes"
"449","GADD45A",2.71285,7.25727,9.33484,6.48252,7.69846,9.48498,72.4011,74.7627,2.672,5e-05,0.00164804,"yes"
"476","IFI44L",6.21974,16.0624,11.7793,14.9136,10.7659,10.7306,0.205207,3.48766,-0.959235,0.00225,0.0301775,"yes"
"478","LPHN2",9.43343,11.2443,9.81679,10.299,11.8836,19.9842,35.0692,52.5059,1.54991,5e-05,0.00164804,"yes"
"486","CYR61",6.04675,8.5979,10.9117,6.79198,17.7684,9.63819,17.9936,86.6142,2.02893,5e-05,0.00164804,"yes"
"498","LRRC8B",4.75941,11.4992,10.7819,9.64042,4.80762,6.40538,2.89103,4.06148,-1.01383,5e-04,0.0105649,"yes"
"500","LRRC8D",22.6468,28.9757,31.1604,24.9244,17.7346,18.2392,11.2405,8.68962,-0.946094,0.00065,0.0127547,"yes"
"538","VCAM1",56.4845,89.9622,82.3868,93.1663,60.2152,38.2469,28.3539,22.0484,-1.11306,5e-05,0.00164804,"yes"
"588","PIFO",50.0239,45.1894,41.0491,26.804,20.703,28.2676,3.43086,6.10964,-1.47868,5e-05,0.00164804,"yes"
"606","OLFML3",0.81016,1.03021,0.479661,0.382945,0.931079,1.15212,0.220955,24.6671,3.3188,5e-05,0.00164804,"yes"
"609","VANGL1",2.96083,3.0086,3.32247,2.33714,1.21487,1.53165,0.0540657,0.888105,-1.65655,8e-04,0.01476,"yes"
"612","ATP1A1",25.1902,28.0003,28.6599,24.8154,29.0737,28.6228,92.65,59.6303,0.977133,0.00125,0.0198856,"yes"
"626","PHGDH",106.622,101.745,132.588,160.083,112.598,70.4954,62.6649,40.0646,-0.809797,0.00305,0.0373631,"yes"
"678","ECM1",0.62203,0.252896,0.251859,0.427306,0.887821,0.71443,0.527912,17.9601,3.69235,5e-05,0.00164804,"yes"
"687","MLLT11",93.8825,89.6043,106.903,112.765,150.498,264.744,226.608,125.641,0.928819,0.00075,0.0141304,"yes"
"744","CKS1B",17.8983,24.4161,58.9117,48.9254,32.0279,32.9083,155.785,99.3807,1.09211,0.00105,0.0176701,"yes"
