GPI	hsa:10007
CDH3	hsa:1001
ELN	hsa:100130933
CD24	hsa:100133941
SH2D3C	hsa:10044
MICA	hsa:100507436
C1orf151-NBL1	hsa:100532736
PTPRU	hsa:10076
CDH10	hsa:1008
EDIL3	hsa:10085
CDH11	hsa:1009
NET1	hsa:10103
ARL4A	hsa:10124
RASGRP1	hsa:10125
CDH3	hsa:1013
TRAP1	hsa:10131
CDH18	hsa:1016
CALCRL	hsa:10203
EIF1	hsa:10209
OLIG2	hsa:10215
TRIB1	hsa:10221
LRRC23	hsa:10233
CAT	hsa:10249
CDKN1A	hsa:1026
FSTL3	hsa:10272
SIK1	hsa:102724428
NET1	hsa:10276
CDKN1C	hsa:1028
CDKN2B	hsa:1030
CDKN2C	hsa:1031
CDKN2D	hsa:1032
AKR1A1	hsa:10327
CDO1	hsa:1036
SEMA3A	hsa:10371
TUBB3	hsa:10381
TUBB4A	hsa:10382
SCML2	hsa:10389
CDR2	hsa:1039
ATP8A1	hsa:10396
NDRG1	hsa:10397
MYL9	hsa:10398
IFITM3	hsa:10410
SPON2	hsa:10417
SPON1	hsa:10418
CDC42EP2	hsa:10435
LRRN2	hsa:10446
FST	hsa:10468
VAT1	hsa:10493
UNC13B	hsa:10497
CARM1	hsa:10498
GRIP1	hsa:10499
SEMA6B	hsa:10501
FBLN5	hsa:10516
LEPREL2	hsa:10536
IFITM2	hsa:10581
CENPB	hsa:1059
LST1	hsa:10599
CDC42EP3	hsa:10602
PDLIM5	hsa:10611
ARID3B	hsa:10620
IVNS1ABP	hsa:10625
MYL12A	hsa:10627
CENPF	hsa:1063
POSTN	hsa:10631
GAS2L1	hsa:10634
IGF2BP1	hsa:10642
IGF2BP2	hsa:10644
SPINT2	hsa:10653
CELF2	hsa:10659
CSPG5	hsa:10675
DLL3	hsa:10683
FAM189B	hsa:10712
CERS1	hsa:10715
SLC12A7	hsa:10723
CTSC	hsa:1075
PLK2	hsa:10769
MTHFD2	hsa:10797
ADCY2	hsa:108
NAPB	hsa:10801
CPLX2	hsa:10814
CPLX1	hsa:10815
ALDH1L1	hsa:10840
PPP1R17	hsa:10842
PDE10A	hsa:10846
GADD45G	hsa:10912
SUB1	hsa:10923
EHD1	hsa:10938
BTG3	hsa:10950
MLLT11	hsa:10962
IFI44L	hsa:10964
CKAP4	hsa:10970
RAB31	hsa:11031
GTF2A1L	hsa:11036
ABHD2	hsa:11057
UBE2C	hsa:11065
RAPGEF4	hsa:11069
CHD3	hsa:1107
STMN2	hsa:11075
TPPP	hsa:11076
PRSS23	hsa:11098
EMILIN1	hsa:11117
KAT7	hsa:11143
CORO1A	hsa:11151
FAM107A	hsa:11170
ADAMTS7	hsa:11173
LZTS1	hsa:11178
CELF3	hsa:11189
H19	hsa:112267876
CHN2	hsa:1124
GPR176	hsa:11245
NXPH4	hsa:11247
CMTM7	hsa:112616
DUSP1	hsa:11266
NRM	hsa:11270
PHF21B	hsa:112885
AHNAK2	hsa:113146
CASC4	hsa:113201
C12orf57	hsa:113246
ACOT7	hsa:11332
CHRNA1	hsa:1134
SCRG1	hsa:11341
TEX261	hsa:113419
RNF13	hsa:11342
ADC	hsa:113451
CHRNB4	hsa:1143
EFHC1	hsa:114327
GPRIN1	hsa:114787
GRIN1	hsa:114787
TMEM132B	hsa:114795
GALNT13	hsa:114805
KLHL29	hsa:114818
C1QTNF4	hsa:114900
ZNF618	hsa:114991
FAM46B	hsa:115572
ALPK2	hsa:115701
FOXP4	hsa:116113
CYYR1	hsa:116159
CKS1B	hsa:1163
OLIG1	hsa:116448
MRGPRF	hsa:116535
WDR17	hsa:116966
ARAP2	hsa:116984
ADCYAP1R1	hsa:117
WFIKKN1	hsa:117166
GALNT13	hsa:117248
IP6K3	hsa:117283
CLCN3	hsa:1182
OLFM3	hsa:118427
ANTXR2	hsa:118429
ADD3	hsa:120
CLN5	hsa:1203
TMEM132D	hsa:121256
AK7	hsa:122481
FRMD6	hsa:122786
TMEM132E	hsa:124842
SLC43A2	hsa:124935
FAM69C	hsa:125704
COX6B2	hsa:125965
CNGA3	hsa:1261
PLK3	hsa:1263
CNN1	hsa:1264
CNN2	hsa:1265
C2CD4C	hsa:126567
CNTFR	hsa:1271
CNTN1	hsa:1272
F3	hsa:1272
DMBX1	hsa:127343
COL1A1	hsa:1277
GOT1	hsa:127845
COL2A1	hsa:1280
SPATA17	hsa:128153
PIFO	hsa:128344
GAB1	hsa:128869
COL5A1	hsa:1289
COL6A2	hsa:1292
COL6A3	hsa:1293
COL8A2	hsa:1296
LPCAT4	hsa:129642
NEU4	hsa:129807
ICA1L	hsa:130026
RFTN2	hsa:130132
COL12A1	hsa:1303
LYPD6	hsa:130574
TRIM71	hsa:131405
KLF6	hsa:1316
IL31RA	hsa:133396
EMB	hsa:133418
NADKD1	hsa:133686
C5orf49	hsa:134121
DNAJC21	hsa:134218
COL26A1	hsa:136227
CPS1	hsa:1373
RALYL	hsa:138046
CRABP1	hsa:1381
CRABP2	hsa:1382
CAT	hsa:1384
S100A16	hsa:140576
CHODL	hsa:140578
C20orf112	hsa:140688
RIMS4	hsa:140730
ADAMTS14	hsa:140766
FAM65C	hsa:140876
SIRPA	hsa:140885
SREK1	hsa:140890
SAMD8	hsa:142891
FGFBP3	hsa:143282
SESN3	hsa:143686
LAYN	hsa:143903
C11orf84	hsa:144097
LYRM5	hsa:144363
B3GALTL	hsa:145173
CSNK1G2	hsa:1455
VWA3A	hsa:146177
MGAT5B	hsa:146664
SLC47A2	hsa:146802
WDR16	hsa:146845
CST3	hsa:1471
KLC2	hsa:147700
CILP2	hsa:148113
CDC42EP5	hsa:148170
CPS1	hsa:148811
CTGF	hsa:1490
SHISA4	hsa:149345
SIK1	hsa:150094
CTPS1	hsa:1503
CTSK	hsa:1513
CTSO	hsa:1513
CTSL2	hsa:1515
GPR155	hsa:151556
CTSO	hsa:1519
IGSF11	hsa:152404
PAQR3	hsa:152559
PPM1K	hsa:152926
RASGEF1B	hsa:153020
CYBA	hsa:1535
CYP1B1	hsa:1545
ADRBK1	hsa:156
ADRBK2	hsa:157
FAM84B	hsa:157638
PRUNE2	hsa:158471
RIBC1	hsa:158787
CPS1	hsa:1589
DAB2	hsa:1601
DACH1	hsa:1602
CD55	hsa:1604
DAG1	hsa:1605
DGKB	hsa:1607
REM2	hsa:161253
MDGA2	hsa:161357
DBC1	hsa:1620
DBI	hsa:1622
DCC	hsa:1630
LGI4	hsa:163175
DCN	hsa:1634
DDB2	hsa:1643
GADD45A	hsa:1647
DECR1	hsa:1666
DCLK2	hsa:166614
DES	hsa:1674
LIX1	hsa:167410
ZNF467	hsa:168544
TMEM64	hsa:169200
GLIS3	hsa:169792
ZCCHC12	hsa:170261
PWWP2B	hsa:170394
ADAMTS15	hsa:170689
PPP1R18	hsa:170954
ABHD3	hsa:171586
DGUOK	hsa:1716
DHCR7	hsa:1717
DHCR24	hsa:1718
DIO3	hsa:1735
DLG3	hsa:1741
DMD	hsa:1756
DNAH6	hsa:1768
DNAH9	hsa:1770
DNMT3B	hsa:1789
JAG1	hsa:182
ARID3A	hsa:1820
AGT	hsa:183
DTNA	hsa:1837
DUSP1	hsa:1843
DUSP4	hsa:1846
DUSP7	hsa:1849
ECE1	hsa:1889
AGT	hsa:189
ECM1	hsa:1893
ABCA1	hsa:19
LPAR1	hsa:1902
EDNRA	hsa:1909
EFNA2	hsa:1943
EFNA3	hsa:1944
EFNA5	hsa:1946
EFNB1	hsa:1947
EFNB3	hsa:1949
MEGF6	hsa:1953
EGFR	hsa:1956
EGR2	hsa:1959
AHR	hsa:196
VSTM4	hsa:196740
EPHA2	hsa:1969
EIF4EBP1	hsa:1978
ELAVL2	hsa:1993
ELAVL3	hsa:1995
A2M	hsa:2
ELF4	hsa:2000
ELN	hsa:2006
CENPV	hsa:201161
EMP1	hsa:2012
EN2	hsa:2020
RANBP3L	hsa:202151
ENG	hsa:2022
ENO2	hsa:2026
AK1	hsa:203
TUBB	hsa:203068
EPB41	hsa:2035
EPHB1	hsa:2047
EPHB2	hsa:2048
C3orf58	hsa:205428
NR2F6	hsa:2063
EYA4	hsa:2070
ETS2	hsa:2114
ETV1	hsa:2115
F2R	hsa:2149
F2RL1	hsa:2150
F3	hsa:2152
FABP5	hsa:2171
ACSL1	hsa:2180
ALDH1B1	hsa:219
FBLN1	hsa:2192
FASN	hsa:2194
C10orf107	hsa:219621
ZCCHC24	hsa:219654
ARMC3	hsa:219681
UNC5B	hsa:219699
FBLN2	hsa:2199
FBN1	hsa:2200
VWCE	hsa:220001
FBN2	hsa:2201
EFEMP1	hsa:2202
HEPACAM	hsa:220296
OAF	hsa:220323
FAM181B	hsa:220382
BEND6	hsa:221336
LBH	hsa:221491
FKTN	hsa:2218
GPC2	hsa:221914
THSD7A	hsa:221981
FDFT1	hsa:2222
FDPS	hsa:2224
SCUBE3	hsa:222663
ALDH9A1	hsa:223
FDXR	hsa:2232
GPC4	hsa:2239
ALDH3A2	hsa:224
FGF1	hsa:2246
FGFR1	hsa:2260
GPC5	hsa:2262
FHL1	hsa:2273
NID2	hsa:22795
ITGA11	hsa:22801
IKZF2	hsa:22807
COPG1	hsa:22820
HSPA4L	hsa:22824
RNF44	hsa:22838
NLGN1	hsa:22871
SEC31A	hsa:22872
PLEKHA6	hsa:22874
INPP5F	hsa:22876
FKBP4	hsa:2288
ZHX2	hsa:22882
FKBP5	hsa:2289
EBF3	hsa:22924
HABP4	hsa:22927
SIRT2	hsa:22933
DKK1	hsa:22943
MAST1	hsa:22983
IGSF9B	hsa:22997
EXOSC7	hsa:23016
MYT1L	hsa:23040
TNIK	hsa:23043
KIF21B	hsa:23046
HECW1	hsa:23072
TTLL5	hsa:23093
RAP1GAP2	hsa:23108
HIC2	hsa:23119
GLT25D2	hsa:23127
PLXND1	hsa:23129
EPB41L3	hsa:23136
SEPT6	hsa:23157
ARL6IP1	hsa:23204
MLC1	hsa:23209
DTX4	hsa:23220
NUP210	hsa:23225
PLCB1	hsa:23236
COBL	hsa:23242
ATP11A	hsa:23250
LPHN2	hsa:23266
IQCE	hsa:23288
CUX2	hsa:23316
MAN2B2	hsa:23324
MAST1	hsa:23332
SYNM	hsa:23336
FN1	hsa:2335
MAML2	hsa:23373
COTL1	hsa:23406
CRB1	hsa:23418
TMED3	hsa:23423
TDRD7	hsa:23424
GRIP1	hsa:23426
OTP	hsa:23440
FOLR1	hsa:2348
HEY2	hsa:23493
FOLR1	hsa:2350
LRRC8B	hsa:23507
MMD	hsa:23531
RBFOX2	hsa:23543
SEZ6L	hsa:23544
FOSL2	hsa:2355
RASD2	hsa:23551
TSPAN12	hsa:23554
TSPAN15	hsa:23555
PHLDA3	hsa:23612
PPP1R15A	hsa:23645
SLC7A11	hsa:23657
PSD	hsa:23761
MAFF	hsa:23764
ARHGAP8	hsa:23779
LAMP5	hsa:24141
SLC17A8	hsa:246213
FTL	hsa:2512
FUT3	hsa:2525
FUT5	hsa:2527
CADM2	hsa:253559
EBF3	hsa:253738
ASPHD1	hsa:253982
EHBP1L1	hsa:254102
TTLL5	hsa:254173
PROSER2	hsa:254427
LPCAT4	hsa:254531
C8orf46	hsa:254778
GAB1	hsa:2549
PCSK9	hsa:255738
NPNT	hsa:255743
TMEM151A	hsa:256472
SERINC5	hsa:256987
FRMD3	hsa:257019
KIAA1549L	hsa:25758
CCDC19	hsa:25790
GCA	hsa:25801
GALC	hsa:2581
BACE2	hsa:25825
SULT4A1	hsa:25830
METTL7A	hsa:25840
SPEF1	hsa:25876
MXRA5	hsa:25878
PAMR1	hsa:25891
RNF19A	hsa:25897
HSPA12A	hsa:259217
SOSTDC1	hsa:25928
WWTR1	hsa:25937
HEATR5A	hsa:25938
C2CD2	hsa:25966
SIPA1L1	hsa:26037
CNTNAP2	hsa:26047
ERC2	hsa:26059
RAI14	hsa:26064
ARHGEF26	hsa:26084
GPSM1	hsa:26086
LDLRAP1	hsa:26119
TES	hsa:26136
KIF26A	hsa:26153
GAS6	hsa:2621
FBXL3	hsa:26224
PHGDH	hsa:26227
GATM	hsa:2628
GBA	hsa:2629
GBX2	hsa:2637
HEYL	hsa:26508
CERS1	hsa:2657
MSTN	hsa:2660
GFAP	hsa:2670
GFPT1	hsa:2673
GFRA1	hsa:2674
MIF	hsa:268
GHR	hsa:2690
GJA1	hsa:2697
ANKRD1	hsa:27063
NSG1	hsa:27065
VPS41	hsa:27072
TSPAN13	hsa:27075
BBC3	hsa:27113
DKK2	hsa:27123
CPAMD8	hsa:27151
SALL3	hsa:27164
GLS	hsa:27165
SULT1C4	hsa:27233
TNFRSF21	hsa:27242
SESN1	hsa:27244
SRPX2	hsa:27286
PDLIM3	hsa:27295
BHLHE22	hsa:27319
UBE2S	hsa:27338
GLI3	hsa:2737
BIN1	hsa:274
GLRA2	hsa:2742
MAT2B	hsa:27430
GLS	hsa:2744
GLUD1	hsa:2746
GMPR	hsa:2766
GNG7	hsa:2788
GOLGA3	hsa:2802
GOT1	hsa:2805
GP1BB	hsa:2812
GPI	hsa:2821
GPM6A	hsa:2823
GPM6B	hsa:2824
MKX	hsa:283078
CDH20	hsa:28316
PGM2L1	hsa:283209
KLHL35	hsa:283212
RCOR2	hsa:283248
RASSF3	hsa:283349
PRTG	hsa:283659
METRNL	hsa:284207
LAMA1	hsa:284217
C3orf70	hsa:285382
RNF175	hsa:285533
RNF180	hsa:285671
RGMB	hsa:285704
ANK1	hsa:286
UG0898H09	hsa:286183
ATP11C	hsa:286410
GTF2A1L	hsa:286749
ANK2	hsa:287
MKNK2	hsa:2872
GRB10	hsa:2887
GRIA3	hsa:2892
GLUD1	hsa:2894
GRID2	hsa:2895
BZW2	hsa:28969
GRIK1	hsa:2897
GRIK2	hsa:2898
RGCC	hsa:28984
GRIK3	hsa:2899
GRIK2	hsa:2901
GRIN1	hsa:2902
GRIN2A	hsa:2903
NR3C1	hsa:2908
GRM7	hsa:2917
GUCY1A3	hsa:2982
GUCY1B3	hsa:2983
ST8SIA5	hsa:29906
DSE	hsa:29940
GYPC	hsa:2995
MDFIC	hsa:29969
PACSIN1	hsa:29993
H1F0	hsa:3005
ANXA2	hsa:302
HDAC2	hsa:3066
FHL1	hsa:3075
SOX8	hsa:30812
VSX1	hsa:30813
KCNIP1	hsa:30820
NRG1	hsa:3084
EHD4	hsa:30844
ANXA6	hsa:309
HIP1	hsa:3092
HLA-C	hsa:3107
ANXA11	hsa:311
HMGA1	hsa:3159
HNMT	hsa:3176
HOXA11	hsa:3207
APC	hsa:324
PRMT1	hsa:3276
HSPG2	hsa:3339
PPM1J	hsa:333926
HTR1D	hsa:3352
TNC	hsa:3371
ICAM1	hsa:3383
LUZP2	hsa:338645
B4GALNT4	hsa:338707
TMEM119	hsa:338773
VSX2	hsa:338917
ID1	hsa:3397
ADC	hsa:339896
ID3	hsa:3399
BEX5	hsa:340542
FREM2	hsa:341640
IDI1	hsa:3422
IFIT2	hsa:3433
IFIT1	hsa:3434
KIAA1211L	hsa:343990
SH3RF3	hsa:344558
IFNAR1	hsa:3454
RSPH4A	hsa:345895
MGAT3	hsa:346606
IGFBPL1	hsa:347252
AMIGO2	hsa:347902
APOE	hsa:348
RBPMS2	hsa:348093
IGF2	hsa:3481
SELV	hsa:348303
FAM131C	hsa:348487
IGFBP3	hsa:3486
IGFBP4	hsa:3487
IGFBP6	hsa:3489
CYR61	hsa:3491
WDR86	hsa:349136
IL1RAP	hsa:3556
SHROOM2	hsa:357
AQP1	hsa:358
IL11	hsa:3589
IL11RA	hsa:3590
IL13RA1	hsa:3597
IL13RA2	hsa:3598
AQP3	hsa:360
AQP4	hsa:361
IMPA2	hsa:3613
IMPDH1	hsa:3614
INPP5D	hsa:3635
INSIG1	hsa:3638
ITGA5	hsa:3678
ITGA7	hsa:3679
ITGB4	hsa:3691
ITGB5	hsa:3693
ITPR2	hsa:3709
JAG2	hsa:3714
JAK3	hsa:3718
JUP	hsa:3728
KAL1	hsa:3730
DRAXIN	hsa:374946
ARF1	hsa:375
KCND2	hsa:3751
LHFPL3	hsa:375612
ENHO	hsa:375704
KCNJ4	hsa:3761
KCNJ10	hsa:3766
KCNJ16	hsa:3773
ARF4	hsa:378
KCNN3	hsa:3782
KCNQ3	hsa:3786
ARL4D	hsa:379
FIBIN	hsa:387758
C12orf68	hsa:387856
C15orf52	hsa:388115
SBK1	hsa:388228
SHISA6	hsa:388336
RPRML	hsa:388394
FAM132A	hsa:388581
HES5	hsa:388585
S100A16	hsa:388697
MUSTN1	hsa:389125
ARHGEF37	hsa:389337
LIN28B	hsa:389421
SAMD5	hsa:389432
L1CAM	hsa:3897
IER5L	hsa:389792
C9orf171	hsa:389799
AFF3	hsa:3899
LRRC10B	hsa:390205
LAMA2	hsa:3908
LAMB1	hsa:3912
LAMP1	hsa:3916
ELFN1	hsa:392617
LDLR	hsa:3949
LIF	hsa:3976
LIMK1	hsa:3984
FADS1	hsa:3992
MEX3D	hsa:399664
LMO2	hsa:4005
SH2D5	hsa:400745
NCAM2	hsa:401
DTHD1	hsa:401124
VWA5A	hsa:4013
LOX	hsa:4015
LOXL1	hsa:4016
LOXL2	hsa:4017
FIGNL2	hsa:401720
LSS	hsa:4047
LTBP2	hsa:4053
LTBP2	hsa:4054
BCAM	hsa:4059
ARNTL	hsa:406
LUM	hsa:4060
ARRB1	hsa:408
SMAD7	hsa:4092
MAOA	hsa:4128
MAOB	hsa:4129
MAPT	hsa:4137
ACBD7	hsa:414149
PIM3	hsa:415116
MBP	hsa:4153
MBP	hsa:4155
CD46	hsa:4179
MFAP2	hsa:4237
MGAT3	hsa:4248
KITLG	hsa:4254
MGMT	hsa:4255
MGP	hsa:4256
ASAH1	hsa:427
MIF	hsa:4282
MKI67	hsa:4288
ASCL1	hsa:429
MMP2	hsa:4313
MMP11	hsa:4320
MMP14	hsa:4323
MMP16	hsa:4325
MMP17	hsa:4326
MN1	hsa:4330
DLG3	hsa:4356
MPP3	hsa:4356
CHN2	hsa:4359
ABCC1	hsa:4363
ASNS	hsa:440
IQSEC3	hsa:440073
TRIM67	hsa:440730
TMEM151B	hsa:441151
NRARP	hsa:441478
MSI1	hsa:4440
ASS1	hsa:445
AKAP2	hsa:445815
MT2A	hsa:4502
MT3	hsa:4504
MTM1	hsa:4534
FADS1	hsa:4593
MVD	hsa:4597
ASTN1	hsa:460
GADD45B	hsa:4616
MYH9	hsa:4627
ZFHX3	hsa:463
MYO1C	hsa:4641
MYO1D	hsa:4642
MYO1C	hsa:4643
NAB2	hsa:4665
ATF3	hsa:467
NCAM2	hsa:4685
NDP	hsa:4693
NEDD9	hsa:4739
NEFM	hsa:4741
NELL1	hsa:4745
NRP1	hsa:4745
NEFL	hsa:4747
NELL2	hsa:4753
NRP2	hsa:4753
ATP1A1	hsa:476
NEUROD1	hsa:4760
NEUROD2	hsa:4761
ATP1A2	hsa:477
NFIA	hsa:4774
ATP1A1	hsa:478
ATP1A3	hsa:478
NFIB	hsa:4781
NFIC	hsa:4782
NFIX	hsa:4784
ATP1A1	hsa:480
NGFR	hsa:4804
NHLH1	hsa:4807
SCML1	hsa:4810
NNMT	hsa:4837
NPY	hsa:4852
NOTCH2	hsa:4853
NPR3	hsa:4883
NPTX2	hsa:4885
ATP2A3	hsa:489
ATP2B1	hsa:490
NT5E	hsa:4907
NTRK3	hsa:4916
TKT	hsa:4921
INPP5F	hsa:4952
TNFRSF11B	hsa:4982
OPHN1	hsa:4983
OTX1	hsa:5013
P2RX3	hsa:5024
P2RX7	hsa:5027
PLA2G3	hsa:50487
COL5A3	hsa:50509
PRDX1	hsa:5052
SERPINE1	hsa:5054
PAK1	hsa:5058
NEUROG3	hsa:50674
PAPPA	hsa:5069
PAX3	hsa:5077
F11R	hsa:50848
RNF141	hsa:50862
PBX2	hsa:5089
CDON	hsa:50937
GOT1	hsa:51026
LAP3	hsa:51056
CERCAM	hsa:51148
EGFL7	hsa:51162
PCOLCE	hsa:5118
NUSAP1	hsa:51203
COPZ2	hsa:51226
PIPOX	hsa:51268
GOLM1	hsa:51280
CDK18	hsa:5129
NRN1	hsa:51299
CDH1	hsa:51343
ZMYND10	hsa:51364
AIG1	hsa:51390
PDE4A	hsa:5141
ACTL6B	hsa:51412
SCARA3	hsa:51435
EVL	hsa:51466
ISYNA1	hsa:51477
ANKFY1	hsa:51479
TRIAP1	hsa:51499
TRMT112	hsa:51504
PDE1B	hsa:5153
PDGFB	hsa:5155
PDGFRA	hsa:5156
HDAC7	hsa:51564
PDGFRB	hsa:5159
HMP19	hsa:51617
ENPP2	hsa:5168
CYB5R1	hsa:51706
SYT17	hsa:51760
MST4	hsa:51765
PER1	hsa:5187
PFKFB3	hsa:5209
PFKP	hsa:5214
CDK14	hsa:5218
PGF	hsa:5228
PGM5	hsa:5239
PHF1	hsa:5252
SERPINE2	hsa:5270
SERPINB9	hsa:5272
PIK3C2B	hsa:5287
PIK3CB	hsa:5291
PIM1	hsa:5292
PIK3R1	hsa:5295
PITX2	hsa:5308
PLAG1	hsa:5324
PLAGL1	hsa:5325
PLCL1	hsa:5334
LRP1B	hsa:53353
ADAM22	hsa:53616
PLXNA2	hsa:5362
S1PR5	hsa:53637
PMAIP1	hsa:5366
PMP2	hsa:5375
FXYD5	hsa:53827
FGFRL1	hsa:53834
C11orf24	hsa:53838
SLCO1C1	hsa:53919
UBL3	hsa:5412
PODXL	hsa:5420
TERF2IP	hsa:54386
NLGN3	hsa:54413
RASSF4	hsa:54453
FAM134B	hsa:54463
POU2F2	hsa:5452
SDK2	hsa:54549
NECAB2	hsa:54550
SPATA6	hsa:54558
MXRA8	hsa:54587
PPA1	hsa:5464
PPARD	hsa:5467
EPDR1	hsa:54749
DIRAS2	hsa:54769
NDE1	hsa:54820
WBP1L	hsa:54838
GDPD2	hsa:54857
ELOVL2	hsa:54898
