"","GENE_ID","A_58a","A_117b","A_282a","A_285b","A_483b","A_689b","A_755a","A_L8a","A_L10a","B_99b","B_107b","B_139a","B_292b","B_317b","B_365a","B_L7a","B_L9a","B_pyauma","FoldChange","p.value"
"53","ENSG00000004487",200.95,175.76,237.92,289.53,208.97,253.1,149.46,246.77,276.96,123.08,190.13,166.56,241.14,136.6,229.35,169.76,214.96,165.79,1.24554621130227,0.0450852902399074
"232","ENSG00000009307",456.93,375.86,417.43,568.29,467.69,352.97,408.4,474.86,461.75,252.8,391.63,363.06,433.88,361.05,447.11,375.37,398.72,403.93,1.16239879797523,0.0442648614218987
"451","ENSG00000025796",113.07,100.84,95.35,107.93,95.05,102.77,111.89,95.39,94.93,70.07,95.73,89.76,84.79,87.1,97.94,92.07,111.93,92.31,1.11624680540343,0.0329816021425942
"474","ENSG00000028839",78.25,54.61,54.11,80.86,103.31,81.61,54.7,77.19,65.61,40.51,55.42,54.24,64.53,47.39,67.56,51.68,52.35,80.07,1.26569343065693,0.0412850233192239
"506","ENSG00000033800",34.08,32.26,32.56,44.98,34.62,21.87,29.44,31.09,35.58,15.74,24.39,26.44,30.28,19.94,33.52,26.52,28.18,29.26,1.26554829897127,0.0216711268116878
"511","ENSG00000034510",2568.05,3809.85,4189.08,1880,3977.03,3897.23,3084.41,3893.77,2259.38,6908.73,5164.4,4323.62,3333.51,6627.32,2589.71,6204.61,4161.9,4021.08,0.682101808058543,0.0204301470614778
"526","ENSG00000035928",60.15,76.85,61.12,89.55,69.63,61.4,76.48,66.43,75.67,57.19,58.41,67.68,72.5,54.29,70.49,40.13,64.69,43.24,1.20555408421929,0.0288766591217293
"556","ENSG00000039123",67.13,56.77,67.49,77.66,77.22,47.35,61.96,65.25,72.23,31.75,47.95,54.32,59.16,61.28,58.2,54.95,48.31,56.4,1.25563177506775,0.00782375249201786
"613","ENSG00000046889",8.32,7.84,4.27,10.36,3.17,7.12,7.86,5.92,8.76,4.78,3.19,5.6,4.31,6.31,7.13,2.85,4.04,1.42,1.60534948271511,0.0140062898407331
"621","ENSG00000047410",79.23,88.03,127.39,79.34,89.86,128.79,97.29,89.14,97.28,65.73,80.76,80.78,84.15,57.39,84.41,63.88,85.79,83.68,1.27641755392749,0.0114667488855438
"712","ENSG00000053501",13.73,17.94,21.72,8.75,18.1,14.23,15.56,17.67,16.13,28.98,29.43,18.67,20.06,15.44,14.94,18.75,26.42,17.64,0.755687490148689,0.0368249533024441
"768","ENSG00000057019",61.62,54.27,39.44,92.15,60.79,44.75,56.66,55.14,72.65,30.05,37.8,47.24,50.14,52.35,62.61,33.49,44.55,47.31,1.32531932731666,0.0323004169060519
"779","ENSG00000057935",40.65,40.87,31.14,56.97,44.95,39.41,46.79,35.6,45.3,29.4,33.15,38.51,41.88,25.56,46.03,29.45,36.02,31.06,1.22703015495403,0.0304353409665499
