"","X","A_58a","A_58b","A_67a","A_67b","A_117a","A_117b","A_128a","A_128c","A_162a","A_162b","A_212a","A_212b","A_282a","A_282b","A_285a","A_285b","A_483b","A_483c","A_689a","A_689b","A_755a","A_755c","A_L8a","A_L8c","A_L10a","A_L10b","A_1442d","A_1442e","B_99b","B_99c","B_107b","B_107c","B_139a","B_139c","B_190b","B_190c","B_226b","B_226c","B_272b","B_272c","B_292a","B_292b","B_317b","B_317c","B_365a","B_365b","B_367a","B_367b","B_L7a","B_L7b","B_L9a","B_L9c","B_pyauma","B_pyaumc","B_L5d","B_L5e","FoldChange","p.value"
"10","ENSG00000001167",42.36,45.07,33.04,38.84,40.6,36.63,20.67,18.05,22.61,52.56,25.92,18.73,51.82,41,46.46,38.91,43.45,43.04,25.67,24.65,36.01,37.42,41.41,52.74,51.09,22.38,35.91,32.42,25.98,74.53,40.8,45.21,41.56,58.09,35.68,36.77,45.88,31.44,38.75,31.24,41,44.43,37.67,97.92,50.28,39.82,38.13,35.4,34.4,28.66,43.46,56.89,38.39,51.59,36.71,42.28,0.833600444822398,0.0375555774595736
"17","ENSG00000001629",51.9,59.56,58.39,63.36,38.82,55.28,32.73,23.94,29.11,62.17,31.34,24.48,57.55,49.93,45.8,34.72,67.81,49.71,17.13,19.97,57.66,65.46,46.68,44.33,32.78,10.3,53.63,59.01,35.2,86.72,42.19,57.33,49.2,92,50.07,59.45,39.53,26.8,48.37,58.78,34.14,40.96,41.51,73.48,43.64,33.62,55.48,43.94,58.33,45.29,49.86,53.68,50.62,61.76,77.68,88.81,0.829896425615974,0.0449505822223081
"62","ENSG00000004809",2.18,2.42,1.31,1.12,2.51,1.97,1.84,1.78,2.6,1.11,1.03,3.1,1.43,1.88,1.35,1.47,2.04,1.82,5.98,5,2.05,1.59,0.88,0.75,1.25,3.63,0.94,1.46,1.22,1.62,2.45,0.23,1.77,0.96,1.64,1.59,1.42,1.51,1.78,1.3,0.95,1,1.46,1.4,1.36,1.1,1.2,1.33,1.81,1.85,1.59,1.26,3.18,1.55,0.88,1.68,1.3747870528109,0.0321025857881114
"75","ENSG00000005020",4.8,10.06,4.12,3.63,3.35,3.64,1.68,1.82,1.87,3.33,3.38,1.95,3.37,6.77,3.06,2.69,13.62,6.55,1.69,1.6,2.86,5.75,4.79,3.65,3.41,2.08,5.13,2.84,2.18,14.39,2.27,8.15,5.66,12.31,5.48,8.85,1.62,2.12,11.5,4.24,4.55,3.02,1.62,8.9,4.52,2.43,5.22,8.53,8.6,3.79,5.78,7.56,9.88,6.26,9.55,18.85,0.604216578821275,0.00680703724076825
"80","ENSG00000005100",18.87,24.75,24.93,20.42,20.03,17.12,13.28,10.82,11.9,22.81,13.9,12.23,19.66,16.93,22.4,22.26,16.93,17.15,11.62,20.29,21.76,16,18.04,21.1,24.79,12.21,18.32,13.43,19.04,17.53,23.85,21.62,21.47,17.09,22.2,23.69,23.3,18.08,20.3,22.71,21.79,20.68,16.43,16.94,22.79,26.5,19.68,20.84,15.58,17.43,21.4,28.72,15.79,22.48,14.97,15.27,0.886970448985339,0.0334028521301827
"98","ENSG00000005448",55.75,50.39,67.23,58.77,45.99,49.11,98.81,82.26,97.22,64.12,76.5,88.23,47.85,49.71,51.32,43.09,44.06,52.1,93.93,72.46,49.1,55.45,54.05,44.85,62.1,156.37,45.98,56.27,73.47,20.69,48.02,41.05,59.47,30.95,61.7,64.04,69.6,74.06,65.98,80.3,57.77,62.73,45.89,33.05,40.12,48.83,62.26,68.08,46.8,61.3,52.71,39.33,35.01,46.02,40.95,34.9,1.23752286564556,0.028009917493973
"126","ENSG00000006125",201.36,235.89,261.79,229.99,228.56,228.43,179.46,168.58,156.02,238.12,187.92,155.62,270.37,269.99,208.7,206.66,272.43,240.28,119.82,129.72,258.92,249.77,250.14,183.48,186.69,98.3,190.65,200.08,169.35,269.88,265.22,329,242.81,296.63,244.21,248.24,199.07,166.91,253.17,241.31,171.36,193.29,186.04,255.71,209.16,187.47,249.74,249.82,239.55,206.51,257.85,177.1,239.58,277.56,259.47,280.01,0.884514515642657,0.0271399221151213
"169","ENSG00000007168",216.43,285.07,258.63,252.41,243.03,218.45,149.74,129.67,135.82,274.06,148.1,123.13,256.82,256.78,201.71,199.34,355.61,295.4,103.89,118.8,229.83,258.95,225.06,204.31,159.16,85.51,228.23,236.83,142.05,395.43,196.36,292.4,189.4,366.26,256.55,264.08,177.02,153.36,287.55,282.47,157.1,185.08,185.05,348.15,216.36,158.99,261.48,257.07,242.59,186.52,229.66,202.96,306.62,311.76,318.89,416.04,0.83734945794125,0.0367352680561218
"193","ENSG00000007923",42.21,67.49,63.75,58.51,52.83,55.92,58.89,46.18,50.04,57.17,45.86,45.36,63.04,58.39,54.68,53.15,49.78,76.12,35,39.39,54.41,51.49,57.12,52.76,61.74,30.53,47.61,43.96,42.48,66.84,59.9,63.81,49.43,66.4,63.53,61.53,60.23,61.18,65.41,68.1,51.18,60.34,44.97,81.13,67.88,53.48,55.8,55.91,50.84,43.64,58.18,68.08,59.79,57.67,67.62,56.29,0.886702294119063,0.00867317845126867
"201","ENSG00000008086",10.23,20.06,12.52,13.36,13.68,12.85,7.99,6.95,4.47,15.62,5.96,6.24,15.09,17.19,11.45,10.58,21.56,19.79,4.76,5.22,13.06,15.37,10.76,7.82,9.15,2.55,17.1,8.68,4.97,46.98,14.16,18.74,11.44,24.19,13.81,14.64,13.54,7.97,15.15,9.63,7.5,7.75,7.82,36.09,16.27,9.64,12.48,11.84,14.57,9.51,14.92,12.69,16.86,18.88,22.1,35.41,0.71195640084529,0.029027964361636
