WASHC1	hsa:100287171
MICA	hsa:100507436
CDH17	hsa:1015
LPAR6	hsa:10161
CDKN2B	hsa:1030
DLC1	hsa:10395
SPON2	hsa:10417
ADARB2	hsa:105
JUNB	hsa:10535
GABBR1	hsa:10537
EHMT2	hsa:10919
SPINK5	hsa:11005
DDX52	hsa:11056
CNMD	hsa:11061
PTPRT	hsa:11122
XKR4	hsa:114786
TUBGCP5	hsa:114791
OSBPL10	hsa:114884
KCTD12	hsa:115207
OLFM3	hsa:118427
CLIC1	hsa:1192
SOCS7	hsa:122809
TC2N	hsa:123036
COL3A1	hsa:1281
COL4A1	hsa:1282
COL5A1	hsa:1289
EMID1	hsa:129080
COL6A2	hsa:1292
COL6A3	hsa:1293
COL7A1	hsa:1294
SYNPR	hsa:132204
EGFLAM	hsa:133584
UNC5D	hsa:137970
ATF6B	hsa:1388
CRYM	hsa:1428
BEST3	hsa:144453
NRG4	hsa:145957
ARHGAP36	hsa:158763
DAXX	hsa:1616
LRRN4	hsa:164312
SLC30A8	hsa:169026
CLYBL	hsa:171425
AGER	hsa:177
DRD1	hsa:1812
DUSP5	hsa:1847
EGF	hsa:1950
EGR3	hsa:1960
SLC5A9	hsa:200010
EMX2	hsa:2018
TUBB	hsa:203068
EPHA5	hsa:2044
ETV5	hsa:2119
ALB	hsa:213
F2RL1	hsa:2150
UNC5B	hsa:219699
GPC5	hsa:2262
NID2	hsa:22795
ITGA11	hsa:22801
COBLL1	hsa:22837
ABCF1	hsa:23
PDZRN3	hsa:23024
FLT1	hsa:2321
COBL	hsa:23242
SATB2	hsa:23314
NEDD4L	hsa:23327
FN1	hsa:2335
FOLH1	hsa:2346
DAAM2	hsa:23500
FOS	hsa:2353
FOSL2	hsa:2355
RASD2	hsa:23551
LAMP5	hsa:24141
SLC17A8	hsa:246213
ALPL	hsa:249
METAP1D	hsa:254042
GABBR1	hsa:2550
GABRB2	hsa:2561
LMNTD2	hsa:256329
BAMBI	hsa:25805
PAMR1	hsa:25891
PRR3	hsa:25945
ADGRA2	hsa:25960
EGFL6	hsa:25975
MOXD1	hsa:26002
TENM4	hsa:26011
DNM3	hsa:26052
GAS1	hsa:2619
GATA2	hsa:2624
PCDH11Y	hsa:27328
GLRA2	hsa:2742
GNL1	hsa:2794
GPD1	hsa:2819
GPR12	hsa:2835
GPR26	hsa:2849
EPHA6	hsa:285220
CNPY1	hsa:285888
GRB14	hsa:2888
