"","ENSEML_ID.biotype.symbol","X553C2","X3113C4","iPS1_dup","X690C5","iPS1","iPSC6","iPSC2_dup","iPSC2","iPSC5","X22q1115","X22q1115_dup","X1220C2","X1804","X22q1110C5","X22q1130","X22q1130_dup","X22q1160","X537","X1275C9","FoldChange","p.value"
"17","ENSG00000001631.10|protein_coding|KRIT1",18.3441,17.6224,18.3738,13.3369,18.8777,17.1838,20.4547,15.8879,14.8728,18.6454,15.818,23.7928,19.2484,19.0702,23.2063,18.4601,20.2614,18.8913,19.7881,1.14526688871091,0.0271309046032298
"37","ENSG00000003987.9|protein_coding|MTMR7",7.9475,6.56381,7.78487,10.9228,10.8839,6.35816,8.8276,11.7678,8.03225,7.22056,4.91283,4.57691,7.52695,7.36031,4.07972,9.03373,3.62247,9.58892,6.03555,0.727817782795492,0.0195679880339203
"46","ENSG00000004534.10|protein_coding|RBM6",88.1222,72.5729,87.442,76.0482,83.9396,74.3207,105.661,71.6301,97.9819,113.737,86.5834,96.8337,89.1753,115.454,108.157,108.62,102.212,102.223,97.5337,1.21216001560474,0.00272623596148678
"65","ENSG00000005075.11|protein_coding|POLR2J",22.7558,16.0789,18.9801,20.609,18.1358,17.0563,14.9733,22.132,24.2831,15.8573,18.9946,15.9209,14.2263,19.3655,14.5738,10.7122,18.2922,17.7066,19.2324,0.847942707693468,0.0482576486774112
"78","ENSG00000005302.13|protein_coding|MSL3",24.6161,21.991,18.5489,19.5067,27.8394,20.3781,23.3173,20.3563,18.7419,23.9315,19.5333,30.4486,26.5487,25.1628,29.1219,27.9179,20.5585,20.279,27.6677,1.15749046189957,0.0486979020583114
"169","ENSG00000008256.11|protein_coding|CYTH3",10.7877,10.8982,11.9086,10.5246,11.4881,13.263,11.4658,11.2967,13.2238,12.6861,12.4756,16.4167,12.9025,12.2728,10.6444,13.7861,17.7519,12.4223,14.4176,1.16538698125533,0.0228043386637845
"190","ENSG00000009335.13|protein_coding|UBE3C",18.266,18.2185,17.0098,20.4851,18.8384,17.4426,16.9295,14.15,16.5267,19.7498,21.6267,25.2863,19.8694,19.9657,15.994,28.2739,24.5607,18.3775,22.3902,1.23195647464378,0.00734544273114828
"217","ENSG00000010610.5|protein_coding|CD4",1.27855,1.33745,1.27826,0.851153,0.825786,1.01893,0.4561,0.406464,0.525731,0.968824,0.766017,2.61283,0.614779,2.12741,2.1653,2.0002,2.68083,0.461197,1.18339,1.75757759928527,0.0409190965537606
"244","ENSG00000011405.9|protein_coding|PIK3C2A",17.2468,17.3533,15.5169,17.0458,17.4935,21.4711,22.2098,12.2576,16.9452,15.7188,17.3231,21.1803,20.448,21.4099,32.3593,26.115,25.5835,17.0836,21.6817,1.25055782658372,0.033057577511516
"245","ENSG00000011422.7|protein_coding|PLAUR",6.00126,3.36483,8.98883,4.69649,1.65322,6.38234,10.1686,3.28614,4.51446,7.51154,6.7683,23.6216,6.92617,5.78856,10.8278,17.4175,13.9581,4.45654,8.31934,1.93728750124602,0.0321844234886262
