AAGAB hsa:79719
ABCA1 hsa:19
AC006547.1 ---
AC007283.1 ---
AC007383.3 ---
AC009022.1 ---
AC009060.1 ---
AC009061.2 ---
AC009102.2 ---
AC009126.1 ---
AC011451.1 ---
AC011498.1 ---
AC012181.1 ---
AC012467.2 ---
AC015726.1 ---
AC015813.1 ---
AC017100.1 ---
AC017104.1 ---
AC020916.1 ---
AC022150.4 ---
AC024270.2 ---
AC024270.3 ---
AC048382.2 ---
AC068580.4 ---
AC068987.3 ---
AC069234.3 ---
AC079385.3 ---
AC087292.1 ---
AC092171.2 ---
AC108471.2 ---
AC127024.5 ---
AC234582.1 ---
AC234775.3 ---
AC245060.2 ---
ACADSB hsa:36
ACSS3 hsa:79611
ADA hsa:100
ADAM12 hsa:8038
ADAM17 hsa:6868
ADAM23 hsa:8745
ADAMTS19 hsa:171019
ADSSL1 hsa:122622
AF001548.2 ---
AF131215.6 ---
AFMID hsa:125061
AGA hsa:175
AHSA2P ---
AL031186.1 ---
AL031963.3 ---
AL049838.1 ---
AL162595.1 ---
AL355075.2 ---
AL355297.3 ---
AL390195.2 ---
AL391650.1 ---
AL445524.1 ---
AL513477.2 ---
AL513534.2 ---
AL592424.1 ---
AL928654.1 ---
ALDH5A1 hsa:7915
ALG10B hsa:144245
AMIGO3 hsa:386724
AMN1 hsa:196394
ANKHD1-EIF4EBP3 hsa:404734
ANKRD10 hsa:55608
ANKRD37 hsa:353322
ANKRD54 hsa:129138
AP000802.1 ---
AP001469.3 ---
AP006284.1 ---
AP4S1 hsa:11154
APLN hsa:8862
ARHGAP6 hsa:395
ARHGEF19 hsa:128272
ARL6 hsa:379
ARL6 hsa:84100
ARL6IP5 hsa:10550
ARPC3 hsa:10094
ARPC5L hsa:81873
ARRDC2 hsa:27106
ARSG hsa:22901
ARVCF hsa:421
ASAH2B hsa:653308
ATF3 hsa:467
ATG13 hsa:9776
ATG16L1 hsa:55054
ATG3 hsa:64422
ATG4A hsa:115201
ATP11A hsa:23250
ATP5F1EP2 ---
ATP6V1G2-DDX39B ---
ATP9B hsa:374868
ATXN1L hsa:342371
ATXN7 hsa:6314
B3GALNT2 hsa:148789
B3GAT2 hsa:135152
B4GALT6 hsa:9331
BAK1 hsa:578
BBC3 hsa:27113
BCAT2 hsa:587
BCL2L2 hsa:599
BEND5 hsa:79656
BLOC1S1 hsa:2647
BLZF1 hsa:8548
BMP2K hsa:55589
BNIP2 hsa:663
BORCS8 hsa:729991
BRD3 hsa:8019
BZW1 hsa:9689
C18orf21 hsa:83608
C1RL-AS1 ---
C22orf39 hsa:128977
CA10 hsa:56934
CABLES2 hsa:81928
CACUL1 hsa:143384
CADM2 hsa:253559
CAMK1G hsa:57172
CAP1 hsa:10487
CAP1 hsa:5652
CAP1 hsa:7187
CAPS hsa:828
CAPS hsa:8618
CARD10 hsa:29775
CCDC186 hsa:55088
CCDC32 hsa:90416
CCDC47 hsa:57003
CCNA1 hsa:8900
CCSAP hsa:126731
CCZ1 hsa:221960
CCZ1 hsa:51622
CD4 hsa:920
CDC42EP2 hsa:10435
CDC45 hsa:8318
CDH23 hsa:64072
CDH3 hsa:1001
CDH3 hsa:1013
CDKL5 hsa:6792
CDYL hsa:9425
CDYL2 hsa:124359
CEND1 hsa:51286
CENPS hsa:100526739
CENPS hsa:378708
CEP192 hsa:55125
CEP250 hsa:11190
CEP72 hsa:55722
CEP89 hsa:84902
CEP97 hsa:79598
CFAP300 hsa:85016
CFLAR hsa:8837
CGGBP1 hsa:8545
CHD1L hsa:9557
CHD2 hsa:1106
CHD2 hsa:1826
CHD6 hsa:84181
CHIC1 hsa:53344
CHMP1B hsa:57132
CHMP1B-AS1 ---
CHPF2 hsa:54480
CITED4 hsa:163732
CLDN5 hsa:7122
CLDND2 hsa:125875
CLMN hsa:79789
CLTCL1 hsa:8218
CLUAP1 hsa:23059
CMBL hsa:134147
CMKLR1 hsa:1240
CMTM4 hsa:146223
CMTM7 hsa:112616
CNKSR3 hsa:154043
CNTN1 hsa:1272
CNTNAP3B hsa:728577
COA6 hsa:388753
COLQ hsa:8292
COMT hsa:1312
COPA hsa:1314
COQ3 hsa:51805
COX7B hsa:1349
CPLX2 hsa:10814
CPNE1 hsa:8904
CPNE8 hsa:144402
CPS1 hsa:1373
CPS1 hsa:1589
CRISPLD1 hsa:83690
CRKL hsa:1399
CRNDE ---
CSPP1 hsa:79848
CTBS hsa:1486
CTCF hsa:10664
CTNNBL1 hsa:56259
CTSF hsa:8722
CXorf38 hsa:159013
CYTL1 hsa:54360
DBNDD2 hsa:55861
DCHS2 hsa:54798
DDTL hsa:100037417
DDX11 hsa:1663
DDX3X hsa:1654
DGCR2 hsa:9993
DGCR5 ---
DGCR6 hsa:8214
DGCR6 hsa:85359
DGCR6L hsa:85359
DGCR8 hsa:54487
DGKB hsa:1607
DGKE hsa:8526
DIO3OS ---
DIP2A hsa:23181
DNAJB1 hsa:3337
DNAJB12 hsa:54788
DOCK11 hsa:139818
DOCK5 hsa:80005
DOCK6 hsa:57572
DPP8 hsa:54878
DPY19L2 hsa:283417
DUSP22 hsa:56940
DUSP28 hsa:285193
DUSP9 hsa:1852
E2F7 hsa:144455
E2F8 hsa:79733
EBLN2 hsa:55096
ECE1 hsa:1889
ECHDC3 hsa:79746
ECM1 hsa:1893
EDRF1 hsa:26098
EEA1 hsa:8411
EFNA3 hsa:1944
EGFLAM hsa:133584
EHBP1L1 hsa:254102
EIF2AK3 hsa:9451
EIF2S3 hsa:1968
EIF2S3B hsa:255308
EIF3I hsa:8668
ELL2 hsa:22936
EMILIN2 hsa:84034
EN1 hsa:2019
ENPP1 hsa:5167
ENTPD4 hsa:9583
EP400P1 ---
EPHA2 hsa:1969
ERI2 hsa:112479
ESRRG hsa:2104
ESS2 hsa:8220
ESYT2 hsa:57488
ETS1 hsa:2113
EXOG hsa:9941
EXOSC7 hsa:23016
EYS hsa:346007
F11R hsa:50848
FADS3 hsa:285489
FADS3 hsa:3995
FAM181A-AS1 ---
FAM234B hsa:57613
FAM53C hsa:51307
FBXO45 hsa:200933
FBXO7 hsa:25793
FCHSD1 hsa:89848
FDXACB1 hsa:91893
FGFBP3 hsa:143282
FGFR2 hsa:2263
