ENSG00000002587 HS3ST1
ENSG00000003402 CFLAR
ENSG00000003756 RBM5
ENSG00000003987 MTMR7
ENSG00000004534 RBM6
ENSG00000005189 REXO5
ENSG00000007384 RHBDF1
ENSG00000008086 CDKL5
ENSG00000008118 CAMK1G
ENSG00000009335 UBE3C
ENSG00000010361 FUZ
ENSG00000010610 CD4
ENSG00000011405 PIK3C2A
ENSG00000011677 GABRA3
ENSG00000013364 MVP
ENSG00000013375 PGM3
ENSG00000013573 DDX11
ENSG00000018236 CNTN1
ENSG00000018869 ZNF582
ENSG00000021826 CPS1
ENSG00000024048 UBR2
ENSG00000025434 NR1H3
ENSG00000030110 BAK1
ENSG00000030419 IKZF2
ENSG00000033100 CHPF2
ENSG00000033800 PIAS1
ENSG00000035115 SH3YL1
ENSG00000038002 AGA
ENSG00000040608 RTN4R
ENSG00000046647 GEMIN8
ENSG00000046651 OFD1
ENSG00000047644 WWC3
ENSG00000047648 ARHGAP6
ENSG00000048545 GUCA1A
ENSG00000050555 LAMC3
ENSG00000051128 HOMER3
ENSG00000054598 FOXC1
ENSG00000056277 ZNF280C
ENSG00000058673 ZC3H11A
ENSG00000059588 TARBP1
ENSG00000060656 PTPRU
ENSG00000061273 HDAC7
ENSG00000062038 CDH3
ENSG00000064490 RFXANK
ENSG00000064651 SLC12A2
ENSG00000065621 GSTO2
ENSG00000066468 FGFR2
ENSG00000066933 MYO9A
ENSG00000067082 KLF6
ENSG00000067365 METTL22
ENSG00000067798 NAV3
ENSG00000067992 PDK3
ENSG00000068028 RASSF1
ENSG00000068305 MEF2A
ENSG00000068650 ATP11A
ENSG00000068724 TTC7A
ENSG00000070010 UFD1
ENSG00000070366 SMG6
ENSG00000070371 CLTCL1
ENSG00000070413 DGCR2
ENSG00000070540 WIPI1
ENSG00000070756 PABPC1
ENSG00000073605 GSDMB
ENSG00000073614 KDM5A
ENSG00000073803 MAP3K13
ENSG00000074603 DPP8
ENSG00000075914 EXOSC7
ENSG00000076706 MCAM
ENSG00000076944 STXBP2
ENSG00000077585 GPR137B
ENSG00000078070 MCCC1
ENSG00000079974 RABL2B
ENSG00000081320 STK17B
ENSG00000082153 BZW1
ENSG00000083223 TUT7
ENSG00000084444 FAM234B
ENSG00000084623 EIF3I
ENSG00000085552 IGSF9
ENSG00000085978 ATG16L1
ENSG00000087086 FTL
ENSG00000088448 ANKRD10
ENSG00000089327 FXYD5
ENSG00000093009 CDC45
ENSG00000093010 COMT
ENSG00000095951 HIVEP1
ENSG00000099875 MKNK2
ENSG00000099889 ARVCF
ENSG00000099899 TRMT2A
ENSG00000099901 RANBP1
ENSG00000099904 ZDHHC8
ENSG00000099910 KLHL22
ENSG00000099917 MED15
ENSG00000099940 SNAP29
ENSG00000099942 CRKL
ENSG00000099949 LZTR1
ENSG00000099974 DDTL
ENSG00000100033 PRODH
ENSG00000100034 PPM1F
ENSG00000100056 ESS2
ENSG00000100065 CARD10
ENSG00000100075 SLC25A1
ENSG00000100084 HIRA
ENSG00000100124 ANKRD54
ENSG00000100225 FBXO7
ENSG00000100294 MCAT
ENSG00000100345 MYH9
ENSG00000100441 KHNYN
ENSG00000100461 RBM23
ENSG00000100478 AP4S1
ENSG00000100731 PCNX1
ENSG00000100918 REC8
ENSG00000100982 PCIF1
ENSG00000101384 JAG1
ENSG00000101639 CEP192
ENSG00000101670 LIPG
ENSG00000101844 ATG4A
ENSG00000101871 MID1
ENSG00000102057 KCND1
ENSG00000102172 SMS
ENSG00000102189 EEA1
ENSG00000102349 KLF8
ENSG00000102974 CTCF
ENSG00000103351 CLUAP1
ENSG00000103489 XYLT1
ENSG00000103591 AAGAB
ENSG00000104067 TJP1
ENSG00000104218 CSPP1
ENSG00000104312 RIPK2
ENSG00000104419 NDRG1
ENSG00000104447 TRPS1
ENSG00000104756 KCTD9
ENSG00000104998 IL27RA
ENSG00000105088 OLFM2
ENSG00000105176 URI1
ENSG00000105327 BBC3
ENSG00000105355 PLIN3
ENSG00000105519 CAPS
ENSG00000105552 BCAT2
ENSG00000105639 JAK3
ENSG00000105643 ARRDC2
ENSG00000105700 KXD1
ENSG00000105701 FKBP8
ENSG00000105723 GSK3A
ENSG00000105926 MPP6
ENSG00000106086 PLEKHA8
ENSG00000106100 NOD1
ENSG00000107651 SEC23IP
ENSG00000107719 PALD1
ENSG00000107736 CDH23
ENSG00000107789 MINPP1
ENSG00000107819 SFXN3
ENSG00000107938 EDRF1
ENSG00000108256 NUFIP2
ENSG00000108439 PNPO
ENSG00000108474 PIGL
ENSG00000108588 CCDC47
ENSG00000108590 MED31
ENSG00000108788 MLX
ENSG00000108984 MAP2K6
ENSG00000109046 WSB1
ENSG00000109084 TMEM97
ENSG00000109738 GLRB
ENSG00000109971 HSPA8
ENSG00000110169 HPX
ENSG00000110628 SLC22A18
ENSG00000110911 SLC11A2
ENSG00000111058 ACSS3
ENSG00000111110 PPM1H
ENSG00000111229 ARPC3
ENSG00000111640 GAPDH
ENSG00000112294 ALDH5A1
ENSG00000112309 B3GAT2
ENSG00000112679 DUSP22
ENSG00000112877 CEP72
ENSG00000113615 SEC24A
ENSG00000113621 TXNDC15
ENSG00000113966 ARL6
ENSG00000114026 OGG1
ENSG00000114120 SLC25A36
ENSG00000114127 XRN1
ENSG00000114416 FXR1
ENSG00000114544 SLC41A3
ENSG00000114738 MAPKAPK3
ENSG00000114805 PLCH1
ENSG00000114857 NKTR
ENSG00000114948 ADAM23
ENSG00000115457 IGFBP2
ENSG00000115524 SF3B1
ENSG00000116717 GADD45A
ENSG00000116857 TMEM9
ENSG00000116984 MTR
ENSG00000117151 CTBS
ENSG00000117298 ECE1
ENSG00000117475 BLZF1
ENSG00000117859 OSBPL9
ENSG00000117868 ESYT2
ENSG00000118276 B4GALT6
ENSG00000118407 FILIP1
ENSG00000118985 ELL2
ENSG00000119421 NDUFA8
ENSG00000120053 GOT1
ENSG00000120314 WDR55
ENSG00000120324 PCDHB10
ENSG00000120328 PCDHB12
ENSG00000120709 FAM53C
ENSG00000120837 NFYB
ENSG00000120925 RNF170
ENSG00000121005 CRISPLD1
ENSG00000121289 CEP89
ENSG00000121741 ZMYM2
ENSG00000122218 COPA
ENSG00000122257 RBBP6
ENSG00000122376 SHLD2
ENSG00000122477 LRRC39
ENSG00000122674 CCZ1
ENSG00000122687 MRM2
ENSG00000122692 SMU1
ENSG00000122861 PLAU
ENSG00000122965 RBM19
ENSG00000123131 PRDX4
ENSG00000123545 NDUFAF4
ENSG00000123595 RAB9A
ENSG00000123728 RAP2C
ENSG00000124177 CHD6
ENSG00000124257 NEURL2
ENSG00000124444 ZNF576
ENSG00000124486 USP9X
ENSG00000124782 RREB1
ENSG00000125249 RAP2A
ENSG00000125734 GPR108
ENSG00000125812 GZF1
ENSG00000126001 CEP250
ENSG00000126653 NSRP1
ENSG00000126950 TMEM35A
ENSG00000127481 UBR4
ENSG00000128016 ZFP36
ENSG00000128185 DGCR6L
ENSG00000128191 DGCR8
ENSG00000128294 TPST2
ENSG00000128617 OPN1SW
ENSG00000128891 CCDC32
ENSG00000129173 E2F8
ENSG00000129353 SLC44A2
ENSG00000129473 BCL2L2
ENSG00000129566 TEP1
ENSG00000129680 MAP7D3
ENSG00000129991 TNNI3
ENSG00000130158 DOCK6
ENSG00000130741 EIF2S3
ENSG00000130829 DUSP9
ENSG00000130958 SLC35D2
ENSG00000131127 ZNF141
ENSG00000131174 COX7B
ENSG00000131236 CAP1
ENSG00000131351 HAUS8
ENSG00000131373 HACL1
ENSG00000131459 GFPT2
ENSG00000131778 CHD1L
ENSG00000131791 PRKAB2
ENSG00000132002 DNAJB1
ENSG00000132205 EMILIN2
ENSG00000132300 PTCD3
ENSG00000132388 UBE2G1
ENSG00000132406 TMEM128
ENSG00000132423 COQ3
ENSG00000132763 MMACHC
ENSG00000132792 CTNNBL1
ENSG00000132950 ZMYM5
ENSG00000133101 CCNA1
ENSG00000133710 SPINK5
ENSG00000133739 LRRCC1
ENSG00000134086 VHL
ENSG00000134463 ECHDC3
ENSG00000134490 TMEM241
ENSG00000134602 STK26
ENSG00000134954 ETS1
ENSG00000135341 MAP3K7
ENSG00000135424 ITGA7
ENSG00000135441 BLOC1S1
ENSG00000135622 SEMA4F
ENSG00000135968 GCC2
ENSG00000136051 WASHC4
ENSG00000136231 IGF2BP3
ENSG00000136267 DGKB
ENSG00000136856 SLC2A8
ENSG00000136950 ARPC5L
ENSG00000137166 FOXP4
ENSG00000137691 CFAP300
ENSG00000137713 PPP2R1B
ENSG00000137841 PLCB2
ENSG00000138134 STAMBPL1
ENSG00000138592 USP8
ENSG00000138621 PPCDC
ENSG00000138641 HERC3
ENSG00000138670 RASGEF1B
ENSG00000138738 PRDM5
ENSG00000138756 BMP2K
ENSG00000139117 CPNE8
ENSG00000139218 SCAF11
ENSG00000139679 LPAR6
ENSG00000140299 BNIP2
ENSG00000140471 LINS1
ENSG00000140718 FTO
ENSG00000141026 MED9
ENSG00000141232 TOB1
ENSG00000141252 VPS53
ENSG00000141295 SCRN2
ENSG00000141337 ARSG
ENSG00000141428 C18orf21
ENSG00000141510 TP53
ENSG00000141959 PFKL
ENSG00000142089 IFITM3
ENSG00000142233 NTN5
ENSG00000142541 RPL13A
ENSG00000142627 EPHA2
ENSG00000142632 ARHGEF19
ENSG00000142733 MAP3K6
ENSG00000143178 TBX19
ENSG00000143369 ECM1
ENSG00000143549 TPM3
ENSG00000143590 EFNA3
ENSG00000143641 GALNT2
ENSG00000144278 GALNT13
ENSG00000144366 GULP1
ENSG00000144426 NBEAL1
ENSG00000144674 GOLGA4
ENSG00000144746 ARL6IP5
ENSG00000144747 TMF1
ENSG00000144848 ATG3
ENSG00000144868 TMEM108
ENSG00000144935 TRPC1
ENSG00000145391 SETD7
ENSG00000145506 NKD2
ENSG00000145808 ADAMTS19
ENSG00000145920 CPLX2
ENSG00000146350 TBC1D32
ENSG00000146411 SLC2A12
ENSG00000146833 TRIM4
ENSG00000147027 TMEM47
ENSG00000147065 MSN
ENSG00000147124 ZNF41
ENSG00000147133 TAF1
ENSG00000147251 DOCK11
ENSG00000147454 SLC25A37
ENSG00000147459 DOCK5
ENSG00000147676 MAL2
ENSG00000147955 SIGMAR1
ENSG00000148153 INIP
ENSG00000148200 NR6A1
ENSG00000148719 DNAJB12
ENSG00000148814 LRRC27
ENSG00000148835 TAF5
ENSG00000148848 ADAM12
ENSG00000149256 TENM4
ENSG00000149577 SIDT2
ENSG00000149679 CABLES2
ENSG00000149798 CDC42EP2
ENSG00000150867 PIP4K2A
ENSG00000151116 UEVLD
ENSG00000151694 ADAM17
ENSG00000151743 AMN1
ENSG00000151881 TMEM267
ENSG00000151893 CACUL1
ENSG00000152193 OBI1
