"","GeneFeature","X10_3651","X13_4506B","X16_9319","X19_9429_6120","X26_2038A","X28_2038B","X2_BJ2A","X31_1792A","X34_1792E","X39_1835_3","X43_2497B","X7_3440","FoldChange","p.value"
"39","ABCA13",32,84,34,37,101,128,9,59,83,108,66,44,2.27083333333333,0.00621383430133894
"42","ABCA3",4668,4274,4226,3217,2686,2770,5127,3331,2921,3487,2003,2792,0.707620144832126,0.0220357248836373
"73","ABCD2",118,197,176,97,37,69,86,39,74,53,17,201,0.330285714285714,0.00406510372165009
"74","ABCD3",4903,4523,5836,3691,4000,4551,6160,3398,3825,4226,2818,4159,0.779516261273572,0.0480125534267632
"98","ABHD2",5619,4721,4987,4170,3638,4002,5417,3832,3919,4011,3737,4189,0.795072672920317,0.00924051733332717
"100","ABHD4",2294,2109,2760,1225,1368,1794,2612,1286,1018,1462,1513,1575,0.671252485089463,0.036365729032824
"107","ABI3BP",23,11,10,20,19,90,21,113,64,51,61,11,4.14583333333333,0.0118846807067946
"111","ABLIM2",421,198,309,211,158,238,387,235,271,120,50,272,0.596218020022247,0.0382376454700966
"189","ACSBG1",546,862,1209,316,324,609,605,608,262,409,68,864,0.517946388005452,0.0472649086192972
"247","ACYP2",270,181,347,145,125,163,385,142,188,145,97,205,0.56099151989563,0.0337408523615577
"265","ADAM23",1063,756,866,607,462,693,946,583,655,648,467,675,0.714024017911663,0.0201803803104093
"283","ADAMTS15",2303,1860,1196,958,905,1025,3203,1489,923,666,237,1201,0.489226751235892,0.0497493997000008
"295","ADAMTS8",15,21,9,10,2,5,15,5,6,12,2,10,0.4,0.00806157578466955
"328","ADCYAP1R1",4287,3873,8378,1947,661,2384,7372,4444,2534,1191,597,6021,0.370506305288914,0.0185768978523188
"346","ADM",291,208,46,322,801,186,55,483,373,954,1398,47,4.32920536635707,0.0298294728103089
"410","AGFG2",594,530,566,459,461,450,772,376,357,421,431,452,0.739994070560332,0.0270325801441453
"427","AGRN",37179,27364,34538,23312,24371,33039,44233,18757,20654,21116,20817,27350,0.715315296737741,0.0396608815605454
"476","AK8",56,53,75,30,31,36,68,56,46,22,17,69,0.592592592592593,0.023754834516882
"512","AKR7A2P1",2,6,3,4,8,9,5,14,11,14,4,4,2.5,0.0105666742519271
"584","ALPK2",928,1154,106,1672,3684,1731,236,1464,685,4085,4016,466,3.43380096448926,0.0274152353521936
"610","AMIGO1",322,255,242,252,148,202,168,182,197,150,76,256,0.638795986622074,0.00868421084438656
"668","ANKLE1",73,23,55,58,85,60,69,53,86,103,83,32,1.51612903225806,0.0379450646514526
"699","ANKRD27",939,488,506,788,842,681,702,858,815,1076,1012,555,1.32830568124686,0.0432765651778564
"733","ANKRD56",10,8,2,2,9,15,1,8,12,22,7,4,2.7037037037037,0.0219331497334288
"740","ANKRD9",559,314,299,154,90,191,575,199,235,268,216,352,0.532179316466933,0.0458735716802931
"766","ANTXR2",8533,4319,5377,5516,3125,2965,2842,3852,3975,2119,2513,4646,0.59389107674575,0.0405440532892843
"818","APAF1",2516,1355,1416,2136,2531,2065,1735,2401,2868,2560,2707,1510,1.41844769403825,0.00904191243936433
"826","APC",7801,8669,9692,5929,5189,7835,12404,6668,6789,4881,2788,8800,0.640773055633737,0.019485212760229
"903","AQPEP",35,22,31,16,12,23,22,19,22,16,4,27,0.627450980392157,0.0408724621844303
"983","ARHGEF3",353,480,512,295,288,262,503,306,212,277,327,301,0.684124386252046,0.0259967120598825
"993","ARHGEF9",3404,2790,3592,2368,1895,2397,3001,2413,2500,1806,1285,2534,0.695121261801119,0.00858839025220571
"997","ARID3A",364,102,150,358,398,268,230,344,357,311,431,153,1.55416359616802,0.0433325256259841
"1077","ARSD",539,791,640,592,422,413,643,485,473,440,307,336,0.717311493928269,0.0419628329481876
"1088","ART5",36,2,7,18,29,50,14,19,35,18,32,15,1.98913043478261,0.0491077306480634
"1123","ASCL1",3814,2896,4355,2483,1540,2757,3348,3200,2993,1015,730,3070,0.612791745968146,0.0363125936067111
"1155","ASTN1",1066,1007,2212,1493,536,1498,2105,289,577,395,92,1809,0.349463475030953,0.00466452501180127
"1180","ATF7IP2",130,57,60,82,129,131,104,110,95,128,124,56,1.46625766871166,0.0266454341172845
"1215","ATP11C",1559,666,577,1304,1346,1081,761,1254,1340,1848,1632,702,1.52648590411205,0.0371122477250358
"1228","ATP1B2",2611,8380,11098,2200,1702,5003,9381,2515,1980,1600,820,6147,0.342064947133134,0.0316527362495717
"1235","ATP2B2",509,482,595,251,99,436,1127,351,469,72,13,565,0.408047605553981,0.0393846785797175
"1274","ATP6V0E2",4139,2958,3725,2331,2329,2298,3872,2720,2884,2372,1658,2420,0.733401902802777,0.0448900137115749
"1295","ATP8B3",35,4,12,23,22,36,7,62,27,36,28,13,2.24468085106383,0.0268454991553152
"1325","AURKA",3169,1038,1115,2311,2998,1774,1570,3018,3014,2619,2509,1109,1.54499612102405,0.0486217515361461
"1361","B3GAT2",135,104,80,96,36,34,16,96,75,4,1,153,0.421232876712329,0.0489874970314222
"1370","B3GNT8",16,4,6,7,12,13,4,12,24,11,29,6,2.34883720930233,0.0285329470286815
"1384","B7H6",848,601,559,851,1051,935,734,731,793,1092,729,545,1.28830352827453,0.0462743444819353
"1410","BAI2",10864,8557,11151,6871,3497,5409,15247,7119,8048,5032,4153,7920,0.548721333113348,0.0126481675664803
"1411","BAI3",1864,1585,2406,1300,1166,1575,2142,1805,1505,1154,480,1850,0.689423163182919,0.0431788994872058
"1413","BAIAP2L1",94,27,31,100,159,110,24,79,77,129,154,59,2.1134328358209,0.0117140348163109
