ABCB11 hsa:8647
ABCC3 hsa:8714
ABCD2 hsa:225
ABI3BP hsa:25890
ACPP hsa:55
ACSBG1 hsa:23205
ACTA2 hsa:59
ACTG2 hsa:72
ACVRL1 hsa:94
ADAM12 hsa:8038
ADAM19 hsa:8728
ADAMTS14 hsa:140766
ADAMTS15 hsa:170689
ADCYAP1R1 hsa:117
ADM hsa:133
ADM2 hsa:79924
AGAP2 hsa:116986
AGAP7 ---
AGT hsa:183
AGT hsa:189
AGTR1 hsa:185
AHNAK hsa:79026
AHR hsa:196
ALDH1A3 hsa:220
ALDH1L1 hsa:10840
ALDH1L2 hsa:160428
ALPK2 hsa:115701
ALPL hsa:249
ALX4 hsa:60529
ANGPTL1 hsa:9068
ANO4 hsa:121601
ANO5 hsa:203859
ANTXR2 hsa:118429
ANXA11 hsa:311
ANXA2 hsa:302
APC hsa:324
APC hsa:5624
APLNR hsa:187
APOL4 hsa:80832
APOL6 hsa:80830
ARAP2 hsa:116984
ARHGAP36 hsa:158763
ARHGDIB hsa:397
ARHGEF26 hsa:26084
ARHGEF6 hsa:9459
ARX hsa:10054
ARX hsa:170302
ASCL1 hsa:429
ASNS hsa:440
ASS1 hsa:445
ASTN1 hsa:460
ATP1B2 hsa:482
ATP2B2 hsa:491
ATP2B2 hsa:493
AURKA hsa:6790
BACE2 hsa:25825
BAI1 hsa:575
BAI2 hsa:576
BCAN hsa:63827
BCL3 hsa:602
BGN hsa:633
BIRC5 hsa:332
BMP4 hsa:652
BNC1 hsa:40
BNC1 hsa:646
BNC2 hsa:54796
BRP44L hsa:51660
BTBD17 hsa:388419
C11orf96 hsa:387763
C13orf15 hsa:28984
C16orf45 hsa:89927
C1QL1 hsa:10882
C1QTNF1 hsa:114897
C1orf183 hsa:55924
C1orf61 ---
C1orf95 hsa:375057
C20orf108 hsa:116151
C21orf62 hsa:56245
C21orf63 hsa:59271
C2CD4A hsa:145741
C2orf55 hsa:343990
C2orf72 hsa:257407
C3orf72 hsa:401089
C4orf19 hsa:55286
C4orf26 hsa:152816
C4orf32 hsa:132720
C4orf48 hsa:401115
C7 hsa:3627
C7 hsa:730
C7orf58 hsa:79974
CABP7 hsa:164633
CACNB2 hsa:783
CACNG3 hsa:10368
CACNG4 hsa:27092
CACNG8 hsa:59283
CADM2 hsa:253559
CADM3 hsa:57863
CADPS hsa:8618
CALB2 hsa:794
CALCR hsa:799
CALD1 hsa:800
CAMK2A hsa:815
CASP4 hsa:837
CASQ2 hsa:845
CCNB1 hsa:891
CCNB2 hsa:9133
CCNG1 hsa:900
CD248 hsa:57124
CD9 hsa:928
CDC20 hsa:991
CDCA3 hsa:83461
CDCA8 hsa:55143
CDH1 hsa:51343
CDH1 hsa:999
CDH10 hsa:1008
CDH20 hsa:28316
CDH20 hsa:8641
CDH6 hsa:1004
CDKN2B hsa:1030
CFB hsa:629
CFH hsa:3075
CFI hsa:3426
CH25H hsa:9023
CHD5 hsa:26038
CHD5 hsa:7485
CHD5 hsa:84181
CHD5 hsa:8997
CHRNA1 hsa:1134
CHST11 hsa:50515
CITED1 hsa:4435
CLDN4 hsa:1364
CLEC2B hsa:51266
CLEC2B hsa:9976
CLMP hsa:79827
CNN1 hsa:1264
CNPY1 hsa:285888
CNTN2 hsa:6900
CNTN4 hsa:152330
COBL hsa:23242
COL12A1 hsa:1303
COL13A1 hsa:1305
COL15A1 hsa:1306
COL16A1 hsa:1307
COL19A1 hsa:1310
COL1A1 hsa:1277
COL1A2 hsa:1278
COL2A1 hsa:1280
COL3A1 hsa:1281
COL4A1 hsa:1282
COL5A1 hsa:1289
COL5A2 hsa:1290
COL5A3 hsa:50509
COL6A1 hsa:1291
COL6A2 hsa:1292
COL6A3 hsa:1293
COL8A1 hsa:1295
COL8A2 hsa:1296
COL9A3 hsa:1299
COLEC12 hsa:81035
COPZ2 hsa:51226
CP hsa:1356
CPA4 hsa:51200
CPEB4 hsa:80315
CPNE2 hsa:221184
CPNE5 hsa:57699
CPT1A hsa:1374
CPXM2 hsa:119587
CPZ hsa:8532
CREB3L1 hsa:90993
CRLF1 hsa:9244
CRYBA4 hsa:1413
CRYBB1 hsa:1414
CSGALNACT1 hsa:55790
CSMD1 hsa:64478
CSPG4 hsa:1464
CSPG5 hsa:10675
CTCFL hsa:140690
CTGF hsa:1490
CTHRC1 hsa:115908
CXCL14 hsa:9547
CXCL6 hsa:6372
CXCR7 hsa:57007
CXorf64 hsa:100130613
CYBA hsa:1535
CYP1B1 hsa:1545
CYP26A1 hsa:1592
CYP26C1 hsa:340665
CYR61 hsa:3491
CYTL1 hsa:54360
DAB2 hsa:1601
DBX1 hsa:120237
DBX2 hsa:440097
DCLK1 hsa:9201
DCLK2 hsa:166614
DCN hsa:1634
DDR2 hsa:4921
DIRAS3 hsa:9077
DKK1 hsa:22943
DKK2 hsa:27123
DLC1 hsa:10395
DLC1 hsa:8655
DLC1 hsa:9940
DLGAP1 hsa:9229
DLGAP5 hsa:9787
DLK1 hsa:8788
DLX1 hsa:1745
DLX2 hsa:1746
DLX5 hsa:1749
DLX6 hsa:1750
DLX6-AS1 ---
DNAH9 hsa:1770
DNM3OS ---
DSP hsa:1832
DSP hsa:1834
DTHD1 hsa:401124
DTX4 hsa:23220
DUSP10 hsa:11221
DUSP23 hsa:114971
DUSP23 hsa:54935
DUSP4 hsa:1846
DYSF hsa:8291
ECM1 hsa:1893
EDIL3 hsa:10085
EDN1 hsa:1906
EFNB2 hsa:1948
EGFLAM hsa:133584
EGR2 hsa:1959
EHD4 hsa:30844
EIF4EBP1 hsa:1978
ELOVL2 hsa:54898
EMILIN1 hsa:11117
EMILIN2 hsa:84034
EML6 hsa:400954
EN2 hsa:2020
ENG hsa:2022
ENHO hsa:375704
ENTPD2 hsa:954
EPHA2 hsa:1969
EPHA3 hsa:2042
EPHA5 hsa:2044
EPHB3 hsa:2049
ERBB3 hsa:2065
ETS1 hsa:2113
ETV1 hsa:2115
EYA4 hsa:2070
F11R hsa:50848
F13A1 hsa:2162
F2RL2 hsa:2151
FAM107A hsa:11170
FAM129A hsa:116496
FAM134B hsa:54463
FAM181B hsa:220382
FAM182A ---
FAM189A2 hsa:9413
FAM69C hsa:125704
FAM83D hsa:81610
FAM83G hsa:644815
FAM84A hsa:151354
FAP hsa:1056
FAP hsa:11146
FAP hsa:2191
FAT4 hsa:79633
FBLN1 hsa:2192
FBLN2 hsa:2199
FBN1 hsa:2200
FBXL21 ---
FCGR2A hsa:2212
FEV hsa:54738
FIBIN hsa:387758
FIGN hsa:55137
FILIP1L hsa:11259
FJX1 hsa:24147
FLI1 hsa:2313
FLJ43390 ---
FLT1 hsa:2321
FMN1 hsa:342184
FN1 hsa:2335
FNDC1 hsa:84624
FOSL2 hsa:2355
FOXA1 hsa:3169
FOXC1 hsa:2296
FOXL2 hsa:668
FOXP1 hsa:27086
FOXP4 hsa:116113
FOXS1 hsa:2307
FREM1 hsa:158326
FREM2 hsa:341640
FRMD6 hsa:122786
FST hsa:10468
FSTL1 hsa:11167
FXYD6 hsa:100533181
FXYD6 hsa:53826
FZD1 hsa:8321
FZD5 hsa:7855
GABBR2 hsa:9568
GABRB2 hsa:2561
GAD1 hsa:2571
GADD45B hsa:4616
GAL hsa:51083
GALNT13 hsa:114805
GALNT13 hsa:117248
GALNT5 hsa:11227
GAP43 hsa:2596
GARS hsa:2617
GARS hsa:2618
GAS1 hsa:2619
GAS2L3 hsa:283431
GATA3 hsa:2625
GATA6 hsa:2627
GATM hsa:2628
GBP1 hsa:2633
GBP3 hsa:2635
GBP3 hsa:51062
GBX2 hsa:2637
GDF5 hsa:8200
GDNF hsa:2668
GFAP hsa:2670
GFPT2 hsa:9945
GJB2 hsa:2706
GLI3 hsa:2737
GLIPR1 hsa:11010
GLT25D2 hsa:23127
GLT8D2 hsa:83468
GNG7 hsa:2788
GOLM1 hsa:51280
GPD1 hsa:2819
GPM6A hsa:2823
GPR124 hsa:25960
GPR158 hsa:57512
GPR176 hsa:11245
GPR26 hsa:2849
GPR37 hsa:2861
GPR37L1 hsa:9283
GPR56 hsa:9289
GPX8 hsa:493869
GREM1 hsa:26585
GRIA3 hsa:2892
GRID2 hsa:2895
GRIK2 hsa:2898
GRIK2 hsa:2901
GRIK3 hsa:2899
GRIN2A hsa:2903
GXYLT2 hsa:727936
GZMA hsa:3001
H19 hsa:112267876
HAND2 hsa:9464
HAPLN1 hsa:1404
HAS3 hsa:3038
HCG22 hsa:285834
HEPACAM hsa:220296
HHEX hsa:3087
HLA-DPB1 hsa:3113
HLA-DPB1 hsa:3115
HLA-DPB1 hsa:3125
HLX hsa:3142
