CXorf64	hsa:100130613
CDH6	hsa:1004
FXYD6	hsa:100533181
ARX	hsa:10054
PTPRU	hsa:10076
CDH10	hsa:1008
EDIL3	hsa:10085
KIF20A	hsa:10112
LHFPL2	hsa:10184
OLIG2	hsa:10215
CDKN2B	hsa:1030
IKZF1	hsa:10320
TLR6	hsa:10333
CACNG3	hsa:10368
SEMA3A	hsa:10371
DLC1	hsa:10395
NDRG1	hsa:10397
MYL9	hsa:10398
SPON1	hsa:10418
LRRN2	hsa:10446
VAV3	hsa:10451
FST	hsa:10468
TRIM38	hsa:10475
SEMA4B	hsa:10509
LEPREL2	hsa:10536
PROCR	hsa:10544
HTATIP2	hsa:10553
FAP	hsa:1056
IFITM2	hsa:10581
MAB21L2	hsa:10586
SCGN	hsa:10590
MYL12A	hsa:10627
POSTN	hsa:10631
IGF2BP1	hsa:10642
CSPG5	hsa:10675
SIX2	hsa:10736
PLK2	hsa:10769
MTHFD2	hsa:10797
ALDH1L1	hsa:10840
C1QL1	hsa:10882
MMP25	hsa:10893
MAP2	hsa:10988
SLC38A3	hsa:10991
SLC27A3	hsa:11000
GLIPR1	hsa:11010
WWP1	hsa:11059
UBE2C	hsa:11065
RAPGEF4	hsa:11069
PRSS23	hsa:11098
EMILIN1	hsa:11117
RCN3	hsa:11123
FAP	hsa:11146
FSTL1	hsa:11167
FAM107A	hsa:11170
DUSP10	hsa:11221
H19	hsa:112267876
GALNT5	hsa:11227
GPR176	hsa:11245
FILIP1L	hsa:11259
PLCD3	hsa:113026
MGAT4A	hsa:11320
TMC6	hsa:11322
CHRNA1	hsa:1134
TRIM9	hsa:114088
GALNT13	hsa:114805
C1QTNF1	hsa:114897
DUSP23	hsa:114971
ALPK2	hsa:115701
CTHRC1	hsa:115908
FOXP4	hsa:116113
C20orf108	hsa:116151
OLIG1	hsa:116448
FAM129A	hsa:116496
MRGPRF	hsa:116535
ARAP2	hsa:116984
AGAP2	hsa:116986
ADCYAP1R1	hsa:117
GALNT13	hsa:117248
ANTXR2	hsa:118429
CPXM2	hsa:119587
SERPINA3	hsa:12
DBX1	hsa:120237
ANO4	hsa:121601
FRMD6	hsa:122786
TC2N	hsa:123036
SLC24A4	hsa:123041
TMEM132E	hsa:124842
SEZ6	hsa:124925
FAM69C	hsa:125704
CNN1	hsa:1264
COL1A1	hsa:1277
COL1A2	hsa:1278
COL2A1	hsa:1280
COL3A1	hsa:1281
COL4A1	hsa:1282
COL5A1	hsa:1289
COL5A2	hsa:1290
COL6A1	hsa:1291
COL6A2	hsa:1292
COL6A3	hsa:1293
COL8A1	hsa:1295
COL8A2	hsa:1296
COL9A3	hsa:1299
COL12A1	hsa:1303
COL13A1	hsa:1305
COL15A1	hsa:1306
COL16A1	hsa:1307
COL19A1	hsa:1310
C4orf32	hsa:132720
ADM	hsa:133
EGFLAM	hsa:133584
CP	hsa:1356
CLDN4	hsa:1364
CPT1A	hsa:1374
