Gene Title	Gene Symbol	FDR-	FoldChange 
		Adjusted p-Value	(S vs. C)
"ATP-binding cassette, sub-family B (MDR/TAP), member 8"	ABCB8	0.0387737	1.33007
"ATP-binding cassette, sub-family C (CFTR/MRP), member 8"	ABCC8	0.0217948	1.44663
"ATP-binding cassette, sub-family G (WHITE), member 2"	ABCG2	0.0326947	2.28077
aggrecan	ACAN	0.0198747	1.24878
"acid phosphatase 6, lysophosphatidic"	ACP6	0.0223246	1.80051
acid phosphatase-like 2	ACPL2	0.0157522	1.21973
ADAM metallopeptidase domain 7	ADAM7	0.0480662	1.35335
"ADAM metallopeptidase with thrombospondin type 1 motif, 8"	ADAMTS8	0.00228409	2.25771
adenylate cyclase 1 (brain)	ADCY1	0.0376972	1.78689
adenylate cyclase activating polypeptide 1 (pituitary)	ADCYAP1	0.0178727	1.62004
2-aminoethanethiol (cysteamine) dioxygenase	ADO	0.0313934	1.36955
alanine-glyoxylate aminotransferase 2-like 1	AGXT2L1	0.0292594	3.74721
AHNAK nucleoprotein	AHNAK	0.0408181	1.2146
AHNAK nucleoprotein 2	AHNAK2	0.0260381	1.53244
Adenylate kinase 3-like 1	AK3L1	0.0216916	1.30602
"aldo-keto reductase family 1, member C-like 2"	AKR1CL2	0.0212446	1.56584
"aldehyde dehydrogenase 1 family, member L1"	ALDH1L1	0.0415835	1.81344
"Aldehyde dehydrogenase 1 family, member L2"	ALDH1L2	0.0339368	1.26882
"asparagine-linked glycosylation 9, alpha-1,2-mannosyltransferase homolog (S. cer"	ALG9	0.0284654	1.50325
"alkB, alkylation repair homolog 2 (E. coli)"	ALKBH2	0.0349069	1.87694
"AlkB, alkylation repair homolog 7 (E. coli)"	ALKBH7	0.019262	1.24258
"arachidonate 15-lipoxygenase, type B"	ALOX15B	0.0191223	1.24057
alpha-methylacyl-CoA racemase /// C1q and tumor necrosis factor related protein	AMACR /// C1QTNF3	0.0322447	1.4464
ankyrin and armadillo repeat containing	ANKAR	0.00295873	1.28156
ankyrin repeat and death domain containing 1A	ANKDD1A	0.0383424	1.4335
ankyrin repeat domain 12	ANKRD12	0.0240621	1.24831
ankyrin repeat domain 18A	ANKRD18A	0.0477553	1.40852
ankyrin repeat and sterile alpha motif domain containing 6	ANKS6	0.023812	1.25742
"acidic (leucine-rich) nuclear phosphoprotein 32 family, member E"	ANP32E	0.0436838	1.34598
annexin A11	ANXA11	0.0204583	1.30836
aquaporin 1 (Colton blood group)	AQP1	0.0288654	1.235
aquaporin 4	AQP4	0.00967742	1.9238
aquarius homolog (mouse)	AQR	0.0450529	1.32877
activity-regulated cytoskeleton-associated protein	ARC	0.00109932	1.62706
ADP-ribosylation factor-like 5A	ARL5A	0.0204707	2.14259
armadillo repeat containing 1	ARMC1	0.0469374	1.79186
"actin related protein 2/3 complex, subunit 4, 20kDa"	ARPC4	0.0145537	1.30139
Aristaless related homeobox	ARX	0.0423387	1.22255
N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2B	ASAH2B	0.0259562	2.00806
ankyrin repeat and SOCS box-containing 2	ASB2	0.01454	1.35502
asialoglycoprotein receptor 2	ASGR2	0.00384989	1.2762
"acetylserotonin O-methyltransferase-like /// double homeobox, 3 /// double homeo"	ASMTL /// DUX3 /// DUX4 /// HPX-2 /// LOC440014 ///LOC651709 /// LOC652119 /// LOC652291 /// LOC653543 /// LOC653544 /// LOC653545 /// LOC728410	0.039942	1.25193
activating transcription factor 7 interacting protein	ATF7IP	0.0327214	1.38536
"ATPase, Ca   transporting, plasma membrane 1"	ATP2B1	0.033573	1.29513
"ATPase, H  transporting, lysosomal V0 subunit a2"	ATP6V0A2	0.038168	1.35907
aurora kinase A	AURKA	0.021711	1.41912
"alpha-2-glycoprotein 1, zinc-binding pseudogene 1"	AZGP1P1	0.0187346	1.20482
BARX homeobox 2	BARX2	0.0144135	1.23605
BAT2 domain containing 1	BAT2D1	0.049895	1.31524
"3-hydroxybutyrate dehydrogenase, type 2"	BDH2	0.0378334	1.2193
brain-derived neurotrophic factor	BDNF	0.0351062	1.56873
bestrophin 4	BEST4	0.0188661	1.88652
Bone morphogenetic protein 8b	BMP8B	0.00659403	1.32615
biphenyl hydrolase-like (serine hydrolase)	BPHL	0.0203402	1.32522
bromodomain containing 7 pseudogene 3	BRD7P3	0.0411354	1.3175
"bruno-like 4, RNA binding protein (Drosophila)"	BRUNOL4	0.0073973	1.21852
chromosome 10 open reading frame 116	C10orf116	0.0470241	1.30679
chromosome 10 open reading frame 12	C10orf12	0.0161912	1.24896
chromosome 10 open reading frame 53	C10orf53	0.0122248	1.28033
chromosome 10 open reading frame 92	C10orf92	0.0366225	1.99404
chromosome 11 open reading frame 24	C11orf24	0.0240455	2.29815
chromosome 11 open reading frame 72	C11orf72	0.0259416	1.23752
chromosome 11 open reading frame 80	C11orf80	0.0102197	1.2278
chromosome 12 open reading frame 54	C12orf54	0.0381037	1.24121
chromosome 12 open reading frame 66	C12orf66	0.00657516	1.2348
chromosome 15 open reading frame 40	C15orf40	0.045376	1.63219
chromosome 16 open reading frame 52	C16orf52	0.0236738	1.34395
chromosome 16 open reading frame 57	C16orf57	0.0309777	1.21003
chromosome 17 open reading frame 42	C17orf42	0.014526	1.22217
chromosome 17 open reading frame 67	C17orf67	0.00530478	1.26288
chromosome 18 open reading frame 16	C18orf16	0.0129867	1.56578
chromosome 18 open reading frame 21	C18orf21	0.00760954	1.60704
chromosome 19 open reading frame 12	C19orf12	0.0343692	2.12217
chromosome 19 open reading frame 30	C19orf30	0.00442321	1.98752
chromosome 19 open reading frame 50	C19orf50	0.0180032	1.36566
complement component 2 /// complement factor B	C2 /// CFB	0.0477289	1.65773
chromosome 21 open reading frame 128	C21orf128	0.00632046	1.23224
chromosome 21 open reading frame 56	C21orf56	0.00789872	1.22683
chromosome 21 open reading frame 67	C21orf67	0.036097	1.20934
chromosome 2 open reading frame 18	C2orf18	0.0262639	1.34208
chromosome 2 open reading frame 44	C2orf44	0.0268465	1.40338
chromosome 2 open reading frame 65	C2orf65	0.01931	1.20536
chromosome 2 open reading frame 68	C2orf68	0.0389719	-1.531
chromosome 2 open reading frame 73	C2orf73	0.0116624	1.40363
chromosome 3 open reading frame 62	C3orf62	0.045284	1.25625
chromosome 4 open reading frame 29	C4orf29	0.0454019	1.21711
Chromosome 5 open reading frame 28	C5orf28	0.0492207	1.78054
chromosome 5 open reading frame 40	C5orf40	0.0480825	1.56908
chromosome 5 open reading frame 41	C5orf41	0.00870884	1.31407
chromosome 6 open reading frame 89	C6orf89	0.0277958	1.33125
chromosome 6 open reading frame 97	C6orf97	0.0255196	1.37039
chromosome 7 open reading frame 49	C7orf49	0.024864	1.48292
chromosome 8 open reading frame 5	C8orf5	0.0394577	1.3148
chromosome 9 open reading frame 140	C9orf140	0.0149455	1.96481
chromosome 9 open reading frame 3	C9orf3	0.0276543	1.50774
chromosome 9 open reading frame 30	C9orf30	0.0461363	1.54205
chromosome 9 open reading frame 31	C9orf31	0.0199966	1.26696
chromosome 9 open reading frame 86	C9orf86	0.0436692	1.36661
