GH11J072084	RAD51||EGR2||ZNF24||USF2||USF1
GH11J072091	POLR2A||KLF17||CTCF||REST||ZNF592||MAZ||ZNF654||TRIM22||SSRP1||ZNF217||ZNF341||NR2C1||ELF1||HOMEZ||RAD21||ZNF511||SIN3A||MIER3||THAP11||SMC3||NBN||RBM22||JUND||SPI1||PRDM10||ESRRA||ZNF189||MLLT1||IKZF1||HNF4A||EGR1||NR2F1||ZNF48||ZNF792||ZNF143||ZFP69B||RXRB||IKZF5||CREM||HDAC1||GABPB1||ARID4B||ARID2||TARDBP||XRCC5||ZNF629||ZNF687||IKZF2||YY1||CTBP1||RXRA||MTA3||CBX3||RUNX3||CC2D1A||ETV6||HMBOX1||NR2F2||CHD1||GATAD2B||PRDM1||ZNF335||ZNF444||BCLAF1||ERF
GH11J072058	ZNF600||ZNF664||REST||OSR2||CEBPB
GH11J072115	ZNF592||NFE2||MAFG||TAF7||ZFP3||GTF2F1||ZNF740||EMSY
GH11J072035	
GH11J072123	NCOR1||ZNF316||ZMYM3||MEIS2||KDM1A||PKNOX1||IKZF1||BCOR||SMARCA4||PBX2
GH11J072023	CTCF||RCOR1||REST||DEK||ZNF654||TRIM22||ZNF217||KLF11||CTBP1||CUX1||SAP130||RAD21||MAFF||THAP11||SMC3||ZNF316||SIN3A||SKIL||MAFK||MAX||ZNF2||MAFG||SMARCE1||ZNF384||RB1||ZNF664||HDGF||RAD51||DPF2||ZNF48||ZNF362||ZNF143||ZFP69B||RXRB||IKZF5||CEBPG||KDM3A||ZNF580||GATA2||ARID4B||ARID2||MTA3||FOS||XRCC5||ZNF692||YY1||ZNF24||ESRRA||IRF2||ZBTB17||RXRA||ATF7||SMARCA5||JUND||CC2D1A||ZBTB20||ZNF121||HMBOX1||EMSY||ZNF444||BCLAF1
GH11J072137	CEBPB
GH11J072139	MAX||JUND||BHLHE40||ZC3H11A||FOS
GH11J072143	JUND||CTCF||REST||CEBPB||ZNF654||TRIM22||EP300||BHLHE40||RAD21||NONO||RFX5||SMC3||YY1||TCF7L2||FOSL2||TEAD3||BATF||SCRT1||MAFG||MAFF||DPF2||ZNF143||TEAD4||MEIS2||CREM||ATF3||KLF16||FOS||PATZ1||CTBP1||RB1||ATF7||RUNX3||TEAD1||EMSY||ZNF444||XRCC5||SCRT2
GH11J072017	
GH11J072001	POLR2A||ZNF10||ZNF341||SMAD5||RBM22||ESRRA||SUPT5H||PRDM10||SUZ12||GATAD2B||CBFA2T2||ZBTB17||ZNF512B||PPP1R10||POLR2B
GH11J072004	POLR2A||NFIC||RBM22||SUPT5H||ZBTB33||NFIB||GLIS1||LCORL||NFIA||EP300
GH11J072030	
GH11J072027	
GH11J072028	
GH11J071987	CEBPB
GH11J071962	SP1||DPF2||BCL11A||TRIM22||MAFF||IRF4||ZNF316||NFE2||MAFK||SPI1||BATF||BHLHE40||MAFG||NFE2L2||ZBTB33||IKZF1||NFATC1||BMI1||ZNF24||ATF2||JUNB||BACH1||ZNF217||CEBPB||NKRF||ZBED1||ARID1B||SMARCE1||ZNF507||ARID3A||TARDBP||RAD51||CREM||MTA2||IKZF2||RNF2||EED||NBN||RELB||RUNX3||ARNT||GATAD2B||HMBOX1||EMSY||SMARCA4
GH11J071993	POLR2A||SMAD5||SPI1||TBP||NR2F1||HDGF||MTA2||IKZF2||DPF2||NBN||RELB||MLLT1
GH11J071939	NFE2||ZBTB33||ZNF169
GH11J071976	CTCF||REST||DEK||ZNF654||TRIM22||RAD21||SMC3||SPI1||MYC||MAX||SCRT1||RAD51||RELB||SCRT2
GH11J072180	REST||CTCF||ZNF654||RAD21||TRIM22||CC2D1A
GH11J072183	DPF2||JUND||CTCF||REST||DEK||ZNF654||TRIM22||ZNF217||ARNT||BHLHE40||FOXA2||CTBP1||RAD21||SMC3||FOSL2||NFE2||EHMT2||BATF||FOXA1||MAFG||SMARCE1||EGR1||ZHX1||NR2F6||ZNF143||CREM||ELF3||JUNB||HDAC1||ARID1B||ATF3||KLF16||FOS||XRCC5||PATZ1||ZNF512||SOX6||PKNOX1||RB1||ATF7||CBX3||EP300||TRIM28||CC2D1A||SMARCA4||MYC
GH11J071940	
