GH11J072075	CTCF||SPI1
GH11J072077	DPF2||HCFC1||POLR2A||SP1||ATF2||JUND||SIX5||NCOR1||RCOR1||BRCA1||YY1||ZBTB10||ZNF207||MAZ||CEBPB||CHD2||CTCF||MBD2||NONO||ELK1||MNT||SIN3A||TBP||ZNF217||MAX||ZSCAN16||ARNT||NR2C1||MXD4||SMAD5||KMT2B||ELF1||HES1||BHLHE40||ETS1||SAP130||KLF9||ZNF511||MAFF||SP2||ZBTB7B||RFX5||DEAF1||THAP11||GABPA||NKRF||ZBTB33||REST||ZNF316||NBN||RXRA||SKIL||ETV4||KAT7||FOSL2||TAL1||USF2||MYNN||RBM22||ZKSCAN1||DRAP1||E4F1||ZFP91||ZNF143||DMAP1||ASH2L||MAFK||CREM||ATF1||SUPT5H||ZBTB40||ZBTB48||SPI1||SUZ12||BCL11B||KLF16||HDAC2||ZZZ3||MYC||PKNOX1||PRDM10||ZNF24||EP400||FOXK2||FOXM1||ZNF2||ZEB2||NRF1||MAFG||NCOA1||SMARCE1||TCF12||IKZF1||RB1||BMI1||ZNF664||MTA2||GATAD1||HBP1||HDGF||RBPJ||RAD21||MTA3||TAF1||CHD1||ZNF362||SIN3B||ATF4||ZNF518A||RFX1||TOE1||NR2F6||ZBTB21||NFYC||BACH1||GLIS1||ZNF398||ZFP69B||TEAD4||HNF4A||E2F7||CSDE1||MEIS2||ELF3||ZFX||SP7||CEBPG||L3MBTL2||KLF5||HDAC1||GABPB1||ZNF366||ZNF384||ARID1B||ZNF561||ARID4B||E2F4||ZNF507||KLF10||CREB1||ATF3||ZSCAN21||PHF21A||ZBTB12||SP3||MIXL1||ZBTB8A||DACH1||TARDBP||EGR2||GATAD2A||GTF2F1||XRCC5||HNRNPL||NFKBIZ||TGIF2||ZNF629||CBFA2T2||U2AF2||ZNF692||KDM1A||KDM4B||ZHX2||CDC5L||IKZF2||KAT8||TRIM24||MZF1||ATF7||ZBTB17||ZNF579||E2F8||NFRKB||TFDP1||EED||EGR1||SMARCA5||PHF8||EP300||POLR2B||RELB||RUNX3||FOXA3||RFX3||RFXANK||ZBTB20||ZNF121||ZBTB11||HMBOX1||CBFA2T3||NR2F2||MEF2D||RBFOX2||ZFHX2||PML||BCLAF1||ZGPAT||MLLT1||TEAD1||EMSY||SMARCA4||ZBTB26||GATAD2B||ZNF335||ZNF444||NR2F1||SCRT2||E2F1
GH11J072068	POLR2A||JUND||ATF3||ZNF600||YY1||ZNF592||CEBPB||MAX||RAD21||RFX5||SMC3||EBF1||TBP||RXRA||USF2||ZBTB33||IKZF1||HNF4A||NR2F1||SP1||ZBED1||SPI1||EGR2||FOS||ZNF687||IKZF2||PRDM10||EED||RELB||RUNX3||GATAD2B||NR2F2||EGR1||EP300||PRDM1||SCRT2
GH11J072098	HCFC1||SP1||POLR2A||NCOR1||CTCF||RCOR1||KLF9||BRCA1||YY1||ZBTB10||REST||ZNF207||MAZ||ZNF592||MBD2||NONO||ELK1||TARDBP||TRIM22||MNT||SIN3A||ZMYM3||SSRP1||TBP||ZNF217||MAX||NR2C1||KLF7||CHD4||MXD4||RAD51||SMAD5||KMT2B||ELF1||TAF9B||BHLHE40||ETS1||ZNF610||FOXA2||SAP130||ZNF511||HOMEZ||SP2||THAP11||GABPA||SMC3||NKRF||SIN3B||SMARCA5||ZNF316||CBFB||ETV4||KAT7||PAX8||FOSL2||USF2||MYNN||DRAP1||TEAD3||DMAP1||NUFIP1||THRB||MBD1||ATF1||KDM5A||SUPT5H||PTBP1||ZBTB40||RAD21||SPI1||GTF2F1||BCL11B||ZNF318||KLF16||ZZZ3||MYC||TAF1||EHMT2||PKNOX1||KDM1A||EP400||FOXK2||FOXA1||SMARCA4||MAFG||ZC3H8||PAX5||TCF12||IKZF1||NFATC1||EGR1||MTA2||GATAD1||NR2F1||TAF7||RBPJ||MAFK||ZNF48||CHD1||ZNF792||ZNF518A||RBBP5||ARNT||TOE1||NFYC||BACH1||GLIS1||RLF||MAFF||CREM||DPF2||ZFX||KLF1||SP7||PHF20||L3MBTL2||SREBF1||KLF5||KDM3A||HDAC1||ZNF580||TEAD2||GABPB1||ARID1B||ARID4B||GMEB1||E2F4||NFATC3||ZNF687||KLF10||CREB1||MLLT1||ZNF644||MLX||ATF3||MIXL1||SP3||ZBTB8A||SP5||ZNF24||ZXDB||ZNF143||MTA3||FOS||NFKBIZ||TGIF2||MTA1||CBFA2T2||CHD2||KDM4B||PATZ1||IKZF2||RNF2||LARP7||KAT8||CTBP1||TRIM24||ZNF354B||ESRRA||IRF2||ZBTB26||IRF3||ATF2||ZKSCAN8||ZNF579||GLIS2||RXRA||SOX6||NFRKB||TFDP1||RB1||ELF4||ATF7||PHF8||U2AF1||CBX3||POLR2B||RELB||TRIM28||KLF8||RUNX3||FOXA3||LEF1||USF1||ZNF184||NRF1||ZBTB11||AFF1||CBFA2T3||ZBTB25||RBFOX2||TFE3||ZGPAT||ZBTB2||TEAD1||HDGF||EMSY||HDAC2||SREBF2||ZNF335||ZNF444||XRCC5||BCLAF1||GMEB2||ERF||E2F1||MGA
GH11J072110	HCFC1||KLF6||ZNF580||SP1||POLR2A||JUND||ATF3||NCOR1||ZNF600||RCOR1||DNMT3B||BRCA1||YY1||HIC1||CEBPA||NFIC||ZNF207||DEK||CEBPB||CHD2||UBTF||CTCF||ZNF592||MBD2||ELK1||MNT||IRF3||ZMYM3||SSRP1||TBP||ZNF639||ZNF217||MAX||ZEB1||ARNT||NR2C1||KLF7||SMAD5||KMT2B||ELF1||TAF9B||BHLHE40||ETS1||FOXA2||CTBP1||SAP130||KLF9||HOMEZ||SP2||RFX5||SIN3A||DEAF1||MIER3||TARDBP||THAP11||NFATC3||GABPA||SMC3||NKRF||SIN3B||ZNF316||NBN||SMAD4||RXRA||DDX20||CBFB||SKIL||ZBTB33||TCF7L2||ETV4||USF2||DRAP1||MAFK||TEAD3||ASH2L||CEBPZ||CREM||MBD1||ATF1||CBX1||ZNF205||SUPT5H||PTBP1||ZBTB40||SPI1||BCL11B||HDAC2||MYC||TAF1||PKNOX1||PRDM10||KDM1A||ESRRA||MAZ||THRAP3||EP400||FOXK2||MLLT1||FOXA1||SOX5||STAT5A||FOXM1||SMARCA4||ZNF2||GTF2F1||ZEB2||NRF1||MAFG||ZC3H8||SRF||RAD51||IKZF1||DIDO1||INSM2||ZNF384||RB1||HNF4A||EGR1||MTA2||GATAD1||HBP1||MAFF||NR2F1||HDGF||REST||TAF7||RBPJ||RAD21||MTA3||ZNF362||MIER2||ZNF518A||STAT1||NR2F6||ZBTB21||NFYC||NFIB||BACH1||NFE2L2||LARP7||ZNF143||ZNF652||GATA4||RXRB||CSDE1||MEIS2||TCF12||IKZF5||DPF2||ZFX||ELF3||KLF1||SP7||PHF20||L3MBTL2||KLF5||HDAC1||KDM3A||NFIA||GABPB1||ZBED1||CUX1||ARID4B||NFIL3||GMEB1||SMARCE1||E2F4||ZNF687||KLF10||CREB1||TBL1XR1||HSF1||MLX||ZSCAN21||SP3||ZNF660||SP5||EGR2||TGIF2||ZNF629||ZNF692||KDM4B||RNF2||KAT8||IRF2||TRIM22||ZBTB17||SOX13||ZNF24||SOX6||NFRKB||BCL11A||ZHX2||TFDP1||CHAMP1||ZNF740||ZNF501||ELF4||ATF7||PHF8||CBX3||GATAD2B||SREBF1||ZKSCAN1||EP300||POLR2B||RELB||KLF8||FOXA3||CC2D1A||USF1||NFXL1||BCOR||FOS||ZBTB11||ZSCAN29||AHR||AFF1||HMBOX1||CBFA2T3||NR2F2||RBFOX2||SMARCA5||CHD1||ZFHX2||TFE3||PML||SKI||BRD9||ZGPAT||PBX2||EMSY||SREBF2||ZNF335||ZNF444||XRCC5||MTA1||ERF||E2F1||MGA
GH11J072037	SP1||POLR2A||KLF17||RCOR1||ZNF600||ZIC2||YY1||HIC1||ZNF207||NFIC||MAZ||CTCF||CHD1||ZNF217||ZSCAN16||ZNF341||ZNF223||ELF1||FEZF1||FOXA2||SAP130||KLF9||ZNF511||SIN3A||MIER3||THAP11||NBN||EBF1||SMAD4||RXRA||ETV4||KAT7||RBM22||RARA||DRAP1||TEAD3||ZFP91||JUND||CREM||MBD1||ZNF205||FOXP1||TAF1||PKNOX1||PRDM10||MAFK||BHLHE40||EP400||ZNF189||FOXA1||SOX5||FOXM1||SMARCE1||IKZF1||RB1||HNF4A||ZNF664||EGR1||HBP1||NR2F1||HDGF||RAD21||ZNF362||TOE1||NFIB||GLIS1||REST||STAT3||ZNF398||ZFP69B||MAX||ZNF652||RXRB||ATF1||ZC3H8||ZKSCAN1||ELF3||SP7||L3MBTL2||ZNF580||NFIA||GATA2||ZNF366||TRIM28||ZNF561||ARID4B||NFIL3||ZNF687||KLF10||CREB1||ZSCAN4||MNT||SP3||SMAD5||ZNF660||SP5||ZNF24||ZXDB||ZFX||GATAD2A||ZEB2||XRCC5||HNRNPL||ZNF629||MTA1||ZNF692||CHD2||PATZ1||KDM4B||ZHX2||MTA2||OSR2||IKZF2||ZNF558||KAT8||IRF2||TRIM22||ZBTB17||GLIS2||ZNF579||TARDBP||GABPA||ZNF512B||TFDP1||ZNF501||ATF3||ATF7||ZSCAN29||RELB||FOXA3||ZBTB40||ZBTB20||ARNT||ZNF121||AFF1||NR2F2||ZBTB25||RBFOX2||ZFHX2||ZNF423||MLLT1||PRDM1||ZNF335||ZNF444||ERF||ELK1||WT1
GH11J071995	NCOR1||REST||CTCF||ZNF592||MBD2||MNT||IRF2||PRDM1||GABPA||ZNF316||EBF1||MYNN||RBM22||TAL1||ZFP91||POLR2A||SPI1||HDAC2||EHMT2||ELF1||BHLHE40||FOXM1||ZEB2||NRF1||NCOA1||TCF12||EGR1||ZNF143||TEAD4||MEIS2||CREM||DPF2||L3MBTL2||HDAC1||ARID1B||ZNF184||ATF3||IKZF1||TBL1XR1||PHF21A||CBFA2T2||ZNF687||OSR2||RNF2||TARDBP||ZNF24||CTBP1||TRIM24||PKNOX1||EED||IKZF2||RB1||MTA3||ATF7||CBX3||ZKSCAN1||TRIM28||ETV6||CC2D1A||LEF1||ZBED1||BCOR||MTA2||HMBOX1||CBFA2T3||ZBTB2||SMARCA4||MYC||MTA1||UBTF
GH11J072012	POLR2A||CTCF||ZNF600||ZIC2||ZNF10||REST||SMC3||RBM22||RAD21||HNF4A||ZFX||MAFK||ZBTB33||YY1||EP300||SREBF2
GH11J071991	SP1||YY1||BCL11A||TRIM22||IRF4||SMARCA5||CBFB||BATF||BHLHE40||PAX5||IKZF1||BMI1||ZNF24||NR2F1||MTA3||ATF2||JUNB||STAT1||BACH1||ZNF217||KLF5||PKNOX1||TBL1XR1||ARID3A||SPI1||TARDBP||RAD51||ZNF687||CREM||MTA2||IKZF2||EED||DPF2||NBN||RELB||RUNX3||ETV6||ARNT||MLLT1||BCLAF1
GH11J072189	CEBPB||MAX||TBP||EGR1||POLR2A||TEAD4||HDAC1||KLF1||EGR2||CTBP1||IKZF1||NRF1||CBFA2T3||ZFHX2
GH11J071927	HCFC1||ZNF580||POLR2A||SP1||SIX5||NCOR1||ZNF600||RCOR1||ZNF10||BRCA1||YY1||ZBTB10||NFIC||ZNF207||CHD2||ZNF592||ELK1||HES1||TRIM22||MNT||SIN3A||IRF3||REST||TBP||ZNF639||ZNF217||MAX||ZSCAN16||ZEB1||ARNT||NR2C1||CHD4||IRF2||MXD4||SMAD5||KMT2B||KLF11||ELF1||TAF9B||BHLHE40||ETS1||FEZF1||ZNF610||FOXA2||SAP130||KLF9||HOMEZ||ZNF511||SP2||ZBTB7B||TARDBP||THAP11||NFATC3||GABPA||NKRF||ZBTB33||SIN3B||NBN||EBF1||RXRA||CBFB||SKIL||ETV4||KAT7||TAL1||RARA||DRAP1||TEAD3||ZFP91||ZNF143||GLI4||NUFIP1||ZSCAN5A||CREM||MBD1||ZNF843||HLTF||FOXP1||KDM5A||SUPT5H||ZNF146||ZBTB40||ZBTB48||SUZ12||BCL11B||KLF16||HDAC2||ZZZ3||MYC||TAF1||EHMT2||ZSCAN23||PRDM10||ESRRA||MAZ||THRAP3||EP400||FOXK2||ZNF189||MLLT1||STAT5A||FOXM1||SMARCA4||ZNF2||NRF1||TCF12||IKZF1||DIDO1||INSM2||ZFP37||RB1||HNF4A||EGR1||MTA2||ZNF24||RFX5||ZBTB1||GATAD1||NR2F1||HDGF||TAF7||HDAC1||RBPJ||MTA3||CBLL2||ZNF792||ATF2||ZNF518A||JUNB||STAT1||TOE1||NR2F6||ZBTB21||NFYC||NFIB||BACH1||GLIS1||PRDM4||TFAP4||LARP7||ZNF18||ZNF398||TEAD4||E2F7||CSDE1||ATF1||MEIS2||ZC3H8||ZKSCAN1||DPF2||SP7||PHF20||L3MBTL2||KLF5||KDM3A||GABPB1||NFRKB||PKNOX1||KLF1||ZNF785||ARID1B||ZNF561||ARID4B||MCM2||GMEB1||E2F4||ZNF687||ZBTB7A||NCOA6||KLF10||CREB1||ZNF324||YY2||ZNF140||ZNF644||TBL1XR1||ZNF184||ARID3A||CTCF||SP3||ZNF660||SP5||DACH1||ZXDB||EGR2||GTF2F1||XRCC5||DDX20||ZNF629||KDM1A||KDM4B||PATZ1||ZHX2||OSR2||RNF2||LEF1||KAT8||TRIM24||ZKSCAN8||ZBTB17||E2F8||GLIS2||EZH2||SOX6||BCL11A||ZNF512B||TFDP1||CHAMP1||ZNF501||RAD21||ELF4||ATF7||PHF8||YBX3||CBX3||BMI1||SREBF1||PAX8||POLR2B||RELB||TRIM28||RUNX3||CC2D1A||REPIN1||ZBTB20||ZBED1||BCOR||ZBTB11||ZSCAN29||AHR||AFF1||CBFA2T3||NR2F2||MEF2D||ZBTB25||RBFOX2||SMARCA5||ZFHX2||PML||SKI||BRD9||ZGPAT||ZBTB2||TEAD1||EMSY||ZBTB26||GATAD2B||ZNF335||ZNF444||HNRNPUL1||MIER1||BCLAF1||SCRT2||ERF||E2F1||MGA||UBTF
