CBFA2T3 ENSG00000129993
DEK ENSG00000124795
EHMT2 ENSG00000204371
EHMT2 ENSG00000206376
EHMT2 ENSG00000224143
EHMT2 ENSG00000227333
EHMT2 ENSG00000232045
EHMT2 ENSG00000236759
EHMT2 ENSG00000238134
ETV4 ENSG00000175832
FOS ENSG00000170345
FOXM1 ENSG00000111206
GATA3 ENSG00000107485
GATAD2B ENSG00000143614
GATAD2B ENSG00000261992
KLF5 ENSG00000102554
LEF1 ENSG00000138795
MCM3 ENSG00000112118
MXD3 ENSG00000213347
PBX2 ENSG00000204304
PBX2 ENSG00000206315
PBX2 ENSG00000224952
PBX2 ENSG00000225987
PBX2 ENSG00000232005
PBX2 ENSG00000236353
PBX2 ENSG00000237344
RXRB ENSG00000204231
RXRB ENSG00000206289
RXRB ENSG00000227322
RXRB ENSG00000228333
RXRB ENSG00000231321
RXRB ENSG00000235712
SCRT2 ENSG00000215397
SP5 ENSG00000204335
TCF12 ENSG00000140262
TCF7L2 ENSG00000148737
TEAD2 ENSG00000074219
ZBTB20 ENSG00000181722
