AFF1 ENSG00000172493
BRCA1 ENSG00000012048
DACH1 ENSG00000276644
E2F4 ENSG00000205250
ELF3 ENSG00000163435
ELF4 ENSG00000102034
ETV1 ENSG00000006468
GTF2F1 ENSG00000125651
HOMEZ ENSG00000215271
IKZF2 ENSG00000030419
MTA1 ENSG00000182979
NR2F1 ENSG00000175745
NR2F2 ENSG00000185551
OSR2 ENSG00000164920
PAF1 ENSG00000006712
PBX2 ENSG00000204304
PBX2 ENSG00000206315
PBX2 ENSG00000224952
PBX2 ENSG00000225987
PBX2 ENSG00000232005
PBX2 ENSG00000236353
PBX2 ENSG00000237344
REST ENSG00000084093
RNF2 ENSG00000121481
RXRB ENSG00000204231
RXRB ENSG00000206289
RXRB ENSG00000227322
RXRB ENSG00000228333
RXRB ENSG00000231321
RXRB ENSG00000235712
SREBF1 ENSG00000072310
SREBF2 ENSG00000198911
TCF7L2 ENSG00000148737
TEAD1 ENSG00000187079
TFAP4 ENSG00000090447
THRB ENSG00000151090
U2AF2 ENSG00000063244
XRCC3 ENSG00000126215
ZNF174 ENSG00000103343
ZNF217 ENSG00000171940
ZNF514 ENSG00000144026
ZNF623 ENSG00000183309
ZNF623 ENSG00000276340
ZNF680 ENSG00000173041
ZNF687 ENSG00000143373
