GH04J108742	CTCF||RAD21
GH04J108714	CEBPA||SOX13||ESR1||GATA3||RAD21||ZSCAN16||NFIL3||PRDM6||TCF7L2||SOX5||HLF||SMARCE1
GH04J108854	
GH04J108849	JUND||ZNF561||CEBPB||RUNX3||FOS||MAFK||PRDM6||ZNF148
GH04J108674	
GH04J108852	
GH04J108700	RCOR1||JUND||MEIS2||GATA2||POLR2A
GH04J108682	CTCF||SPI1||RXRA
GH04J108880	CREB1||CEBPB||NFE2||ZNF316||FOS||BHLHE40||JUN||ATF2||NFE2L2||EMSY
GH04J108877	JUND||SCRT2||ZNF10||ZSCAN5C||NR2F2||ATF3||JUN||NANOG
GH04J108684	IKZF1||PKNOX1||NFE2||HDAC2||ZNF316||MAFK||MAFG||BCOR||DPF2||ADNP||CEBPB||KDM1A||NFE2L2||MEIS2||ZMYM3||MAFF||BACH1||ZNF652||ARID1B||EMSY
GH04J108830	ZNF629||ZNF501||ZNF600||ZNF561||ZBTB44||ZXDB||ZSCAN5C||OSR2||ZNF580||BCL11A||ZBTB17||NFIC||NR2F2||WT1||ZNF335||ZNF610||PRDM4||ZNF18||ZNF843||FEZF1||ZSCAN26||PRDM6||GLIS1||TRIM28||KLF10||ATF2||INSM2||GFI1B||ZBTB6||MZF1||SP7||PKNOX1
GH04J108695	MGA||NFE2||TRIM24||ATF4||CEBPB||CEBPG||ATF3||ATF2||RNF2
GH04J108829	
GH04J108833	CTCF||REST||RAD21||SOX6||SMC3||BHLHE40||ZNF654||ZNF660||MAFF||ZNF143||CC2D1A||ARID2
GH04J108837	PRDM10||CTCF
GH04J108884	
GH04J108883	
GH04J108903	
GH04J108905	USF1
GH04J108906	PKNOX1
GH04J108896	CREB1||ATF2
GH04J108876	RAD21
GH04J108931	
GH04J108972	PKNOX1||ZNF24||HDAC1||SOX6||EP300||MGA||CTBP1||HDAC2||STAT5A||ZNF592||NCOA1||BATF||CEBPB||ZEB2||MEIS2||SMARCA4||SMARCE1||RNF2||L3MBTL2||TEAD4||ARID1B
GH04J108944	NR2F2
GH04J108962	
GH04J108961	
GH04J108889	NR2F2||RXRA
GH04J108888	
GH04J108899	RFX1
GH04J108982	ZIC2||ZNF561||ZBTB44||TCF7L2||ZXDB||TSHZ1||OSR2||ZNF580||BCL11A||WT1||OVOL3||ZNF610||PRDM4||ZNF213||ZNF18||ZNF843||FEZF1||BCL11B||PRDM6||TRIM28||ZNF24||ZBTB33||ZBTB12||INSM2||GFI1B||CTBP1||SP7||PKNOX1||ZEB2
GH04J108950	NR2F2||RXRA
GH04J108926	
GH04J108925	
GH04J108927	
GH04J109025	ZNF512||LEF1||IKZF1||JUND||PRDM1||MTA2||ZIC2||MTA1||ZNF24||DPF2||SOX6||GATAD2B||TCF12||EP300||CBX3||ZNF766||MTA3||TAF9B||FOXK2||HDAC2||ZNF585B||GATAD2A||PHB2||TBL1XR1||ZKSCAN1||EP400||TRIM24||NCOR1||MIER1||EHMT2||NFIC||WT1||STAT5A||BCOR||FOXM1||MNT||ZNF395||TAL1||ZFP91||VEZF1||PRDM10||NBN||NFE2||ZEB2||NFATC3||ZNF184||KLF16||MLLT1||SMARCA4||SMARCE1||ZMYM3||RNF2||CTCF||KDM1A||CHAMP1||TEAD4||CBFA2T2||CBFA2T3||ARID1B||CC2D1A||GTF2F1||PML||GMEB1
GH04J109003	HMBOX1||FOSL1||MEIS2||EGR2
GH04J108940	YY1||ZFHX2||CTCF||PRDM6||RAD21||EGR2||GLIS2
GH04J109275	
GH04J108953	
GH04J108955	JUND||PKNOX1||EZH2||DPF2||TCF12||RFX1||NCOR1||FOSL1||CUX1||STAT5A||NFE2||ZEB2||MEIS2||MTA2||RNF2||DACH1||CBFA2T3||ARID1B||SP7||PML
GH04J109095	
GH04J109278	BACH1||TCF12||IKZF2||TRIM22||PKNOX1||ARID3A||ZSCAN29||PAX8||DPF2||RELB||GATAD2B||NFE2||ZNF316||ZBTB40||ZNF592||MAFK||MAFG||BCL11A||ARNT||ELF1||NBN||IKZF1||BMI1||NR2F1||EBF1||ZFP91||KLF5||TBX21||ATF7||ATF2||MTA2||TARDBP||BHLHE40||ZNF217||MAFF||ZNF24||NKRF||NFE2L2||ZNF687||SPI1||EMSY||MLLT1||RAD51
GH04J109009	POLR2A||SMARCA4
GH04J109007	TEAD4||ZIC2
GH04J108992	PRDM10||CEBPB||JUN
GH04J108988	LEF1||JUND||DPF2||HDAC1||EP300||POLR2A||NFE2||ZNF316||JUN||FOS||TRIM24||FOSL1||TBP||ZNF592||NR2F1||SMAD5||ATF3||ZEB2||NFATC3||SMARCA4||ATF2||SMARCE1||RNF2||MAFF||RAD51||BACH1||TEAD4||EGR1||ZNF148||ARID1B||EMSY||PML||ATF1
GH04J109039	HMBOX1
GH04J109041	USF2||MEIS2
GH04J109176	MYNN||CEBPB
GH04J109036	
GH04J109101	
GH04J109179	
GH04J109294	CTCF||REST||RAD21||TRIM22||NFE2||SMC3||YY1||ELF1||SPI1||ZNF654||ZNF143||NFE2L2||CHAMP1||CC2D1A
GH04J109046	JUND||PKNOX1||HDAC1||EP300||CEBPB||FOXK2||NR2F2||CEBPG||IRF2||MNT||ZNF592||BHLHE40||DPF2||NFATC3||MEIS2||IKZF1||ZBTB40||KDM1A||L3MBTL2||CBFA2T3||ARID1B||ATF1||SMARCA4
GH04J109044	
GH04J109184	IKZF1||JUND||DPF2||EP300||MGA||CTBP1||ZBTB2||HDGF||USF1||MNT||MYC||EP400||TRIM28||NR2F2||TBP||TFDP1||ZNF592||TAL1||CREM||NR2F6||HDAC2||ATF3||KLF1||TCF12||ATF1||ATF2||SMARCE1||NANOG||L3MBTL2||TEAD4||USF2||ATF7||BCL6B||ZBTB6||TRIM24||CBFA2T3||ARID1B||SMARCA4
GH04J109182	
GH04J109112	
GH04J109052	
GH04J109053	PKNOX1||EZH2||BRD9||SOX6||NFE2||ZNF316||MAFG||MAFK||NFATC3||MEIS2||MAFF||EMSY
GH04J109206	PRDM10||ZNF629||ZNF692||PRDM1||ZIC2||PATZ1||ZNF501||ZNF600||ZNF341||ZNF561||ZBTB44||ZNF639||ZNF10||ZXDB||CTBP1||TSHZ1||CEBPB||ZSCAN5C||CHD2||OSR2||ZNF580||BCL11A||RCOR1||ZBTB48||ZBTB17||ZNF423||ATF2||NFIC||EP300||WT1||ZFHX2||KLF8||ZNF189||RFX5||ZNF335||ZNF610||STAT3||PRDM4||ZNF213||ZFP69B||KLF17||ZNF18||ZSCAN16||HIC1||ZNF366||ZNF843||ZSCAN23||VEZF1||FEZF1||BCL11B||PRDM6||ZNF324||ZNF660||GLIS1||TRIM28||ZNF398||ZNF2||ZNF24||KDM1A||ZNF664||ZEB2||KLF10||MAFF||SP3||INSM2||ZBTB21||EGR2||GFI1B||ZNF19||BCL6B||MZF1||ZNF488||SP7||ZSCAN21||ZBTB8A||PKNOX1
GH04J109205	YY1||HCFC1||ZNF143||SIX5
GH04J109122	
GH04J109211	CEBPB||EP300
GH04J109212	EP300||CEBPB
GH04J109125	IKZF1||PKNOX1||DPF2||ZBTB20||NFE2||ZSCAN29||ZNF316||MAFG||MAFK||ZNF592||CEBPB||ATF3||ETV1||PRDM10||KDM1A||ZEB2||MEIS2||ATF2||MAFF||BACH1||ATF7||ELF1||ARID1B||EMSY||GMEB1||SMARCA4
GH04J109214	ATF7||NFE2||ATF2||NFIC||ZNF366||JUN||JUND
GH04J109068	
GH04J109069	
GH04J109066	
GH04J109065	
GH04J109358	RUNX3
GH04J109361	
GH04J109067	ZNF512||IKZF1||CEBPB||CHD2||JUN||RCOR1||JUND||MAX||EP300||RAD21||CEBPG||STAT3||TCF7L2||USF2
GH04J109072	CEBPG||PRDM10||ZNF692||ZIC2||CEBPB||JUN||RCOR1||JUND||MAX||EP300||RFX5||STAT3||TCF7L2||NFE2L2||ZNF398
GH04J109232	
GH04J109146	
GH04J109078	PRDM10||ZNF600||ZXDB||CEBPB||OSR2||JUN||FOS||ZBTB17||JUND||EP300||BCOR||RAD21||MAFK||PRDM6||IKZF1||ZMYM3||SP7||ZSCAN21
GH04J109154	
GH04J109155	PKNOX1||POLR2A||NFIC||PRDM6||MEIS2
GH04J109159	
GH04J109265	SCRT2
GH04J109088	
GH04J109163	TEAD4||ZNF24||CEBPB
GH17J008036	ZNF580||ZNF146||ZMYM3
GH17J008031	ATF7||CEBPA||FOXA1||FOXA2||FOXP1||MIER3||FOSL2||RARA||LCORL||NR2F6||FOXA3||NR3C1
GH17J008033	PRDM1||FOXA1
GH17J008029	CTBP1||NFE2||PKNOX1||FOS
GH17J008023	CEBPG||ATF4||CEBPB||ATF3
GH17J008028	ATF4
