GH19J005286,ZFP36
GH08J102551,CREB1
GH08J102551,ZNF629
GH08J102551,RFX1
GH08J102551,ATF7
GH08J102551,ATF2
GH08J102551,EBF1
GH08J102551,JUND
GH08J102551,CREM
GH08J102854,
GH04J026163,
GH04J026070,
GH12J053740,ZNF629
GH12J053740,ZNF692
GH12J053740,ZIC2
GH12J053740,POLR2A
GH12J053740,EZH2
GH12J053740,ZNF600
GH12J053740,ZNF561
GH12J053740,SCRT2
GH12J053740,ZNF639
GH12J053740,TSHZ1
GH12J053740,OSR2
GH12J053740,ZNF266
GH12J053740,ZBTB17
GH12J053740,ZNF423
GH12J053740,ATF2
GH12J053740,WT1
GH12J053740,OVOL3
GH12J053740,ZNF189
GH12J053740,PRDM4
GH12J053740,ZNF213
GH12J053740,ZFP69B
GH12J053740,KLF17
GH12J053740,ZNF18
GH12J053740,HIC1
GH12J053740,ZNF843
GH12J053740,VEZF1
GH12J053740,FEZF1
GH12J053740,ZSCAN26
GH12J053740,CBLL2
GH12J053740,ZNF146
GH12J053740,PRDM6
GH12J053740,ZNF324
GH12J053740,ZNF660
GH12J053740,GLIS1
GH12J053740,ZNF24
GH12J053740,ZNF664
GH12J053740,KLF10
GH12J053740,KLF16
GH12J053740,ZBTB12
GH12J053740,INSM2
GH12J053740,ZBTB21
GH12J053740,CTBP1
GH12J053740,GATA2
GH12J053740,ZBTB6
GH12J053740,ZNF488
GH12J053740,SP7
GH12J053740,ZNF121
GH12J053740,ZBTB8A
GH12J053740,PKNOX1
GH12J053740,ZEB2
GH11J012985,
GH07J099980,YY1
GH07J099980,REST
GH07J099980,TAF1
GH07J100107,POLR2A
GH03J044580,
GH03J044439,ZNF24
GH03J044439,ZNF740
GH03J044439,ZNF766
GH03J044439,POLR2A
GH03J044439,NFE2
GH03J044439,E2F5
GH03J044439,ZBTB11
GH03J044439,MEF2D
GH03J044439,GTF2A2
GH03J044439,CUX1
GH03J044439,RELA
GH03J044439,ZNF644
GH03J044439,TFDP1
GH03J044439,HDAC8
GH03J044439,ZNF592
GH03J044439,ZNF395
GH03J044439,ZNF584
GH03J044439,ZNF589
GH03J044439,ZNF507
GH03J044439,ETV1
GH03J044439,ID3
GH03J044439,DIDO1
GH03J044439,IRF9
GH03J044439,TAF7
GH03J044439,TEAD2
GH03J044439,PYGO2
GH03J044439,ZNF354B
GH03J044439,NR4A1
GH03J044439,BACH1
GH03J044439,NR2C1
GH03J044439,CAVIN1
GH03J044439,ZBTB40
GH03J044439,ZNF639
GH03J044439,PTTG1
GH03J044439,ATF1
GH03J044439,ZNF83
GH03J042936,NR2C1
GH03J042936,MGA
GH03J042936,NR2C2
GH03J042936,GABPA
GH03J042936,CREM
GH03J042936,ZBTB40
GH03J042936,GABPB1
GH03J042936,L3MBTL2
GH03J042936,ATF1
GH12J124014,
GH08J144752,
