InputTerm,Symbol,GHIDs,GHtype,NumGenesAway,OtherGeneTargets,Score,Sources,TFBSs,TSSdistance
AGXT2L1,ETNPPL,GH04J108762,Promoter/Enhancer,0,lnc-COL25A1-6||OSTC||lnc-COL25A1-4||SEC24B-AS1,600.6656,Ensembl||EPDnew||ENCODE,RNF2||PRDM10||REST||KDM1A||ZNF692||RBFOX2||SP1||ZNF600||KMT2B||ZNF792||ZBTB20||RAD21||ZNF524||HMBOX1||ZXDB||ZKSCAN8||ZNF585B||ZSCAN29||KAT7||ZBTB48||YY1||ZBTB26||MAX||ZBTB25||ZBTB17||SMARCB1||TFDP1||POLR2A||JUND||ZBTB11||RFX5||ZFHX2||ZNF777||ZNF189||ZNF335||GABPB1||ZGPAT||PRDM4||MXD4||ZFP69B||TCF7L2||BCL6||ZNF366||SIN3A||HNF4A||IKZF5||RXRA||DMAP1||ZNF398||ZNF2||ZNF24||ARID4B||XRCC5||SMARCA4||ZBTB12||ZNF48||MXD3||ZFX||ZNF580||TAF1||EZH2||RBPJ||CBX8||L3MBTL2||ELF1||BHLHE40||EGR1||NRF1||CBFA2T3||ARID1B||SP7||GLIS2||ZBTB8A||ERF||ZEB2,253
AGXT2L1,ETNPPL,GH04J108742,Enhancer,1,HSALNG0036299||lnc-COL25A1-6||OSTC,0.3721704,Ensembl,CTCF||RAD21,19853
AGXT2L1,ETNPPL,GH04J108714,Enhancer,2,piR-30444-226||piR-37567-147||piR-41245-199||HSALNG0036299||OSTC,12.07883,Ensembl,CEBPA||SOX13||ESR1||GATA3||RAD21||ZSCAN16||NFIL3||PRDM6||TCF7L2||SOX5||HLF||SMARCE1,48043
AGXT2L1,ETNPPL,GH04J108854,Enhancer,6,lnc-COL25A1-4||lnc-OSTC-6||COL25A1||lnc-ETNPPL-2,0.1619552,Ensembl,,-91647
AGXT2L1,ETNPPL,GH04J108849,Enhancer,6,lnc-COL25A1-4||lnc-OSTC-6||COL25A1||lnc-ETNPPL-2,0.1715791,Ensembl||ENCODE||CraniofacialAtlas,JUND||ZNF561||CEBPB||RUNX3||FOS||MAFK||PRDM6||ZNF148,-86890
AGXT2L1,ETNPPL,GH04J108674,Enhancer,9,ENSG00000286136||LOC105377359||lnc-OSTC-3||OSTC,0.1715791,Ensembl,,88441
AGXT2L1,ETNPPL,GH04J108852,Enhancer,6,lnc-COL25A1-4||lnc-OSTC-6||COL25A1||lnc-ETNPPL-2,0.1715791,Ensembl,,-89847
AGXT2L1,ETNPPL,GH04J108700,Enhancer,6,RF00017-4384||piR-47960-024||OSTC||RPL34||RPL34-DT,11.29574,Ensembl,RCOR1||JUND||MEIS2||GATA2||POLR2A,61321
AGXT2L1,ETNPPL,GH04J108682,Enhancer,9,lnc-OSTC-3||ENSG00000286136||OSTC,10.18957,Ensembl,CTCF||SPI1||RXRA,80353
AGXT2L1,ETNPPL,GH04J108880,Enhancer,6,lnc-OSTC-6||lnc-COL25A1-4||COL25A1||lnc-ETNPPL-2,0.1298873,Ensembl||ENCODE,CREB1||CEBPB||NFE2||ZNF316||FOS||BHLHE40||JUN||ATF2||NFE2L2||EMSY,-118347
AGXT2L1,ETNPPL,GH04J108877,Enhancer,6,lnc-OSTC-6||lnc-COL25A1-4||COL25A1||lnc-ETNPPL-2,0.1298873,Ensembl,JUND||SCRT2||ZNF10||ZSCAN5C||NR2F2||ATF3||JUN||NANOG,-115743
AGXT2L1,ETNPPL,GH04J108684,Enhancer,8,LOC107986234||lnc-OSTC-3||OSTC,10.45925,Ensembl,IKZF1||PKNOX1||NFE2||HDAC2||ZNF316||MAFK||MAFG||BCOR||DPF2||ADNP||CEBPB||KDM1A||NFE2L2||MEIS2||ZMYM3||MAFF||BACH1||ZNF652||ARID1B||EMSY,77754
AGXT2L1,ETNPPL,GH04J108830,Enhancer,5,lnc-COL25A1-4||RCC2P8||SEC24B-AS1||COL25A1||COL25A1-DT||lnc-ETNPPL-2||CYP2U1,10.39688,Ensembl||ENCODE,ZNF629||ZNF501||ZNF600||ZNF561||ZBTB44||ZXDB||ZSCAN5C||OSR2||ZNF580||BCL11A||ZBTB17||NFIC||NR2F2||WT1||ZNF335||ZNF610||PRDM4||ZNF18||ZNF843||FEZF1||ZSCAN26||PRDM6||GLIS1||TRIM28||KLF10||ATF2||INSM2||GFI1B||ZBTB6||MZF1||SP7||PKNOX1,-67846
AGXT2L1,ETNPPL,GH04J108695,Enhancer,7,RF00017-4384||LOC107986234||OSTC,0.2100747,Ensembl,MGA||NFE2||TRIM24||ATF4||CEBPB||CEBPG||ATF3||ATF2||RNF2,66753
AGXT2L1,ETNPPL,GH04J108829,Enhancer,5,lnc-COL25A1-4||RCC2P8||COL25A1||COL25A1-DT||lnc-ETNPPL-2,0.2100747,Ensembl,,-66847
AGXT2L1,ETNPPL,GH04J108833,Enhancer,5,lnc-COL25A1-4||RCC2P8||COL25A1||lnc-ETNPPL-2,5.1074,Ensembl||ENCODE,CTCF||REST||RAD21||SOX6||SMC3||BHLHE40||ZNF654||ZNF660||MAFF||ZNF143||CC2D1A||ARID2,-71104
AGXT2L1,ETNPPL,GH04J108837,Enhancer,5,lnc-COL25A1-4||RCC2P8||COL25A1||lnc-ETNPPL-2,0.200521,Ensembl,PRDM10||CTCF,-74847
AGXT2L1,ETNPPL,GH04J108884,Enhancer,6,lnc-OSTC-6||lnc-COL25A1-4||COL25A1||lnc-ETNPPL-2,0.1295712,Ensembl||FANTOM5||ENCODE,,-121919
AGXT2L1,ETNPPL,GH04J108883,Enhancer,6,lnc-OSTC-6||lnc-COL25A1-4||COL25A1||lnc-ETNPPL-2,0.1295712,Ensembl,,-120847
AGXT2L1,ETNPPL,GH04J108903,Enhancer,7,lnc-OSTC-6||RF00017-4385||COL25A1||lnc-ETNPPL-2,0.1123255,Ensembl,,-140046
AGXT2L1,ETNPPL,GH04J108905,Enhancer,7,lnc-OSTC-6||RF00017-4385||COL25A1||lnc-ETNPPL-2,0.1123255,Ensembl,USF1,-143047
AGXT2L1,ETNPPL,GH04J108906,Enhancer,7,lnc-OSTC-6||RF00017-4385||COL25A1||lnc-ETNPPL-2,0.1123255,Ensembl,PKNOX1,-144247
AGXT2L1,ETNPPL,GH04J108896,Enhancer,7,lnc-OSTC-6||RF00017-4385||COL25A1||lnc-ETNPPL-2,9.812119,Ensembl,CREB1||ATF2,-133947
