GH03J038127	RBFOX2
GH03J038147	MYC||IKZF1||ATF2||CEBPA||REST||CEBPB||HES1||ZNF341||CTCF||ZNF217||IRF2||EP300||CTBP1||MAFF||NBN||EBF1||ZNF843||SKIL||PRDM6||POLR2A||SMARCA4||SPI1||EHMT2||SMARCE1||ETV1||FOXM1||MAX||RAD51||MAFK||EP400||ZNF24||ZC3H8||ZBTB33||MTA2||ZNF664||ATF4||NFYC||DPF2||TAF7||NR2F6||ZNF143||TOE1||ZBTB21||SP7||L3MBTL2||GATA2||HDAC1||ARID1B||CREM||GMEB1||CREB1||NR2C1||PHF21A||MLLT1||KDM1A||ATF3||ZNF629||ZNF660||NFE2L2||CBFA2T2||FOS||RNF2||IKZF2||ZBTB17||SOX6||ATF7||PRDM10||RUNX3||NR4A1||MTA3||FOXK2||TRIM28||BCOR||LEF1||GATAD2A||GATAD2B||MEF2D||USF1||AFF1||HMBOX1||PRDM1||CBFA2T3||ZNF335||MTA1||NR2F1||MGA||ZNF184||HDAC2||CEBPG
GH03J038124	ZNF217||CTBP1||PKNOX1||FOXA1||ATF4||CREB1||CEBPB||ZNF687||CEBPG
GH03J038118	ZNF654||MYC||SSRP1||CTCF||REST||TRIM22||BHLHE40||MNT||SMAD4||RXRA||RAD21||SMC3||NKRF||TEAD3||RBM22||FOSL2||SIN3A||MYNN||PRDM10||POLR2A||JUND||SUPT5H||MAX||HNF4A||ZNF48||MIER2||HDGF||HNRNPH1||ZNF143||ZNF652||BACH1||L3MBTL2||SP1||HDAC1||ARID4B||CREM||NR2C1||PPARG||PAF1||ZNF687||ARID2||HNRNPL||GATAD2A||SP5||XRCC5||CTBP1||TARDBP||ZNF579||RUNX3||FOXK2||RB1||RNF2||AHR||CBX3||ZGPAT||RBFOX2||CC2D1A||TEAD1||NR2F1
GH03J038157	NFIC||LCORL||NFIB||ZNF398||PRDM4||NFIA||ZNF350||KLF10||KLF1||ZNF660||ZNF112||ZBTB44||ZNF184
GH03J038114	
GH03J038102	HDAC2||KDM1A
GH03J038180	
GH03J038097	
GH03J038098	USF1
GH03J038099	
GH03J038163	CTCF||FOXM1||ZBTB33||NR2F6||GATAD2A||CHAMP1||HMBOX1||SCRT2
GH03J038087	
GH03J038185	
GH03J038189	
GH03J038086	SMARCA4||HNF4A||ARHGAP35||MEIS2||PKNOX1||KDM4B||TRIM24||TRIM28||LEF1||TSHZ1||CBX3
GH03J038085	HMBOX1
GH03J038084	ZNF580||ZBTB5||HLTF||ZBTB33||HDAC8||PYGO2||SP1||TCF12||HMBOX1
GH03J038227	CEBPB||SPI1||BHLHE40||SCRT2||CEBPG
GH03J038042	
GH03J038044	
GH03J038049	
GH03J038225	
GH03J038228	JUND||CTCF
GH03J038071	RNF2
GH03J038070	CEBPB
GH03J038209	ZNF600||JUND||GABPA||EBF1||NFE2||SPI1||PKNOX1||ZBTB33||IKZF1||CEBPB||ZNF629||KDM1A||ZNF687||IKZF2||GFI1B||SOX13||RUNX3||RELB||GATAD2B||PBX2
GH03J038069	
GH03J038067	NCOR1||CEBPB||TBP||TAL1||IRF9||ZNF384||ZEB2||TCF12||ATF4||TEAD4||HDAC1||DPF2||ARID1B||SMARCE1||ATF3||CTBP1||TRIM24||ZNF24||SOX6||ATF2||ATF7||EP300||AFF1||CBFA2T3||NR2F1||SMARCA4||CEBPG
GH03J038054	CEBPA||ZIC2||TEAD3||JUND||ATF2||ZNF3||JUN||ZNF692||GATAD2A||SPI1||RUNX3||ATF7||FOXA3
GH03J038211	
GH03J038246	ZNF600||JUND||ZIC2||CTCF||RAD21||SMC3||GLIS1||BHLHE40||ZNF366||FOS
GH03J038257	HES1||TAL1||ATF1||TEAD4||MEIS2||HDAC1||ARID1B||SMARCE1||MTA2||SOX6||HMBOX1||CBFA2T3
GH03J038259	ZFP37
GH03J038289	ZNF592||ZNF316||MAFG||HDAC8||CTCF||MAFK||RNF2||MGA||EMSY
GH03J038267	
GH03J038310	
GH04J008432	
GH04J008445	
GH04J008450	TAL1||ETV1||EGR1||ATF4||TEAD4||ARID1B||CEBPB||MNT||CTBP1||SOX6||ATF7||CBFA2T3||CEBPG
GH04J008460	ZNF217||CTBP1||MNT
GH04J008421	PRDM1
GH04J008422	ZNF217||CTBP1||RXRA||CUX1||TCF7L2||SMARCE1||DPF2||HNF4A||NFIB||NCOA3||GATAD2B||ESRRA||EP300||RCOR1||SP1
GH04J008418	NCOR1||BCL11A||TRIM22||BHLHE40||CTBP1||MAFF||ZNF316||EBF1||SMARCA5||NFE2||MAFK||PRDM10||SMARCA4||NFE2L2||BATF||MAFG||IKZF1||BMI1||NFATC1||ATF4||ATF2||JUNB||BACH1||HDAC8||TCF12||L3MBTL2||DPF2||ARID1B||CEBPB||SMARCE1||ATF3||ZNF687||ESRRA||IKZF2||RAD51||CREM||MTA2||YY1||EED||NBN||RUNX3||ARNT||RELB||MLLT1||MGA||EMSY||HDAC2||CEBPG
GH04J008415	SCRT1||SCRT2
GH04J008408	ZIC2||SP2||PRDM10||KLF1||SP3||EGR2||ZFHX2
GH04J008484	
GH04J008482	
GH04J008399	ATF4||ATF3
