GH07J017329,
GH07J017334,
GH07J017343,
GH02J027969,
GH17J082547,
GH02J027335,
GH08J102551,CREB1
GH08J102551,ZNF629
GH08J102551,RFX1
GH08J102551,ATF7
GH08J102551,ATF2
GH08J102551,EBF1
GH08J102551,JUND
GH08J102551,CREM
GH08J102854,
GH10J004406,
GH19J000857,CTCF
GH19J000857,ZNF629
GH19J000857,ZNF512
GH19J000857,REST
GH19J000857,RAD21
GH19J000857,TRIM22
GH19J000857,ZNF341
GH19J000857,ZNF140
GH19J000857,ZNF639
GH19J000857,ZXDB
GH19J000857,ZNF580
GH19J000857,ZNF266
GH19J000857,SMC3
GH19J000857,ZNF623
GH19J000857,ZBTB11
GH19J000857,BCOR
GH19J000857,SPI1
GH19J000857,ZNF384
GH19J000857,ZNF530
GH19J000857,ZNF654
GH19J000857,ZNF18
GH19J000857,ZNF366
GH19J000857,ZFP3
GH19J000857,ZSCAN23
GH19J000857,ZNF143
GH19J000857,FOXP1
GH19J000857,ZBTB33
GH19J000857,ZNF433
GH19J000857,ZFP37
GH19J000857,YY1
GH19J000857,ZNF781
GH19J000857,SP3
GH19J000857,ZNF518A
GH19J000857,ZMYM3
GH19J000857,ZNF362
GH19J000857,ZC3H11A
GH19J000857,GFI1B
GH19J000857,ZNF697
GH19J000857,ZNF547
GH19J000857,CC2D1A
GH19J000857,ZNF121
GH19J000857,ZNF560
GH19J000857,ZBTB8A
GH17J007612,HDAC1
GH17J007612,SOX6
GH17J007612,ZNF316
GH17J007612,NR2C2
GH17J007612,ZBTB48
GH17J007612,FOSL1
GH17J007612,MAFG
GH17J007612,RCOR1
GH17J007612,NR2F6
GH17J007612,DPF2
GH17J007612,KDM1A
GH17J007612,IKZF1
GH17J007612,SMARCE1
GH17J007612,TEAD4
GH17J007612,BACH1
GH17J007612,MCM2
GH17J007612,EMSY
GH17J007612,MAFK
GH17J007175,ZNF311
GH17J007175,FOXK2
GH17J007175,RBAK
GH17J007175,ZNF140
GH17J007175,ZNF211
GH17J007175,KLF7
GH17J007175,ZNF248
GH17J007175,YBX1
GH17J007175,ZSCAN18
GH17J007175,RBM22
GH17J007175,ZNF707
GH17J007175,KLF13
GH17J007175,SALL1
GH17J007175,SALL2
GH17J007175,NBN
GH17J007175,ZFHX2
GH17J007175,ZNF777
GH17J007175,POLR2A
GH17J007175,GLI4
GH17J007175,PHF20
GH17J007175,ZNF658
GH17J007175,ZNF202
GH17J007175,CHD4
GH17J007175,ZNF837
GH17J007175,ZNF791
GH17J007175,KDM1A
GH17J007175,NFATC1
GH17J007175,EGR2
GH17J007175,ZNF175
GH17J007175,CDC5L
GH17J007175,ZNF547
GH17J007175,ZNF548
GH17J007175,ZNF704
GH17J007175,ZNF404
GH17J007175,ZNF680
GH21J036006,ZNF740
GH21J036006,HDAC1
GH21J036006,MGA
GH21J036006,ZNF766
GH21J036006,E2F5
GH21J036006,NFRKB
GH21J036006,GABPA
GH21J036006,MYC
GH21J036006,EP400
GH21J036006,TFDP1
GH21J036006,ZNF395
GH21J036006,SPI1
GH21J036006,ELF1
GH21J036006,ZNF584
GH21J036006,SKIL
GH21J036006,CREM
GH21J036006,ATF4
GH21J036006,VEZF1
GH21J036006,FOXK2
GH21J036006,ATF3
GH21J036006,ETV1
GH21J036006,NFE2
GH21J036006,ZBTB33
GH21J036006,SMARCA4
GH21J036006,SMARCE1
GH21J036006,RNF2
GH21J036006,GABPB1
GH21J036006,L3MBTL2
GH21J036006,ZFX
GH21J036006,ZNF148
GH21J036006,ZNF83
GH21J036005,ZNF740
GH21J036005,HDAC1
GH21J036005,MGA
GH21J036005,ZNF766
GH21J036005,E2F5
GH21J036005,NFRKB
GH21J036005,GABPA
GH21J036005,MYC
GH21J036005,EP400
GH21J036005,TFDP1
GH21J036005,ZNF395
GH21J036005,ELF1
GH21J036005,ZNF584
GH21J036005,SKIL
GH21J036005,FOXK2
GH21J036005,ATF3
GH21J036005,ETV1
GH21J036005,ZBTB33
GH21J036005,SMARCA4
GH21J036005,SMARCE1
GH21J036005,ZBTB40
GH21J036005,GABPB1
GH21J036005,L3MBTL2
GH21J036005,RNF2
GH21J036005,ZFX
GH21J036005,ZNF148
GH21J036005,ZNF83
GH21J035984,GATAD2A
GH21J035984,TFE3
GH21J035984,RXRB
GH21J035984,TOE1
GH21J035984,SOX13
GH21J035984,TCF7
GH21J035984,RAD51
GH21J035984,MAX
GH21J035984,CREM
GH21J035984,FOXP1
GH21J035984,SAP130
GH21J035984,SMAD4
GH21J035984,BCL6
GH21J035984,CHD4
GH21J035984,RXRA
GH21J035984,RARA
GH21J035984,SOX5
GH21J035984,HBP1
GH21J035984,BHLHE40
GH21J035984,FOXA3
GH21J035984,MLX
GH21J035984,CEBPG
GH21J035984,MIXL1
GH21J035984,HNF1A
GH21J035984,SP1
GH01J204141,CREB1
GH01J204141,ESR1
GH01J204141,CTBP1
GH01J204141,ZNF217
GH01J204141,DPF2
GH01J204141,ZNF687
GH01J204141,NCOA3
GH06J028986,PRDM1
GH06J028986,BCOR
GH06J028986,ZBTB33
GH02J094871,RFX1
GH02J094871,ZBTB17
GH02J094871,ZFP91
GH02J094871,EZH2
GH19J052368,
GH19J037268,
GH19J037127,ZNF143
GH19J037127,ZNF248
GH19J037127,ZNF274
GH19J037127,ZNF18
GH19J037127,KLF5
GH19J037127,TRIM28
GH19J037127,ETS1
GH19J037127,ZNF280D
GH19J037127,ZNF626
