GH01J006389	IKZF1||KLF1||BHLHE40
GH01J006397	
GH01J006392	
GH01J006401	MYC||MAX||NRF1
GH01J006404	ZNF221||CTCF||ZNF629||ZNF692||MTA2||ZSCAN4||PATZ1||REST||RAD21||ZNF501||TRIM22||YY1||ZNF341||SCRT2||ZBTB44||RBAK||ZNF140||ZNF211||UBTF||ZNF639||KLF7||ZNF10||ZXDB||RUNX3||ZNF157||ZEB1||TSHZ1||ZNF585B||OSR2||ZNF138||ZNF580||BCL11A||ZNF266||SMC3||MYNN||MYC||ZKSCAN1||ZNF623||SALL1||ZBTB11||WT1||KLF8||OVOL3||ZNF184||ZNF189||ZNF610||STAT1||AEBP2||ZBTB1||PRDM4||ZNF213||ZNF530||ZNF26||ZNF654||ZNF18||HIC1||ZSCAN16||ZNF514||ZNF366||ZNF202||ZNF407||ZNF223||ZC3H11A||ZFP3||MXI1||ZNF843||ZSCAN23||VEZF1||FEZF1||EGR1||ZNF146||BCL11B||ZNF324||GLIS1||ZFP64||ZNF24||ARID4B||ZNF664||MAX||ZNF143||ZNF791||ZBTB33||ZNF433||ZFP37||NR2F6||KLF16||ZNF781||XRCC5||SP1||SP3||INSM2||RFX5||KLF1||ZNF518A||ZNF558||ZBTB21||RB1||ZNF362||ZNF670||ZNF493||GFI1B||ZNF155||ZNF19||ZNF697||ZNF547||MZF1||ZNF488||SP7||ZBTB7A||CC2D1A||ZNF548||ZNF121||ZNF560||ZNF704||GLIS2||ZNF404||ZBTB8A||ZNF680||ARID2||PRDM12||ZEB2
GH01J006410	GATAD2A||PRDM10||SP1||CEBPA||CEBPB||FOXA2||ATF3||TEAD1||FOXP1||EP300||CEBPG||ZNF335||ZFP69B||ATF4||HNF4A||NFIL3||TEAD3||KLF16||JUND||HLF||FOXA3
GH01J006378	ZBTB33||PRDM10||ZNF600||CTCF||POLR2A||RAD21||CREM||ZNF18||CEBPB||VEZF1||GLIS1||ARID4B||SMARCA4||ZNF143||ZNF121||GLIS2
GH01J006373	PRDM10||ZBTB20||ZBTB10||SCRT1||NFIC||ZFHX2||NFIB||EGR2||ZBTB8A
GH01J006370	
GH01J006372	
GH01J006371	IKZF1||PRDM1||KLF17||KDM1A
GH01J006367	HNRNPL||ZSCAN5C||TRIM28||ZNF680
GH01J006364	ZNF600||ZBTB17||WT1||STAT1||TRIM28||ZNF362
GH01J006335	RFX1||ZIC2||ZNF24||ZNF600||RAD21||BMI1||BCOR||GLIS1||SMARCA4||EGR2||ZNF362||ZNF384
GH01J006345	
GH01J006361	
GH01J006426	HNRNPL||PRDM10||ZNF143||MTA2||ZIC2||PATZ1||TCF12||ZNF740||SOX6||EP300||SCRT2||NONO||ZFX||SP2||FOXK2||UBTF||RFX1||MTA3||CTBP1||ESR1||GATAD2A||ZBTB48||ZBTB17||PKNOX1||MYC||TRIM24||SREBF2||MAZ||NCOR1||MXI1||NFIC||ZFHX2||STAT5A||BCOR||MYNN||MNT||ZNF335||TCF7L2||TAL1||NFIB||KLF17||HIC1||BHLHE40||HDAC2||VEZF1||KLF1||TOE1||GLIS1||ZEB2||ZFP37||SP3||EGR2||L3MBTL2||TEAD4||CBFA2T2||ZNF687||RNF2||CBFA2T3||ARID1B||ZBTB40||ZSCAN21||GLIS2||ZBTB8A
GH01J006362	CTCF||ZBTB17||ZGPAT||ARID4B||SP3||L3MBTL2||ATF1
GH01J006351	HNRNPL||ZNF24||NFIC||NFIB||ZMYM3||NFIA
GH01J006349	HNRNPL||KDM1A||SP1||HDAC2||PKNOX1||SIN3A||BCOR||GATA3||NFIB||RAD21||RFX5||HNF4A||RXRA||ZMYM3||HLF||MNT||NR3C1||SMARCA5
GH01J006352	ZNF740||SP1||ESR1||ZBTB26||PKNOX1||MAX||MAZ||MXI1||NR2F2||RFX5||SAP130||TBP||TCF7L2||SMAD4||HNF4A||TFAP4||RXRA||NFIA||DMAP1||THRB||ARID4B||TEAD3||NR2F6||RBPJ||CREB1||HNF1A||GLIS2
GH01J006353	HNRNPL||TEAD4||PRDM1||PKNOX1||SP1||ZNF600||SAP130||NFIB||SIN3A||SMAD4||TFAP4||HNF4A||RXRA||RARA||ARID4B||TEAD3||NR2F6||SP5
GH01J006356	HNRNPL||SP1||ZNF148||YY1||HNF4A||RXRA
GH01J006430	IKZF1||ZIC2||MTA1||DPF2||HDAC1||SOX6||TCF12||NONO||TARDBP||ESR1||CTBP1||NFE2||HES1||HDAC2||ZNF316||PHB2||PKNOX1||ZNF217||TRIM24||NCOR1||FOSL1||MAFG||NFIC||ZFHX2||STAT5A||BCOR||MYNN||POLR2A||GATA3||FOXM1||MNT||NCOA1||NR2F1||TAL1||ZNF18||ZNF687||VEZF1||ATF3||GLIS1||KHSRP||KDM1A||MEIS2||MTA2||KLF16||SMARCA4||SMARCE1||RAD51||ZNF579||EGR2||TEAD4||CBFA2T2||RNF2||CBFA2T3||ARID1B||CC2D1A||GLIS2||PML
GH01J006341	PRDM10||MNT||POLR2A||EBF1
