AHR ENSG00000106546
ARID3A ENSG00000116017
ATF3 ENSG00000162772
BCL11B ENSG00000127152
CBFA2T3 ENSG00000129993
CBX2 ENSG00000173894
DACH1 ENSG00000276644
DNMT3B ENSG00000088305
EGR2 ENSG00000122877
ELF4 ENSG00000102034
ETV1 ENSG00000006468
FOSL1 ENSG00000175592
FOSL2 ENSG00000075426
HDAC2 ENSG00000196591
ID3 ENSG00000117318
ID3 ENSG00000283060
IKZF2 ENSG00000030419
INSM2 ENSG00000168348
KAT7 ENSG00000136504
KLF10 ENSG00000155090
KLF4 ENSG00000136826
KLF6 ENSG00000067082
KLF7 ENSG00000118263
MAFF ENSG00000185022
MYRF ENSG00000124920
NFIA ENSG00000162599
NFIB ENSG00000147862
NFIC ENSG00000141905
NR2F6 ENSG00000160113
NR3C1 ENSG00000113580
PBX2 ENSG00000204304
PBX2 ENSG00000206315
PBX2 ENSG00000224952
PBX2 ENSG00000225987
PBX2 ENSG00000232005
PBX2 ENSG00000236353
PBX2 ENSG00000237344
PRDM12 ENSG00000130711
RBFOX2 ENSG00000100320
RBFOX2 ENSG00000277564
RCOR2 ENSG00000167771
SCRT1 ENSG00000261678
SCRT1 ENSG00000284923
SCRT2 ENSG00000215397
SOX6 ENSG00000110693
SREBF2 ENSG00000198911
TEAD3 ENSG00000007866
TEAD4 ENSG00000197905
TFAP4 ENSG00000090447
ZHX2 ENSG00000178764
ZIC2 ENSG00000043355
