ACOT7	GH01J006424
ACSL1	GH04J184860
ACSL1	GH04J184988
ACSL1	GH04J185018
ALDH1B1	GH09J038415
ALDH9A1	GH01J165649
CERK	GH22J046624
CYP1B1	GH02J038082
CYP1B1	GH02J038083
CYP1B1	GH02J037950
CYP1B1	GH02J037928
DGKB	GH07J014974
DGKB	GH07J015031
DGKB	GH07J015396
ELOVL2	GH06J010910
ELOVL2	GH06J010897
ELOVL2	GH06J010907
ENPP2	GH08J119461
ETNK2	GH01J204141
ETNK2	GH01J204166
ETNK2	GH01J203817
FADS1	GH11J061797
FADS1	GH11J061795
FADS1	GH11J061800
FADS1	GH11J061796
LPCAT4	GH15J034389
LPCAT4	GH15J034345
LSS	GH21J046173
MGAT3	GH22J039557
MSMO1	GH04J165216
MSMO1	GH04J165215
MSMO1	GH04J165212
MSMO1	GH04J165213
MSMO1	GH04J165211
PLA2G3	GH22J031137
PSD	GH10J102412
PSD	GH10J102432
PSD	GH10J102469
SCD5	GH04J082844
SMPD3	GH16J068447
SMPD3	GH16J068446
SMPD3	GH16J068315
SQLE	GH08J125004
