GH17J037399	ZNF10||CEBPB||RFX5||JUND||FOS||SCRT2
GH17J037397	BCLAF1||ZNF654||CEBPA||ZNF10||CTCF||CEBPB||REST||TRIM22||HOMEZ||ZNF513||ARNT||PRDM1||NBN||RAD21||SMC3||TEAD3||BCL6||SMARCA4||ZNF2||HNF4A||SCRT1||ZNF384||JUND||ZNF362||HDGF||SP7||CEBPG||RCOR1||ARID3A||BCL6B||TARDBP||ARID2||KDM1A||ATF3||MIXL1||GATAD2A||FOS||PATZ1||CTBP1||MTA2||YY1||KAT8||HNF4G||IKZF2||TCF12||ZNF143||ZFHX2||SCRT2||MLLT1
GH17J037391	ZNF600||ZNF10||IRF4||EBF1||BATF||IKZF1||ZNF362||ATF2||JUNB||SP7||ZNF18||ZNF217||ZNF366||ZNF629||OSR2||IKZF2||RAD51||MTA2||ZBTB17||EED||TCF12||RUNX3||RELB||HIC1
GH17J037388	FOS
GH17J037429	ZNF600||ZNF592||ATF2||ZIC2||JUND||ZFP91||MAFK||EP400||ZNF24||CAVIN1||ATF4||ZNF518A||JUNB||ZBTB21||SP7||ZFP69B||CEBPB||IKZF1||ZNF324||TARDBP||ATF1||ATF3||ZSCAN21||ZNF629||CREM||ZBTB17||IKZF2||DPF2||RUNX3||ATF7||GATAD2A||POLR2A||ZBTB20||PRDM1||ZNF335||CEBPG
GH17J037385	FOXA2
GH17J037386	FOXA2||PRDM6
GH17J037384	FOXA2||PRDM6
GH17J037428	
GH17J037373	BCLAF1||ZNF654||MYC||ZNF600||ZNF592||CEBPA||MXD4||REST||KLF11||TRIM22||MNT||CTCF||MAX||SIN3A||ARNT||IRF2||ZNF511||SAP130||RAD21||RFX5||SMC3||MIER3||YY1||TEAD3||SMARCA5||SKIL||BCL6||ZHX1||HLTF||MLLT1||ZNF2||HNF4A||YBX1||ZNF24||SCRT1||FOXK2||ZEB2||ZC3H8||RBPJ||GATAD1||RB1||SIN3B||ZNF143||STAT1||ELF3||SP7||CEBPG||L3MBTL2||PRDM4||HDAC1||ZNF384||ARID4B||CREM||NR2F6||NFATC3||ZNF561||KDM3A||ZNF580||ZNF366||NFIL3||TARDBP||ARID2||ZSCAN21||ZNF629||ZNF692||GATAD2A||ZNF660||KLF16||XRCC5||CDC5L||CTBP1||ZBTB17||HDGF||RXRA||NBN||MCM7||ATF7||ZNF501||LEF1||CBX3||FOXA3||CC2D1A||AFF1||KLF17||PRDM1||TEAD1||SCRT2||NR2F1||MGA||DPF2||ZNF184
GH17J037445	SP1||BCL11A||ZNF592||TRIM22||ZNF316||TCF7L2||PRDM6||JUND||BHLHE40||ZNF189||BATF||ELF1||IKZF1||BMI1||NR2F1||TCF7||JUNB||BACH1||SP7||TCF12||PKNOX1||ARID3A||ZNF629||KDM1A||ZNF687||IKZF2||GFI1B||CREM||MTA2||EED||PRDM10||EP300||NBN||DPF2||RUNX3||ARNT||PAX8||RELB||FOS||ZNF121||PRDM1
GH17J037449	ELF1||SCRT1||ZNF687||USF1||SCRT2
GH17J037440	IKZF1||ZNF217||IKZF2||TRIM22||NBN||DPF2||RELB
GH17J037368	ATF3||CEBPB||MAX||RXRA||MYC||HNF4A||ATF4||BHLHE40||CEBPG||SP1||ZNF692||PRDM10||ZBTB20
GH17J037454	YY1||MAFK
GH17J037453	CEBPB
GH17J037461	
GH17J037464	JUND||MEIS2||EP300
GH17J037500	KLF9||CEBPA||CHD4||YY1||FOXA1||KMT2B||THAP11||FOXA2||KDM6A||MAFF||RXRA||SMAD4||ZNF511||SAP130||MIER3||RARA||DMAP1||ZNF316||TEAD3||ZSCAN9||ZBTB33||JUND||CREM||FOXP1||MAFK||PRDM6||BCL6||ZNF205||SOX5||HNF4A||MAFG||HBP1||RBPJ||GATAD1||RAD21||HMG20B||ZNF792||LCORL||NR2F6||ELF3||IKZF5||RXRB||REST||CEBPG||MAX||SP1||NFIA||ARID4B||ZNF580||ZNF644||ATM||SOX13||PPARG||NFIL3||NR2F1||ZNF384||HLF||FOXK2||MIXL1||GATAD2A||SP5||KAT8||HNF4G||PHF8||ATF3||RCOR2||FOXA3||ZGPAT||CREB1||TFE3||NR2F2||EP300||ZBTB25||TEAD1||DNMT3B||EMSY
GH17J037344	NCOR1||TAL1||PRDM6||SPI1||TCF12||TEAD4||MEIS2||ARID1B||CBFA2T2||OSR2||TRIM24||ZNF121||HMBOX1||CBFA2T3||SCRT2||WT1
GH17J037318	PRDM1
GH17J037338	REST||ATF3||PRDM1||ZSCAN5C
GH17J037482	ATF2||CEBPA||ATF3||ZIC2||CEBPB||KLF16||PRDM6||IRF9||ZBTB48||ZNF318||ZNF189||BATF||EP400||ZNF24||ATF4||RFX1||TFAP4||JUNB||ZBTB21||GLIS1||BHLHE40||ZNF398||SP7||CEBPG||ZFP69B||HDAC1||KLF10||ZNF366||ZBTB8A||ZNF324||HLF||ZEB2||ZNF629||EGR2||ZNF660||OSR2||PATZ1||TRIM24||ZBTB17||ZNF558||GLIS2||IKZF1||PRDM10||ATF7||TSHZ1||MEF2D||FOS||ZFHX2||ZBTB20||ZNF423||ZNF335
GH17J037326	BHLHE40||NFE2L2||CEBPB
GH17J037475	IKZF1||JUND||CEBPB||SPI1||ATF4||NR2F6||ATF3||EGR2||NR2F2||NR2C1||ZFHX2||NR2F1||CEBPG
GH17J037334	
GH17J037332	
GH17J037335	ZNF316||MAFK
GH17J037310	ZNF580||FEZF1||ZEB1||PRDM6||ZNF664||SP7||PRDM4||IKZF1||HLF||IKZF2||PRDM10||TSHZ1||ZBTB20
GH17J037519	CTCF||DPF2||ARID1B||SMARCE1||CBFA2T3
GH17J037520	DPF2||ARID1B||SMARCE1||CBFA2T3
GH17J037294	
GH17J037220	ZNF654||CTCF||RAD21||SMC3||ZNF2||SP1||ZNF143
GH17J037276	JUND||NFIC||CTBP1||ZNF316||NFE2||GATA3||HDAC2||NR2F6||NFE2L2||NFIB||HDAC1||DPF2||ARID1B||SMARCE1||FOS||NR2F1||EMSY
GH17J037274	ZSCAN16||SCRT1||GFI1B||CEBPB||SCRT2
GH17J037273	ZSCAN16||ZNF316||MAFK||SCRT1||MAFG||GFI1B||CEBPB||PRDM1||SCRT2||EMSY
GH17J037300	ZNF600||ZNF592||ATF2||ZNF639||ZNF316||RBM22||NFE2||PRDM6||SMARCA4||ZNF189||NFE2L2||ZFP37||MAFG||MAFK||MAFF||ZBTB21||MEIS2||ARID1B||CREM||ZNF561||ZNF184||ATF1||PKNOX1||ZSCAN21||ZNF629||ZNF660||ZBTB17||POLR2A||ATF7||BACH1||ZBTB44||EMSY
GH17J037512	ZNF600||ZNF10||YY1||RXRA||RARA||RBM22||HNF4A||ZNF652||MAX||SP1||MZF1
GH17J037286	TAL1||ETV1||EGR1||MEIS2||ARID1B||GABPB1||RBAK||DACH1||PKNOX1||ETV6||CBFA2T3
GH17J037212	CTCF
GH17J037214	RBM22
GH17J037506	ZNF600||CTCF||RXRA||RAD21||HNF4A||ZNF143||XRCC5||SP1
GH17J037511	RBM22||ZBTB33
GH17J037239	ZNF654||CEBPA||ATF3||REST||CTCF||MAFF||RAD21||SMC3||ZNF316||MAFK||JUND||FOXK2||CEBPG||CEBPB||GATAD2B||FOXA3||SCRT2||EMSY
GH17J037240	CEBPA||ATF3||CEBPB||JUND||CTCF||FOXK2||HNF4A||CEBPG||RAD21||GATAD2B||SCRT2
GH17J037261	ZNF10
GH17J037225	SIN3A||EZH2
GH17J037211	MAFG||MEIS2
GH17J037123	SPI1||GATA2||CEBPB
GH17J037231	SPI1||HNF4A
GH17J037163	
GH17J037162	
GH17J037117	ATF3||NFIC||ZIC2||YY1||FEZF1||FOXA2||RXRA||PRDM6||ZBTB48||JUND||ZNF2||INSM2||HNF4A||ZNF24||FOXA1||RAD21||ZNF664||GLIS1||PRDM4||SP1||ZNF561||ZSCAN4||ZEB2||ZNF629||OSR2||MZF1||ZBTB17||NR2F2||ZBTB44||ZSCAN5C||WT1
GH17J037198	PRDM6
GH17J037202	
GH17J037161	NFIC
GH17J037160	ZNF316
GH17J037107	YY1||RXRA||PRDM6||JUND||HNF4A||RAD21||ZNF652||GLIS1||REST||MAX||SP1||EGR1||NANOG||ZFHX2||SCRT2
