GH12J019413	YY1||RFX1
GH12J019397	
GH12J019409	MAFF||ZNF316||MAFK||MAFG||NRF1||TRIM28||POU5F1||NANOG||EMSY
GH12J019390	JUND||PKNOX1||ZNF384||FOS
GH12J019420	CEBPA||KDM1A
GH12J019386	ZNF512||CEBPB
GH12J019381	JUND||POLR2A||FOSL2||BATF||TAF1||JUNB||ZBED1||PKNOX1||IKZF1||BCL6B||RELB||FOS||PRDM1||SCRT2
GH12J019428	SPI1||MYC||MAX||POLR2A||CEBPB||SREBF1
GH12J019382	
GH12J019436	
GH12J019369	
GH12J019434	NFE2||MYC||MAX||PKNOX1||RUNX3
GH12J019439	
GH12J019430	JUND||ATF2||NFIC||CEBPB||EP300||CTBP1||CUX1||TCF7L2||TAF1||ZNF189||BATF||MTA3||JUNB||RFX1||NFIB||JUN||TRIM28||PKNOX1||HLF||ZFX||ZNF692||NFE2L2||EED||ATF7||ETV6||ZFHX2||ZNF121
GH12J019451	MAFK||PRDM4
GH12J019453	NFE2||PRDM10||ZNF384||MAFG||MAFF||ZNF133||DPF2||ZNF121||EMSY
GH12J019457	HDAC2||EGR1||ZNF18||KLF1||KDM1A||CBFA2T3||MLLT1
GH12J019496	NANOG||PRDM1
GH12J019497	
GH12J019488	HLF||MZF1||EGR1||ZSCAN5C
GH12J019494	
GH12J019471	
GH12J019481	SP1||POLR2A||ZIC2||BCL11A||TARDBP||ZNF341||KLF7||IRF4||EBF1||ZBTB48||SPI1||MYC||ZNF189||MAX||BATF||ELF1||IKZF1||NRF1||NR2F1||TCF7||MTA3||ATF2||JUNB||SP7||MEIS2||TRIM28||KLF1||ZEB2||ZNF629||OSR2||IKZF2||ZNF558||ZBTB33||GLIS2||EED||PRDM10||ZNF143||NBN||RUNX3||GATAD2B
GH12J019486	
GH12J019514	ZNF316||NFE2||TAL1||JUND||ATF1||MAFG||TCF12||MAFK||MAFF||DPF2||ARID1B||CREM||SMARCE1||ATF3||NFE2L2||ATF2||ATF7||BACH1||CBFA2T3||SMARCA4||EMSY
GH12J019517	
GH12J019515	
GH12J019527	POLR2A
GH12J019588	SPI1
GH12J019239	SCRT2
GH12J019510	
GH12J019509	
GH12J019262	SP1
GH12J019546	
GH12J019547	
GH12J019545	JUND||BHLHE40||ZNF366||NR2F2
GH12J019227	CEBPA||RXRA||JUND||SPI1||HNF4A||ZBTB40||RAD21||REST||ATF3||EZH2||SP1
GH12J019580	
GH12J019596	
GH12J019594	
GH12J019299	CEBPB||MAFF||ZNF316||MAFK||JUND||FOS||EP300||EMSY
GH12J019505	IKZF1||TAL1||TCF12||CTCF||TEAD4||ARID1B||CBFA2T2||PRDM1||CBFA2T3
GH12J019508	CTCF||RAD21||RFX5||SMC3
GH12J019234	ZNF600||ATF2||ZIC2||YY1||FEZF1||ZNF513||RXRA||ZNF843||PRDM6||ATF1||HNF4A||ZNF664||ZBTB21||PRDM4||TRIM28||CREM||HLF||PKNOX1||ZNF629||OSR2||ZBTB17||POLR2A||CEBPB||ZNF335
GH12J019561	
GH12J019533	EZH2
GH12J019528	JUND||POLR2A||CEBPB||EP300||FOXA2||PRDM1||RFX5||STAT3||FOSL2||GATA2||ZNF384||HLF||GABPA
GH12J019539	
GH12J019552	IRF4||TCF7||SP1||PKNOX1||IKZF1||TARDBP||IKZF2||CHD2||MTA2||ZBTB33||NBN||RUNX3||RELB||MLLT1
GH12J019554	RXRA||IRF4||BATF||HNF4A||TCF7||JUNB||SP1||PKNOX1||IKZF1||HLF||IKZF2||MTA2||NBN||RUNX3||RELB
GH12J019643	ZNF654||CEBPB||CTCF||RAD21||SMC3||CEBPG||NFIL3||HLF||NANOG||ZNF143
GH12J019641	ZNF24||ATF2||ATF7
GH12J019688	
GH12J019572	ZNF654||CEBPB||FEZF1||CTCF||RAD21||SMC3||YY1||TCF7L2||PRDM10||ZBTB48||MYC||MAX||JUND||ZNF362||ZNF664||MEIS2||GATA2||TRIM28||ZNF366||POLR2A||MIXL1||ZNF143||CHD2||EP300||USF1||NR2F2||ZBTB44
GH12J019924	
GH12J019743	BRCA1||CEBPB||EP300||FOXA2||RAD21||SMC3||STAT3||TBP||TCF7L2||JUND||MAFF||NFE2L2||ATF2||NR2F2||FOS
GH12J020097	JUND||BCL11A||IRF4||STAT3||BHLHE40||BATF||ZNF24||IKZF1||BMI1||NR2F1||ATF2||JUNB||TCF12||ZNF217||ARID3A||SPI1||IKZF2||CREM||MTA2||EED||DPF2||RELB
GH12J020098	JUND||BCL11A||CEBPB||IRF4||STAT3||BHLHE40||BATF||ZNF24||IKZF1||BMI1||NR2F1||ATF2||JUNB||TCF12||ZNF217||ARID3A||SPI1||IKZF2||CREM||MTA2||EED||DPF2||RELB
GH12J019689	NFIC||NFIB||EP300
GH12J020099	
GH12J020101	
GH12J019752	TRIM28
GH12J019749	CEBPB||EP300
GH12J019835	EBF1||ATF2||IKZF1||IKZF2||RUNX3
GH12J020346	MAFK
GH12J020349	EP300||TBP||POLR2A
