GH12J019445	OSR2
GH12J020109	NANOG
GH12J020272	
GH12J020300	
GH02J175093	
GH02J176115	BHLHE40||CTCF||ZNF585B||RAD51||POLR2A||CBX2||ZBTB33||ZNF202||RAD21||ZNF143||USF2||USF1||EZH2
GH01J212541	
GH01J212590	ZNF316
GH01J212615	ZNF316||POLR2A||USF2
GH02J060582	EZH2||ZNF207||ZNF654||CTCF||REST||ZNF592||TARDBP||THAP11||SMAD4||SMC3||MIER3||GABPB1||TEAD3||EBF1||SMARCA5||SAFB||SKIL||ZNF143||MBD1||BCL6||ZHX1||ZNF205||BHLHE40||TCF7L2||ZNF189||ZNF24||HBP1||IKZF1||ZNF48||RB1||RAD21||HNRNPL||BACH1||GLIS1||ELF3||EGR1||ZNF217||KDM3A||ARID3A||ZBTB8A||LEF1||ZNF660||XRCC5||IRF2||ESRRA||MTA1||CTBP1||TRIM22||YY1||TFDP1||LARP7||DPF2||MTA3||ATF7||RNF2||GATAD2B||AHR||ARNT||ZFHX2||ZNF335||ZBTB26||ERF
GH02J060735	EGR1||RNF2||ZFHX2||EZH2||ZNF335||ZBTB26
GH20J033663	POLR2A
GH19J013878	HLTF||ZNF362
GH02J207545	
GH10J035175	
GH01J111755	
GH01J111691	
GH01J111459	
GH16J002203	ZNF639||ZNF341||ZNF623||ZNF433||REST||ZNF664||ZNF518A||ZNF133||ZC3H11A||ZNF202||ZBTB8A||ZNF560||ZXDB||ZNF791||ZNF404||ZNF266||ZNF558||ZBTB11
GH11J127941	
GH19J045793	IKZF1||SPI1||IKZF2||MTA2
GH21J025724	
GH07J092449	ZNF512
GH01J032376	
GH08J075324	ZNF10||ZBTB10||ZNF341||KLF7||ZBTB48||ZNF189||EGR1||TAF7||ZNF561||KLF1||ZBTB8A||L3MBTL2||EGR2||YY1||ZBTB17||PRDM10||POLR2A||KLF8||ELF4||ZFHX2||ZBTB20||ZNF423||SIN3A||KLF17||PRDM1||ZNF335||WT1||ZBTB26
GH08J075277	
GH08J076307	PKNOX1||FOXA1||TAF7||POLR2A||CHD1
GH05J179635	
GH05J179644	
GH07J050340	
GH07J050537	
GH13J073100	ZNF24
GH13J073546	SCRT2
GH10J004406	
GH14J105438	
GH14J105450	
GH14J106334	ZNF654||CTCF||ZNF202||TRIM22||SMARCA5||ZNF444
GH18J079616	
GH16J068041	FOXA2||SPI1
GH16J068037	ZNF121
GH11J129971	ZBTB33
GH04J047912	
GH04J047981	
GH12J095081	
