ACACA	GH17J037404
ACSL6	GH05J132060
ADH1C	GH04J099317
ADH1C	GH04J099314
ADH1C	GH04J099290
AKR1B1	GH07J134320
AR	GH0XJ068111
B4GALT6	GH18J031724
B4GALT6	GH18J031556
CBR1	GH21J036152
CERK	GH22J046624
CHAT	GH10J049610
CHAT	GH10J049608
CHAT	GH10J049583
CKB	GH14J103475
CPT1C	GH19J049719
CYP2J2	GH01J060008
CYP3A5	GH07J099717
CYP46A1	GH14J099644
CYP7A1	GH08J058500
DGKB	GH07J014974
DGKB	GH07J015031
DGKB	GH07J015396
DGKH	GH13J042138
DGKI	GH07J137774
DGKI	GH07J137345
DGKI	GH07J137513
ECHS1	GH10J133374
ELOVL2	GH06J010910
ELOVL2	GH06J010907
ELOVL2	GH06J010897
GCDH	GH19J012934
GLA	GH0XJ101395
LBR	GH01J225567
LBR	GH01J224952
LPCAT4	GH15J034389
LPIN2	GH18J003130
LPL	GH08J020081
LPL	GH08J020112
NEU4	GH02J241806
NEU4	GH02J241846
PLA2G3	GH22J031137
PLA2G4A	GH01J187072
PLA2G4A	GH01J187641
PLA2G4F	GH15J042071
PSD	GH10J102412
PSD	GH10J102469
PTGS1	GH09J122406
PTGS1	GH09J122270
SPTLC3	GH20J012950
UGT2B15	GH04J068670
UGT2B4	GH04J069495
UGT2B4	GH04J069594
UGT2B4	GH04J069280
UGT2B7	GH04J069019
UGT2B7	GH04J069214
