GH20J032756	POU5F1||NANOG
GH20J032755	
GH20J032770	FOXA2||SAP130||FOXP1||SOX5||SCRT1||INSM2||SP7||ARID3A||NFIL3||SOX13||ZNF24||GFI1B||FOXA3||ZNF121||HMBOX1||EGR1||SCRT2
GH20J032768	POLR2A
GH20J032767	RAD51||SAP130||SMAD4||TEAD3||SOX5||BHLHE40||NFIA||SP5||POLR2A||SOX13||AHR||SKI||ZGPAT
GH20J032748	DPF2||ZNF184||NCOR1||POLR2A||HIC1||REST||NFIC||ZNF592||NONO||HES1||MNT||ZMYM3||TBP||TCF12||ARNT||TAF9B||BHLHE40||ETS1||MAFF||NFATC3||ELF1||STAT3||ZNF316||NBN||YY1||ZBTB5||SKIL||TAL1||MYNN||NFE2||NCOA2||ZFP91||MAFK||NUFIP1||ATF1||CBX1||HLTF||JUND||ZBTB48||ZNF318||HDAC2||STAT5A||MCM7||EHMT2||ZSCAN23||PRDM10||EP400||FOXK2||ZNF189||SCRT1||FOXM1||SMARCA4||ZEB2||NRF1||MAFG||NCOA1||NFE2L2||ZC3H8||RAD51||ZNF384||EGR1||ZNF664||MTA2||HDAC1||SP1||TAF1||ZNF362||ARHGAP35||NR2F6||RLF||ZBTB40||ZNF143||TEAD4||E2F7||MEIS2||PYGO2||CREM||SP7||L3MBTL2||CEBPB||JUN||GABPB1||POU5F1||CUX1||ARID1B||NFIL3||MCM2||GMEB1||SMARCE1||TRIM22||MLLT1||HLF||ATF3||TBL1XR1||PHF21A||KDM1A||ZNF660||ZBTB8A||DACH1||KHSRP||KLF16||GTF2F1||NANOG||DDX20||ZNF629||CBFA2T2||CDC5L||RNF2||ZNF24||CTBP1||TRIM24||IKZF1||ATF2||SOX6||NFRKB||PKNOX1||CHAMP1||RB1||MTA3||ATF7||EP300||CBX3||GATAD2B||TRIM28||KLF8||CC2D1A||TCF7||LEF1||NFXL1||ZBED1||BCOR||FOS||GATAD2A||ZSCAN29||AFF1||HMBOX1||CBFA2T3||MEF2D||SMARCA5||PML||BRD9||ZBTB2||PHB2||TARDBP||EMSY||PRDM1||MIER1||MYC||NR2F1||SCRT2||MTA1||MGA||WT1
GH20J032775	CTCF||ZNF600||POLR2A||ZIC2||ZBTB10||CEBPA||REST||ZNF207||DEK||MAZ||BRCA1||CEBPB||ZNF654||TRIM22||TCF12||MAX||MXD4||KDM6A||KMT2B||KLF11||FOXA2||SAP130||HOMEZ||RAD21||ZNF511||SIN3A||MIER3||THAP11||SMC3||ZSCAN9||SMARCA5||EBF1||YY1||SMAD4||SKIL||KAT7||MYNN||RARA||DRAP1||TEAD3||ZNF143||DMAP1||BCL6||ZNF205||JUND||SPI1||MYC||PKNOX1||SOX5||SCRT1||ZNF2||GTF2F1||ZBTB33||RCOR1||RB1||HNF4A||ZNF664||RFX5||GATAD1||HBP1||RBPJ||HNRNPH1||ZNF48||ZNF792||MIER2||FOXA1||RFX1||NFYC||GLIS1||ZFP69B||ZNF652||RXRB||IKZF5||ZKSCAN1||ELF3||SP7||SP1||CEBPG||NR2F6||KDM3A||ZNF580||NFIA||ARID4B||ZNF561||NFIL3||HNF1A||HLF||MBD1||ZNF384||PHF21A||ZNF24||MIXL1||ARID2||SP5||EGR2||KLF16||GATAD2A||ZEB2||XRCC5||HNRNPL||PATZ1||KAT8||CTBP1||IRF2||ELF1||ZBTB26||IRF3||ZKSCAN8||SOX13||GABPA||RXRA||TFDP1||MTA3||PHF8||KLF8||RUNX3||FOXA3||CHD2||CC2D1A||USF1||ZNF121||EZH2||ZBTB25||ZFHX2||TFE3||SKI||ZGPAT||TEAD1||PBX2||ZNF444||BCLAF1||ERF||WT1
GH20J032745	DPF2||ZNF592||FOXA2||SAP130||MAFF||NFATC3||ZNF316||NFE2||MAFK||JUND||HDAC2||SMARCA4||MAFG||NFE2L2||ZBTB33||BHLHE40||MEIS2||L3MBTL2||JUN||ZNF384||ARID1B||SMARCE1||MLLT1||ATF3||POLR2A||GATAD2A||RNF2||IKZF1||PKNOX1||ATF7||EP300||FOS||EMSY||PRDM1||MGA
GH20J032785	
GH20J032731	NCOR1||ZNF600||KLF9||CEBPG||YY1||CEBPA||CEBPB||CHD4||KMT2B||BHLHE40||SAP130||ZFP64||RFX5||MIER3||THAP11||SMAD4||RXRA||ZBTB33||TCF7L2||RARA||DRAP1||TEAD3||DMAP1||JUND||BCL6||THRB||CREM||ZNF205||ZBTB48||HDAC2||MYC||PKNOX1||ZNF664||HNF4A||GATAD1||RBPJ||RAD21||HMG20B||ZNF792||NR2F6||REST||MAX||RXRB||IKZF5||DPF2||ELF3||SP1||HDAC1||KDM3A||ZNF580||NFIA||ZNF366||TRIM28||CUX1||ARID1B||ARID4B||NFIL3||PAF1||NR2F1||PPARG||ZNF644||HLF||MLX||ZNF384||ATF3||KDM1A||GATAD2A||FOS||CBFA2T2||TCF7||RNF2||CTBP1||IKZF1||ELF1||ZBTB26||SOX13||SOX6||ZBTB6||EGR1||SREBF1||FOXA3||RCOR2||CBFA2T3||SKI||TEAD1||PBX2||SMARCA4||SCRT2||ERF||ESRRA||WT1
GH20J032791	SP1||POLR2A||BCL11A||NFIC||MAZ||TARDBP||TRIM22||EBF1||CBFB||CTCF||BHLHE40||PAX5||IKZF1||NFATC1||NR2F1||ATF2||NFIB||GLIS1||TFAP4||TCF12||NFIA||PKNOX1||TBL1XR1||XRCC5||CREM||MTA2||IKZF2||RXRA||EED||DPF2||NBN||RELB||RUNX3||ARNT||MLLT1
GH20J032803	ATF2||KLF17||ZNF184||POLR2A||ZIC2||ZEB1||PLRG1||SIN3A||JUND||ZBTB48||ZBTB21||GLIS1||ZNF398||JUN||ZNF366||POU5F1||CREB1||ATF3||ZNF629||PATZ1||PRDM10||ATF7||MNT||BACH1||USF1
GH20J032790	CTCF||POLR2A||REST||DEK||ZNF654||TRIM22||SAP130||RAD21||IRF4||SIN3A||THAP11||SMC3||SMARCA5||SMAD4||MYRF||MYC||MAX||IKZF1||BHLHE40||ZNF143||IKZF5||ELF3||ZNF580||ARID4B||PPARG||MIXL1||SPI1||DNMT1||XRCC5||ZNF692||YY1||IRF2||TCF12||NBN||AHR||ZNF335||ZNF444
GH20J032814	POLR2A
GH20J032810	POLR2A
GH20J032812	POLR2A
GH20J032811	POLR2A
GH20J032813	POLR2A
GH20J032605	ZIC2||ZNF341||EBF1||SUPT5H||ARNT||IKZF1||EGR1||HBP1||NR2F1||ZNF48||HDAC2||POLR2A||ZNF514||LCORL||ZMYM3||ZNF217||PHF20||SOX6||ZNF202||ZNF184||NFRKB||SPI1||HNRNPL||IKZF2||ZBTB17||PKNOX1||EED||MNT||DPF2||RUNX3||CC2D1A||ZBTB20||NFXL1||GATAD2B||BCOR||AFF1||HMBOX1||BCLAF1||ZNF335||SCRT2||ZNF282
GH20J032634	NCOR1||CEBPG||CEBPB||ZNF592||MNT||TBP||EP300||TAF9B||TRIM25||SKIL||TAL1||ZFP91||HDAC2||IRF9||EP400||SMARCA4||TCF12||ATF4||TEAD4||DPF2||L3MBTL2||ARID1B||GMEB1||ATF3||TBL1XR1||ZBTB8A||CBFA2T2||RNF2||IKZF1||ATF2||SOX6||NFRKB||ATF7||CBX3||GTF2A2||CBFA2T3||MEF2D||SMARCA5||HDAC1||BRD9||MYC||MGA
GH20J033206	
GH20J031894	SP1||POLR2A||ZNF592||ZNF654||ZNF223||ZNF623||RFX5||ZNF433||CREM||ATF1||TAF1||BHLHE40||IKZF1||ZNF664||ZNF547||REST||NR2F1||HDGF||ZNF518A||NFYC||AEBP2||ZNF217||ZNF133||ZC3H11A||ZNF202||CREB1||ZNF140||HLF||ZNF384||SP3||SMAD5||ZBTB8A||ZXDB||ZNF404||ZNF143||ZNF629||ZNF687||ZNF680||IKZF2||ZNF558||ZNF266||GFI1B||ZBTB17||EED||NBN||RUNX3||RFXANK||CEBPB||GATAD2B||ZNF302||ZBTB11||MLLT1||ZNF335
GH05J159103	REST||CTCF||RAD21
GH05J159104	REST||CTCF||RAD21||PKNOX1||EZH2||USF1
GH05J159090	ATF2||FEZF1||GLIS1||IKZF1||MTA2||OSR2||DPF2||RELB
GH05J159105	PKNOX1||EZH2||USF1
GH05J159093	ZNF366||PRDM1
GH05J159087	
GH05J159081	IRF4||SMARCA5||TBP||BATF||ZNF24||JUNB||STAT3||TBL1XR1||ARID3A||TARDBP||CREM||MTA2||EZH2||NBN||RELB
GH05J159080	
GH05J159120	ATF2||IRF2||JUND||MAFG||NFYC||ZNF548||JUN||NFATC3||ATF3||MAFK||ATF7||CHAMP1||MTA3||GTF2A2||EMSY
GH05J159132	CTCF||CEBPG||REST||MAZ||ZNF654||TRIM22||RAD21||IRF4||SMC3||ZNF316||EBF1||MAX||ZNF146||BATF||MAFK||ZNF2||MAFG||ZNF362||ZNF518A||JUNB||ZNF143||MAFF||TEAD4||MEIS2||CEBPB||ZNF561||ZNF660||TARDBP||RFX5||ZNF558||PKNOX1||EMSY
GH05J159133	
GH05J159069	
GH05J159058	BCL11A||NR2C1||IRF4||EBF1||BATF||PAX5||NR2F1||ATF2||JUNB||NR2F6||PKNOX1||RUNX3
GH05J159057	
GH05J159055	PRDM4||SPI1
GH05J159060	ATF2||PRDM4||GATA2||KLF1||CREB1||ZSCAN4||PATZ1||PRDM10||ZBTB17||USF1||ZBTB11||ZNF335
GH05J159135	ZNF398||ZSCAN21||PRDM10||FOS
GH05J159064	
GH05J159070	EZH2||ZBTB44
GH05J159073	POLR2A||EZH2
GH05J159072	EZH2
GH05J159031	ZNF341||SCRT1||IKZF1||EED||RUNX3||SCRT2
GH05J159032	CEBPG||YY1||ZNF207||CEBPB||NR2C1||RXRA||ASH2L||HNF4A||NR2F1||HDGF||REST||MAX||SP1||SPI1||EED||NR2F2||MLLT1
GH05J159165	
GH05J159021	ZNF341||MYC||MAX||GATA2||ZNF384||L3MBTL2||PKNOX1||CHD2||CEBPB||EZH2||NR2F2||ZSCAN5C||SCRT2
GH05J159174	PRDM1||ZNF217||GABPB1||IKZF1||SOX6
GH05J159053	RFX5||ZSCAN4||TARDBP||POLR2A
GH05J159027	GATA2||USF1
GH05J159170	PRDM6
GH05J159046	ZNF112
GH05J159005	ZNF362
GH05J159006	IKZF1
GH05J159188	ZNF592||JUND||ZNF316||NFE2||ZBTB40||FOXA1||MAFG||ZNF384||MAFK||MAFF||ZNF140||NFE2L2||MEF2D||SIN3A||EMSY
GH05J159193	ZNF707
GH05J159038	SMARCA5||SPI1||BATF||BHLHE40||IKZF1||ATF2||PKNOX1||CREB1||NFE2L2||ZNF687||IKZF2||YY1||RELB||RUNX3||CEBPB||FOS
