ARID2 ENSG00000189079
BCOR ENSG00000183337
CBFB ENSG00000067955
CHD1 ENSG00000153922
CHD4 ENSG00000111642
CSDE1 ENSG00000009307
CTCF ENSG00000102974
DNMT1 ENSG00000130816
EP400 ENSG00000183495
GTF3C2 ENSG00000115207
HLTF ENSG00000071794
HNRNPL ENSG00000104824
HNRNPL ENSG00000282947
KDM1A ENSG00000004487
KLF6 ENSG00000067082
MTA3 ENSG00000057935
MYC ENSG00000136997
NFATC3 ENSG00000072736
NRF1 ENSG00000106459
PRDM6 ENSG00000061455
SALL2 ENSG00000165821
SMARCA5 ENSG00000153147
SMC3 ENSG00000108055
TBL1XR1 ENSG00000177565
XRCC5 ENSG00000079246
ZNF114 ENSG00000178150
