DNMT3B ENSG00000088305
EBF1 ENSG00000164330
EHMT2 ENSG00000204371
EHMT2 ENSG00000206376
EHMT2 ENSG00000224143
EHMT2 ENSG00000227333
EHMT2 ENSG00000232045
EHMT2 ENSG00000236759
EHMT2 ENSG00000238134
ELF3 ENSG00000163435
LEF1 ENSG00000138795
MEIS2 ENSG00000134138
PBX2 ENSG00000204304
PBX2 ENSG00000206315
PBX2 ENSG00000224952
PBX2 ENSG00000225987
PBX2 ENSG00000232005
PBX2 ENSG00000236353
PBX2 ENSG00000237344
RCOR2 ENSG00000167771
RXRB ENSG00000204231
RXRB ENSG00000206289
RXRB ENSG00000227322
RXRB ENSG00000228333
RXRB ENSG00000231321
RXRB ENSG00000235712
SOX13 ENSG00000143842
ZNF423 ENSG00000102935
