ARID2	GH12J045611
CBFB	GH16J067033
CHD4	GH12J006583
CHD4	GH12J006585
CHD4	GH12J006581
CHD4	GH12J006582
CHD4	GH12J006584
CHD4	GH12J006570
CHD4	GH12J006573
CHD4	GH12J006577
CHD4	GH12J006578
CHD4	GH12J006813
CHD4	GH12J006409
CTCF	GH16J067610
DNMT1	GH19J010180
DNMT1	GH19J010197
DNMT1	GH19J010166
EP400	GH12J132064
EP400	GH12J130957
GTF3C2	GH02J027335
HNRNPL	GH19J038222
KLF6	GH10J004406
MTA3	GH02J042567
MTA3	GH02J042765
MTA3	GH02J042762
NFATC3	GH16J068039
NFATC3	GH16J068037
NFATC3	GH16J068041
NRF1	GH07J129616
PRDM6	GH05J123285
PRDM6	GH05J123402
SALL2	GH14J021280
SALL2	GH14J021840
SMC3	GH10J109918
XRCC5	GH02J216368
