GH14J075268	ZNF384||USF1
GH14J075287	TAF1||SP7||USF2||ZBTB17||SREBF1||CEBPB||USF1||ZNF335
GH14J075263	RCOR1||ZNF217||JUND||CTBP1||SMARCE1||DPF2||EP300||TARDBP||SREBF1
GH14J075266	JUND||ZNF664||SOX13
GH14J075261	MAFF||ZNF316||MAFK||ZNF366||ZNF512||ZNF512B
GH14J075301	
GH14J075303	CTCF||ZNF600||REST||ZNF654||TRIM22||TCF12||RAD21||ZNF585B||SMC3||TCF7L2||DRAP1||TEAD3||ZNF143||ETV6||KDM3A||ARID4B||MIXL1||ARID2||GATAD2A||XRCC5||CHD2||IKZF2||YY1||IKZF1||IRF2||ZBTB17||NBN||RELB||RUNX3||CC2D1A||ZBTB25||TEAD1||ERF
GH14J075307	CTCF||YY1||REST||ZNF592||DEK||ZNF654||TRIM22||MNT||MAX||SAP130||RAD21||ZNF511||SIN3A||MIER3||SMC3||SMARCA5||MYNN||TEAD3||ASH2L||MBD1||MYC||PAX5||IKZF1||ZNF24||STAT1||BACH1||ZNF143||RXRB||ZNF217||IKZF5||ELF3||EGR1||SP1||ARID4B||TBP||ARID2||SPI1||XRCC5||CHD2||IKZF2||ZBTB33||ZBTB17||RXRA||EED||RUNX3||ZBTB25||TEAD1||PRDM1||ZNF444||BCLAF1||ERF
GH14J075233	JUND||RXRA||FOSL2||PRDM10||RAD21||SP1||HLF||POLR2A||ATF3||EP300||FOS||NR2F2||UBTF
GH14J075236	CTCF||ZNF189||ATF4||BHLHE40||HLF||ZSCAN4||EGR2||IKZF1||POLR2A||ZBTB17||RAD21||MEF2D||ZFHX2
GH14J075322	
GH14J075318	SPI1||ZNF16||ZFHX2
GH14J075309	ZIC2||TCF12||SIN3A||RFX1||ZBTB21||ZNF398||RFX5||SP1||CREB1||HLF||ZBTB8A||SPI1||ZNF629||BMI1||RFX3||CEBPB||KDM1A||ZNF335
GH14J075243	JUND||ATF2||RFX5||JUN||CREB1||ATF3||ATF7
GH14J075242	ZNF341||ZMYM3||KDM1A||OSR2||BCOR||ZBTB44
GH14J075340	YY1||ZNF316||EBF1||RXRA||NFE2||SPI1||BATF||MAFG||RAD51||RAD21||MAFK||MAFF||MAX||SP1||ATF3||NR2F2||EMSY
GH14J075217	IKZF1
GH14J075215	YY1||MAX||NR2F2
GH14J075339	CEBPB||ZFP69B||ZNF692||ATF3
GH14J075227	SP1||NCOR1||ZNF10||BCL11A||CTCF||CEBPB||RCOR1||HES1||MAX||EP300||ELF1||BHLHE40||RFX5||IRF4||ZBTB33||EBF1||TBP||RXRA||TCF7L2||PAX8||TAL1||HDAC2||STAT5A||MYC||PKNOX1||FOXM1||ZEB2||PAX5||TCF12||IKZF1||MTA2||NR2F1||ARNT||NR2F6||POLR2A||TEAD4||HNF4A||L3MBTL2||HDAC1||ZNF366||KLF1||ARID1B||TBL1XR1||KDM1A||ZNF24||SPI1||KLF16||CBFA2T2||ZNF687||IKZF2||YY1||CTBP1||TRIM24||SOX6||ZNF512B||DPF2||RUNX3||ETV6||CC2D1A||GATAD2B||BCOR||CBFA2T3||ZFHX2||NR2C1||PML||SMARCA4||MGA
GH14J075232	BHLHE40||MYNN||MAX||RFX1||L3MBTL2||PKNOX1||RAD51||CTCF||MGA
GH14J075327	MXD4||FOXA2||SAP130||HOMEZ||MIER3||ZSCAN9||ZNF316||SMAD4||TAL1||RARA||BCL6||THRB||CREM||FOXP1||FOXA1||SOX5||TCF12||HMG20A||TFAP4||RXRB||NR2F6||DPF2||ELF3||ARID1B||ARID4B||NFIL3||PPARG||ZNF644||MIXL1||GATAD2A||CBFA2T2||TCF7||ZKSCAN8||ZBTB17||SOX13||FOXA3||CBFA2T3||TFE3||SKI||ZGPAT||TEAD1||ERF
GH14J075196	KLF6||ATF2||RCOR1||ZNF10||KLF9||YY1||CEBPA||FOXA1||CTCF||CEBPB||ZNF217||MXD4||KMT2B||KLF11||ELF1||ZNF623||FEZF1||FOXA2||CUX1||CTBP1||SAP130||SIX4||HOMEZ||ZNF511||NONO||ZBTB7B||MIER3||ZSCAN9||EBF1||SMAD4||SIN3A||RXRA||ETV4||FOSL2||PAX8||TAL1||MYNN||RARA||DRAP1||TEAD3||THRB||BCL6||CREM||ZNF205||FOXP1||TCF7L2||MYRF||SPI1||JUND||PKNOX1||PRDM10||KDM1A||MAZ||TBX3||SOX5||SMARCA4||SMARCE1||TCF12||HHEX||HMG20A||HNF4A||GATAD1||HBP1||RAD51||RBPJ||DPF2||RAD21||HMG20B||ZNF48||ZNF792||MIER2||ATF4||ZNF3||NFIB||MAX||ZNF652||GATA4||RXRB||NR2F6||IKZF5||ELF3||SP1||CEBPG||RFX5||HDAC1||KDM3A||ZNF580||NFIA||ARID1B||ARID4B||NFIL3||ZNF687||NR2F1||CREB1||HNF1A||ZSCAN26||PPARG||YBX1||ZNF644||SOX13||MLX||ATF3||MNT||MIXL1||SP5||ZNF24||MTA3||GATAD2A||FOS||XRCC5||HNRNPL||NFKBIZ||TGIF2||MTA1||CBFA2T2||EP300||TCF7||ZHX2||KAT8||IRF2||ZKSCAN8||ATF7||ZNF579||TARDBP||REST||GABPA||SOX6||ZNF592||PHF8||BMI1||SREBF1||RNF2||FOXA3||RFXANK||RCOR2||RERE||CBFA2T3||NR2F2||ZBTB25||TFE3||SKI||ZGPAT||TEAD1||GATAD2B||ZNF335||ZNF444||IKZF1||SCRT2||ERF||ELK1
GH14J075356	
GH14J075208	TFAP4
GH14J075343	FOS
GH14J075344	
GH14J075211	SP1||BCL11A||TRIM22||NR2C1||IRF4||SMC3||SMARCA5||EBF1||NFE2||BATF||BHLHE40||PAX5||IKZF1||BMI1||NR2F1||ATF2||JUNB||BACH1||ZNF217||TCF12||KLF5||TBL1XR1||ARID3A||TARDBP||CREM||MTA2||IKZF2||YY1||EED||DPF2||NBN||RELB||RUNX3||ETV6||ARNT||GATAD2B||MLLT1
GH14J075346	ZNF416
GH14J075203	RCOR1||FOXA2||CTBP1||ZNF316||MYC||MAX||FOXA1||KLF1||ESRRA||ZNF579||ZFHX2
GH14J075349	
GH14J075351	ZNF592||MAFF||MAFK
GH14J075352	
GH14J075223	SP1||BCL11A||HES1||TRIM22||MNT||IRF4||EBF1||SPI1||MYC||MAX||BHLHE40||SMARCA4||PAX5||POLR2A||IKZF1||BMI1||NR2F1||L3MBTL2||TBL1XR1||CREM||MTA2||IKZF2||SOX6||EED||TCF12||DPF2||NBN||RELB||RUNX3||GATAD2B||BCLAF1
GH14J075226	RXRA||HNF4A||SP1||NCOR1||HNF4G
GH14J075369	NRF1
GH14J075221	MAZ||EBF1||CTCF||NRF1||IKZF1||HCFC1||STAT3||ZNF217||KLF1||SPI1||IKZF2||EED||RUNX3||ETV6||CEBPB||ZBTB20
GH14J075188	BCL11A||CTCF||HES1||MNT||BHLHE40||RUNX1||EBF1||RXRA||CBFB||SPI1||MYC||MAX||PAX5||POLR2A||IKZF1||HNF4A||NR2F1||ATF2||ATF4||SP1||L3MBTL2||HDAC1||RAD51||MTA2||IKZF2||SOX6||EED||TCF12||RUNX3||ETV6||ATF7||CBFA2T3||MEF2D||BCLAF1
GH14J075364	SPI1||SCRT2
GH14J075379	RXRA||HLF||NR2F2
GH14J075382	SPI1
GH14J075178	
GH14J075141	
GH14J075361	PKNOX1||TCF12||NR2F2
GH14J075181	BCL11A||CEBPA||CEBPB||ZNF217||EP300||PRDM1||CUX1||CTBP1||RFX5||STAT3||TBP||GATA3||PKNOX1||BATF||FOXA1||ATF2||RBBP5||JUNB||NCOA3||CEBPG||ZNF687||HLF||ZNF384||RAD21||MTA2||IKZF2||PRDM10||RUNX3||SP1||NR2F2
GH14J075392	
GH14J075399	HCFC1||KLF17||ATF3||ZNF600||ZIC2||YY1||HIC1||DEK||CEBPB||MAX||RFX5||SMC3||STAT3||TBP||RXRA||JUND||ZNF843||ZBTB48||KLF16||MAFF||RAD21||RFX1||NFE2L2||GLIS1||REST||ZNF143||ZMYM3||HNF4A||SP1||GATA2||GABPB1||KLF1||MYC||ZNF687||FOS||MAFK||ZNF692||OSR2||EGR1||ZNF501||GABPA||EP300||ZNF423||KDM1A||ZNF335||WT1
GH14J075418	POLR2A||SP1||TRIM22||TCF12||ZNF217||EBF1||CBFB||ZBTB48||TAF1||TBP||PRDM10||BATF||ELF1||BHLHE40||ZNF24||PAX5||IKZF1||RB1||EGR1||ATF2||JUNB||TOE1||NFIB||BACH1||PRDM4||SIN3A||ZBED1||BCL6B||ZNF280D||SPI1||TARDBP||EGR2||ZNF687||CREM||PATZ1||MTA2||IKZF2||YY1||EED||DPF2||ATF7||ZSCAN29||ZSCAN18||NBN||RELB||RUNX3||LEF1||ARNT||GATAD2B||ZFHX2||ZNF423||MLLT1||ZNF335||XRCC5||MIER1||SCRT2||BCLAF1||ZBTB44
GH14J075422	BHLHE40||L3MBTL2||USF2||CEBPB||USF1||FOS||MGA
GH14J075408	ZIC2||HIC1||FEZF1||ZBTB48||BMI1||RFX1||GLIS1||ZNF398||ZMYM3||L3MBTL2||ZSCAN21||ZSCAN4||OSR2||POLR2A||PRDM10||CTCF||RAD21||ZBTB20||BCOR||ZNF335
GH14J075413	
GH14J075405	
GH14J075613	SPI1||PAX5||ZNF143
GH14J075566	CTCF||ZNF623||CTBP1||SIX4||SIN3A||SPI1||RFX5||BHLHE40||ZNF189||SMARCE1||TCF12||ZNF366||ZNF687||HLF||IKZF1||MNT||CREB1||FOS||RAD51||RAD21||MTA1||EP300||CREM||MTA2||RFX1||IKZF2||YBX1||ZNF592||SREBF1||RUNX3||ARNT
GH14J075535	DPF2||ATF3||NCOR1||BRCA1||YY1||HIC1||CEBPA||DEK||CEBPB||ELK1||ZNF639||ZNF217||MAX||ZEB1||CHD4||EP300||KDM6A||RAD51||KMT2B||ELF1||FEZF1||FOXA2||CTBP1||CUX1||SAP130||RAD21||HOMEZ||MAFF||RFX5||MIER3||THAP11||ZSCAN9||STAT3||TBP||SMAD4||SIN3A||RXRA||ZBTB33||TCF7L2||ETV4||FOSL2||TAL1||USF2||NFE2||RARA||TEAD3||JUND||BCL6||CREM||FOXP1||ZBTB48||HDAC2||PKNOX1||BATF||ZNF24||FOXK2||ZNF189||FOXA1||SOX5||SMARCE1||TCF12||HMG20A||HNF4A||GATAD1||RBPJ||ZNF48||BHLHE40||ATF4||ZNF3||TOE1||NR2F6||NFIB||NFE2L2||REST||TFAP4||ZNF398||TEAD4||RXRB||NCOA3||IKZF5||ELF3||SP7||SP1||ARID3A||L3MBTL2||CEBPG||KDM3A||HDAC1||ZNF580||JUN||ZNF366||TRIM28||ARID1B||ARID4B||NFIL3||ZNF687||NR2F1||CREB1||PPARG||CHD1||HLF||MLX||TBL1XR1||KDM1A||ZBTB12||MNT||MIXL1||ZNF660||DACH1||ZXDB||GATAD2A||ZEB2||FOS||XRCC5||NFKBIZ||MAFK||ZNF629||MTA1||CBFA2T2||ZNF692||TCF7||GABPA||RNF2||KAT8||TRIM24||IKZF1||ESRRA||IRF2||ZBTB26||HNF4G||PRDM10||ATF7||ZBTB17||TARDBP||SOX13||SOX6||GTF2F1||ZNF512B||ZNF207||ETS1||EGR1||ZNF592||SREBF1||ZKSCAN1||KLF8||FOXA3||TSHZ1||LEF1||RCOR2||RERE||AFF1||CBFA2T3||NR2F2||ZBTB25||TFE3||SKI||ZGPAT||TEAD1||SMARCA4||GATAD2B||ZNF335||ERF
GH14J075538	DPF2||ATF2||NCOR1||BCL11A||REST||NFIC||MAZ||MBD2||CHD1||SIN3A||ZNF217||BHLHE40||SMARCA5||EBF1||SMAD4||CBFB||TAL1||RARA||JUND||SPI1||HDAC2||STAT5A||PKNOX1||PRDM10||ELF1||FOXM1||SMARCA4||NCOA1||TCF12||IKZF1||NFATC1||HMG20A||EGR1||MTA2||NR2F1||HDGF||MTA3||ZNF48||POLR2A||STAT1||NR2F6||ZBTB21||BACH1||STAT3||TEAD4||ZMYM3||ZFP36||CREM||ELF3||SP1||L3MBTL2||HDAC1||ZBED1||ARID1B||SMARCE1||ZNF687||CREB1||TBL1XR1||ARID3A||ATF3||KDM1A||ATF1||KLF16||HNRNPL||RAD51||NFKBIZ||ZNF629||CBFA2T2||IKZF2||RNF2||ZNF558||TRIM24||ATF7||SOX6||EED||NBN||EP300||RELB||RUNX3||ETV6||CC2D1A||ARNT||GATAD2B||BCOR||HMBOX1||NR2F2||CBFA2T3||PML||MLLT1||PHB2||BCLAF1
GH14J075544	ZNF558
GH03J128495	DPF2||NCOR1||REST||TARDBP||TAL1||MYNN||HLTF||SUPT5H||HDAC2||ZC3H8||TCF12||ARHGAP35||LARP7||TEAD4||CREM||HDAC1||GATA2||ARID1B||SMARCE1||MLLT1||ARID2||DACH1||CBFA2T2||CHD2||CDC5L||HDGF||CTBP1||NFRKB||ZNF24||MTA3||POLR2A||EP300||GATAD2A||EZH2||CBFA2T3||SMARCA4
GH03J128496	HIC1||ZNF592||MNT||MYNN||CBX1||SUPT5H||EP400||SMARCA4||ZBTB33||POLR2A||HNRNPL||L3MBTL2||HDAC1||GMEB1||MAX||HDGF||EZH2||ZNF24||USF1||EGR1||PML||MYC||MGA
GH03J128499	MEIS2||POLR2A
