AEBP2 ENSG00000139154
ATF7 ENSG00000170653
CBX5 ENSG00000094916
CHAMP1 ENSG00000198824
CREB1 ENSG00000118260
EHMT2 ENSG00000204371
EHMT2 ENSG00000206376
EHMT2 ENSG00000224143
EHMT2 ENSG00000227333
EHMT2 ENSG00000232045
EHMT2 ENSG00000236759
EHMT2 ENSG00000238134
EMSY ENSG00000158636
FOSL2 ENSG00000075426
KLF6 ENSG00000067082
NFYA ENSG00000001167
PRDM4 ENSG00000110851
RERE ENSG00000142599
RUNX1 ENSG00000159216
SALL2 ENSG00000165821
ZBTB21 ENSG00000173276
ZBTB25 ENSG00000089775
ZNF221 ENSG00000159905
ZNF331 ENSG00000130844
ZNF350 ENSG00000256683
ZNF398 ENSG00000197024
ZNF433 ENSG00000197647
ZNF544 ENSG00000198131
ZNF548 ENSG00000188785
ZNF623 ENSG00000183309
ZNF623 ENSG00000276340
ZNF701 ENSG00000167562
ZNF781 ENSG00000196381
ZNF792 ENSG00000180884
ZSCAN29 ENSG00000140265
