GH10J003792	RFX1||ZBTB40||ZFP36||MEIS2||ZNF7||PKNOX1
GH10J003789	ZBTB40||TRIM28||SCRT2
GH10J003772	POLR2A
GH10J003797	TAL1||DPF2||ARID1B||SMARCE1||ATF3||RNF2||TRIM24||CBFA2T3||SMARCA4
GH10J003770	ZNF189
GH10J003769	
GH10J003799	
GH10J003814	
GH10J003752	GLIS1||CREB1
GH10J003822	
GH10J003749	CEBPA||YY1||CEBPB||EP300||THAP11||FOXA2||SMAD4||RXRA||SAP130||ETV4||RARA||TEAD3||ZBTB33||KAT7||CREM||FOXP1||BCL6||GATA3||SOX5||JUND||ZNF217||HNF4A||HMG20A||FOXA1||RBPJ||RAD21||HMG20B||TFAP4||GATA4||NR2F6||ELF3||IKZF5||RXRB||REST||CEBPG||MAX||SP1||ARID4B||SOX13||PPARG||NFIL3||ZNF384||MLX||GATAD2A||SP5||TCF7||EGR1||ATF3||RERE||FOXA3||ZGPAT||NR2F2||TFE3||TEAD1||ERF
GH10J003745	CTBP1||POLR2A
GH10J003820	
GH10J003757	BCLAF1||JUND||TRIM22||ZNF513||SMC3||IRF4||MAX||BHLHE40||BATF||CTCF||IKZF1||MTA3||ATF2||JUNB||POLR2A||ZBED1||TARDBP||RAD21||ATF3||ZNF687||FOS||IKZF2||RAD51||CHD2||CREM||MTA2||ZNF512||EED||EP300||NBN||DPF2||RUNX3||ETV6||FOXK2||RELB||MLLT1
GH10J003813	FOXA2||JUND||ZNF48||ZNF518A||JUN||ZC3H11A
