GH18J031724	YY1||RXRA||HNF4A||REST||RFX1||NR2F2||SP1
GH18J031722	BCLAF1||ZNF654||CTCF||REST||TRIM22||ZNF513||RAD21||RFX5||SMC3||ZNF143||YY1||CEBPG||XRCC5
GH18J031720	
GH18J031715	RARA||BHLHE40||NR2F1||RUNX3
GH18J031736	SPI1||PAX8
GH18J031738	NCOR1||ZNF592||ATF3||NFIC||YY1||HES1||BHLHE40||HOMEZ||TAF9B||FOXA2||NBN||RXRA||SAP130||TAL1||RARA||ZNF316||JUND||FOSL2||NFE2||RELA||SKIL||NCOA2||XRCC3||CBX1||SOX5||ZNF318||SMARCA4||FOXM1||RAD51||NCOA1||EP400||FOXK2||MAFG||ZEB2||ZBTB33||FOXA1||CAVIN1||TCF12||CHAMP1||MTA2||NFYC||NR2F6||RFX1||POLR2A||MAFF||TFAP4||E2F7||HNF4A||HDAC8||ARNT||RXRB||L3MBTL2||SP1||HDAC1||DPF2||ARID1B||JUNB||GMEB1||NR2C1||CEBPB||SMARCE1||HLF||ATF1||PTTG1||KDM1A||CBFA2T2||FOS||RNF2||CTBP1||TRIM24||SOX6||TFDP1||PKNOX1||ZNF24||RB1||TRIM28||ATF7||LEF1||GTF2A2||CBX3||EP300||MEF2D||CBX5||TFE3||CC2D1A||BRD9||AFF1||HMBOX1||CBFA2T3||NR2F1||MGA||EMSY||E2F1
GH18J031710	MYC||CEBPA||ATF3||CEBPB||ZNF623||IRF9||CTCF||ETV1||MAFG||ZEB2||DIDO1||ATF4||CEBPG||L3MBTL2||ZSCAN4||RAD21||PKNOX1||REST||TRIM24||ATF2||ATF7||EP300||HMBOX1
GH18J031741	ZNF654||CTCF||REST||TRIM22||RAD21||SMC3||ZNF2||SCRT1||ZNF143||ZNF384||CHAMP1||ZNF501||SCRT2
GH18J031701	IKZF1||TAL1||RUNX1||NFE2||ATF1||NFE2L2||MAFG||ZEB2||TCF12||MTA2||MAFK||TEAD4||MAFF||MEIS2||HDAC1||DPF2||ARID1B||CEBPB||POU5F1||SMARCE1||ZNF507||PKNOX1||KDM1A||CBFA2T2||KLF16||RNF2||TRIM24||CTBP1||SOX6||ZNF512||ATF7||NCOR1||LEF1||EP300||HMBOX1||CBFA2T3||MTA1||NR2F1||SMARCA4||EMSY||HDAC2||CEBPG
GH18J031699	SOX13
GH18J031744	
GH18J031759	
GH18J031694	GTF2A2
GH18J031677	ZNF207||ZNF600||POLR2A||ZNF10||ZIC2||ZBTB10||CEBPB||SIN3A||ZNF341||CTCF||ZNF513||EP300||ELF1||FOXA2||CTBP1||KLF9||MAFF||SMAD4||SP2||SAP130||YY1||ZNF316||GABPB1||TBP||EBF1||MAX||KAT7||SMARCA5||NFE2||KLF16||ASH2L||MAFK||PRDM6||TAF1||MBD1||JUND||BHLHE40||ZBTB48||SPI1||ZNF189||SRF||ZNF24||MXD3||MAFG||CBX2||IKZF1||FOXM1||RB1||ZNF48||HCFC1||ZNF664||NR2F1||NFYC||MTA3||NFE2L2||ZNF518A||JUNB||GLIS1||ZNF133||ZNF398||SP7||ZNF18||L3MBTL2||EGR1||GATA2||ZNF217||ZFX||KLF10||ZNF792||ARID3A||ZNF366||SP3||ZBTB8A||ZSCAN4||PKNOX1||ZXDB||ZEB2||ZNF629||EGR2||ZNF692||OSR2||ZNF143||ZNF687||FOS||PATZ1||IKZF2||TRIM22||CREM||MZF1||ZBTB17||ZKSCAN8||GLIS2||EED||TFDP1||LARP7||PRDM10||PHF8||NBN||DPF2||RUNX3||GABPA||RNF2||FOXA3||ZGPAT||ZBTB11||ARNT||RBFOX2||NR2F2||RELB||ZFHX2||ZBTB20||GATAD2B||EZH2||ZBTB25||PRDM1||ZNF335||MAZ||MLLT1||EMSY||ZBTB26||CEBPG||ERF
GH18J031688	
GH18J031675	ARID3A||MTA2
GH18J031672	HDGF||ZNF768||GATA2||TRIM28||IKZF1||ZBTB12||HLF||PRDM1
GH18J031670	NFE2
GH18J031667	
