GH10J123010,SPI1
GH18J031724,YY1
GH18J031724,RXRA
GH18J031724,HNF4A
GH18J031724,REST
GH18J031724,RFX1
GH18J031724,NR2F2
GH18J031724,SP1
GH18J031556,
GH22J020016,CTCF
GH22J020016,ZNF600
GH22J020016,TBP
GH22J020016,ARNT
GH22J020016,SIN3A
GH22J020016,TRIM25
GH22J020016,SKIL
GH22J020016,MLLT1
GH22J020016,ZNF2
GH22J020016,ARHGAP35
GH22J020016,LARP7
GH22J020016,MEIS2
GH22J020016,HDAC1
GH22J020016,ARID4B
GH22J020016,ZBTB7A
GH22J020016,ZC3H11A
GH22J020016,GATAD2A
GH22J020016,TSC22D4
GH22J020016,HNRNPL
GH22J020016,PATZ1
GH22J020016,KDM4B
GH22J020016,CDC5L
GH22J020016,ZBTB6
GH22J020016,MTA3
GH22J020016,ATF7
GH22J020016,YBX3
GH22J020016,CC2D1A
GH22J020016,ZBTB20
GH22J020016,BCOR
GH22J020016,ZNF184
GH22J020016,ZBTB2
GH22J020016,HDAC2
GH22J020016,UBTF
GH07J014974,POLR2A
GH07J015031,
GH07J015396,
GH18J049565,RAD21
GH18J049565,ZNF121
GH05J001445,POLR2A
GH05J001445,EZH2
GH05J001597,
GH05J001709,TAF1
GH05J001666,KLF17
GH05J001666,CTCF
GH05J001666,ZIC2
GH05J001666,MAZ
GH05J001666,SAFB
GH05J001666,RAD21
GH05J001666,ZBTB48
GH05J001666,GLIS1
GH05J001666,ZNF398
GH05J001666,KLF1
GH05J001666,ZBTB8A
GH05J001666,ZNF143
GH05J001666,EZH2
GH05J001666,RB1
GH05J001666,BACH1
GH05J001666,ZBTB20
GH05J001666,ZNF423
GH05J001666,ZBTB26
GH05J001666,ZNF335
GH06J020333,REST
GH06J020333,MNT
GH06J020333,RAD51
GH06J020333,CREM
GH06J020333,ATF3
GH06J020333,ATF1
GH06J020333,PKNOX1
GH06J020333,ATF7
GH06J020333,NRF1
