GH15J078234	NRF1
GH15J078166	SP1||MAZ||TRIM22||IRF4||GABPA||EBF1||SPI1||TBP||EHMT2||BATF||ELF1||BHLHE40||PAX5||POLR2A||IKZF1||ZNF384||ZNF24||ATF2||JUNB||ZMYM3||TCF12||GABPB1||PKNOX1||TBL1XR1||ARID3A||ATF3||TARDBP||RBAK||ZNF687||CREM||MTA2||IKZF2||YY1||EED||DPF2||CREB1||NBN||RELB||TRIM28||RUNX3||ATF7||ZBTB40||BCOR||ELK1||MLLT1||BCLAF1
GH15J078146	HCFC1||POLR2A||SP1||DPF2||NCOR1||ZNF184||ZNF600||YY1||ZBTB10||CEBPA||NFIC||ZNF207||ZNF592||MAZ||CEBPB||CTCF||MBD2||ELK1||MNT||CHD1||SIN3A||TBP||ZNF639||ZNF341||MAX||ZEB1||NR2C1||MXD4||SMAD5||KMT2B||ELF1||HES1||BHLHE40||SAP130||KLF9||HOMEZ||SP2||RFX5||IRF4||DEAF1||TRIM25||THAP11||GABPA||NKRF||SIN3B||SMARCA5||STAT3||SAFB||SMAD4||RXRA||CBFB||ZBTB33||KAT7||TAL1||ZKSCAN1||E4F1||ASH2L||BCL6||MBD1||SUPT5H||HDAC2||MYC||TAF1||EHMT2||PKNOX1||ESRRA||ZNF24||ZNF189||SMARCA4||NRF1||SMARCE1||TCF12||IKZF1||ZNF384||HNF4A||ZNF664||GATAD1||HBP1||NR2F1||HDGF||ZNF48||ZNF362||FOXA1||ZNF518A||TOE1||NFYC||NFIB||BACH1||REST||ZBTB40||ZNF18||TEAD4||BCLAF1||MEIS2||ZNF217||CREM||ZFX||ELF3||SP7||PHF20||L3MBTL2||HDAC1||NFIA||GABPB1||ZNF366||EGR1||ARID1B||ARID4B||GMEB1||KLF10||CREB1||ZNF324||HLF||ARID3A||ATF3||ZSCAN21||PHF21A||KDM1A||SP3||ZNF660||SP5||ZXDB||ATF1||EGR2||GTF2F1||ZEB2||FOS||XRCC5||TGIF2||ZNF629||MTA1||CBFA2T2||ZNF687||PATZ1||RFX1||RNF2||ZNF558||KAT8||LARP7||CTBP1||ZBTB26||ATF2||TRIM22||ATF7||ZBTB17||TARDBP||TRIM24||EED||RB1||ZNF501||MTA3||ELF4||ZSCAN29||PHF8||GATAD2B||NBN||POLR2B||RELB||KLF8||CHD2||ETV6||NFXL1||ZBTB20||LEF1||ZBTB11||CBFA2T3||RBFOX2||ZFHX2||ZSCAN5C||EP300||ZGPAT||MLLT1||PRDM1||SREBF2||ZNF335||SCRT2||MGA||WT1
GH15J077818	ZNF580||ZIC2||HIC1||ZBTB10||REST||CTCF||ZNF217||ZNF341||KLF7||ZFP91||ZSCAN5A||ZBTB48||ZNF189||GLIS1||ZNF768||ZNF398||ZFX||L3MBTL2||KLF1||ZNF561||NCOA6||KLF10||ZSCAN21||YY1||SP3||ZNF660||ZBTB8A||ZNF280D||RAD21||ATF1||EGR2||ZEB2||XRCC5||MTA1||ZNF692||PATZ1||EZH2||RNF2||CTBP1||ESRRA||POLR2A||PRDM10||GLIS2||RB1||ZNF501||TRIM22||ARNT||KLF8||ZBTB20||ZNF121||MTA2||ZFHX2||ZNF423||SIN3A||ZBTB26||ZNF335||ZBTB44||UBTF
GH10J089206	ATF2||ZNF184||ZIC2||ZNF639||ZNF341||ZEB1||ZNF610||SIN3A||CTCF||ZSCAN5A||ZNF189||SCRT1||CBX2||IKZF1||ZNF664||ZNF398||ZNF561||L3MBTL2||ZNF324||ZSCAN21||SP3||ZNF660||POLR2A||ZBTB17||GLIS2||MNT||ZNF501||PRDM2||ZBTB20||ZNF777||EZH2||ZBTB11||KDM1A||ZBTB26||ZNF335||SCRT2
GH10J089224	CTCF||RAD21||NR2F2
GH10J089245	POLR2A||ATF3||ZNF600||ZIC2||YY1||HIC1||ZBTB10||REST||MAX||ZNF341||KMT2B||ELF1||ZNF623||PRDM1||ETS1||FEZF1||SAP130||SP2||SIN3A||THAP11||EBF1||SMAD4||RXRA||ZBTB33||KAT7||RARA||DRAP1||TBP||JUND||ASH2L||BCL6||ZSCAN5A||THRB||ZBTB48||BCL11B||KLF16||MYC||PKNOX1||KDM1A||BATF||ZNF24||ZNF2||NRF1||ZFP37||RB1||HNF4A||ZNF664||HBP1||NR2F1||HDGF||RBPJ||FOXP1||RAD21||TAF1||ZNF48||ZNF518A||JUNB||STAT1||NFYC||GLIS1||ZFP36||IKZF5||ARID3A||SP1||ZC3H11A||KLF5||EGR1||ZNF580||GATA2||NKRF||KLF1||ARID4B||ZNF561||ZNF687||ZBTB7A||L3MBTL2||CTCF||SP3||ZBTB8A||SP5||ZXDB||SPI1||EGR2||GATAD2A||ZEB2||XRCC5||TARDBP||HNRNPL||ZNF629||ZNF692||PATZ1||RFX1||ZNF558||LARP7||BHLHE40||ZBTB17||ZNF579||GLIS2||GABPA||ZNF143||ZBTB6||TFDP1||DPF2||ZNF501||PHF8||RUNX3||KLF8||FOXA3||ZBTB20||GATAD2B||RCOR2||ZBTB11||NR2F2||RBFOX2||ZFHX2||EP300||ZGPAT||ZBTB26||ZNF335||ERF
GH10J089241	SP1||ZIC2||BCL11A||CEBPA||CEBPB||ETS1||FEZF1||FOXA2||SAP130||EBF1||SMAD4||RXRA||TAL1||RARA||BATF||IKZF1||ZNF664||HNF4A||NR2F1||MTA3||ATF2||JUNB||MAX||CEBPG||NFIL3||TBL1XR1||HLF||ZNF384||SPI1||NANOG||CREM||MTA2||RFX1||IKZF2||EED||RELB||RUNX3||FOXA3||MNT||EZH2||CBFA2T3||NR2F2||PBX2
GH10J088999	CEBPB||ZNF341||ZNF24||ATF4||PKNOX1||ATF3||ZBTB17||EED||TCF12||RUNX3||NR2F2||MLLT1||BCLAF1
GH10J088988	POLR2A||ZNF580||ATF2||KLF17||ATF3||ZNF184||ZNF600||ZIC2||BRCA1||YY1||HIC1||BCL11A||ZBTB10||CEBPA||ZNF207||DEK||MAZ||CEBPB||RCOR1||CHD2||UBTF||TARDBP||CHD1||SIN3A||ZMYM3||ZNF639||ZNF341||MAX||KLF7||CHD4||FEZF1||ZNF610||SAP130||KLF9||MAFF||SP2||IRF4||ZNF585B||ZSCAN9||ZBTB33||REST||SMARCA5||EBF1||TBP||RXRA||CBFB||TCF7L2||KAT7||RBM22||ZNF143||JUND||MAFK||ZSCAN5A||ZBTB48||SPI1||BCL11B||MYC||PRDM6||TAF1||ZBTB1||KDM1A||BATF||ELF1||BHLHE40||ZNF24||ZNF189||SCRT1||STAT5A||ZNF2||NRF1||PAX5||IKZF1||FOXM1||ZNF664||NR2F1||HDGF||ZNF48||ZNF362||SIN3B||MIER2||HDAC2||NFYC||BACH1||GLIS1||TCF7||ZNF768||PRDM4||ZNF18||ZNF398||ZFP69B||ZFP36||HNF4A||ZNF652||ZNF217||ZFX||CEBPG||JUN||ZNF366||NKRF||TRIM28||PKNOX1||EGR1||KLF1||ZNF384||ARID4B||ZFP3||E2F4||ZBTB7A||L3MBTL2||ZNF324||TBL1XR1||CTCF||ZSCAN21||ZBTB12||SP3||SMAD5||ZNF660||ZBTB8A||EGR2||ZEB2||HNRNPL||ZNF629||ZNF692||ZNF687||CREM||PATZ1||MTA2||IKZF2||LARP7||MZF1||IRF2||MYNN||TRIM22||PRDM10||ATF7||ZBTB17||GLIS2||ZBTB6||TFDP1||TCF12||DPF2||ZNF501||PHF8||PAX8||NBN||RELB||RUNX3||KLF8||TSHZ1||ETV6||ZBTB20||ARNT||GATAD2B||BCOR||RCOR2||ZBTB11||RBFOX2||SP1||ZFHX2||ZSCAN5C||EP300||MLLT1||ZNF174||ZBTB26||PRDM1||ZNF335||BCLAF1||SCRT2||ZBTB44||WT1
GH10J088948	YY1||CTCF||FEZF1||RXRA||SPI1||PRDM6||JUND||HNF4A||RAD21||ZNF518A||REST||SP1||L3MBTL2||GATA2||CREB1||HLF||POLR2A||ZNF660||CHD2||TAF1||MZF1||PRDM10||GFI1B||ZBTB17||EP300||CEBPB||NR2F2||GABPA
