GH06J010910,
GH06J010897,
GH06J010907,
GH05J043305,CTCF
GH05J043305,MLLT1
GH20J041366,HNRNPL
GH20J041366,EZH2
GH20J041366,RNF2
GH20J041366,ZBTB26
GH20J041366,ZNF335
GH20J041366,ZGPAT
GH20J041366,MBD1
GH20J041366,MXD3
GH20J041366,ZFX
GH20J041366,POLR2A
GH20J041366,RBPJ
GH20J041366,AHR
GH04J082844,
GH10J050414,ARHGAP35
GH10J050414,MTA2
GH10J050414,MTA1
GH10J050414,BRD9
GH10J050414,ZNF24
GH10J050414,MGA
GH10J050414,NKRF
GH10J050414,TAF9B
GH10J050414,FOXK2
GH10J050414,HDGF
GH10J050414,HDAC2
GH10J050414,AFF1
GH10J050414,EHMT2
GH10J050414,NCOR1
GH10J050414,ZC3H8
GH10J050414,MNT
GH10J050414,TFDP1
GH10J050414,ZNF592
GH10J050414,CREM
GH10J050414,DPF2
GH10J050414,HLTF
GH10J050414,NRF1
GH10J050414,PRDM10
GH10J050414,NFATC3
GH10J050414,SMARCA4
GH10J050414,ATF2
GH10J050414,ZBTB40
GH10J050414,L3MBTL2
GH10J050414,ATF7
GH10J050414,DACH1
GH10J050414,MLLT1
GH10J050414,SMARCA5
GH10J050414,HDAC1
GH10J050414,ATF1
GH11J065048,
