GH0XJ040179	ZNF316||TRIM28||NR2F2||SPI1||TRIM24
GH0XJ040164	HDAC2||HNF4A||GLIS1||TEAD3||HLF||PPARG
GH0XJ040188	RELA||NR2F1||EBF1||SMAD5||USF2
GH0XJ040201	SCRT2||ZNF316
GH0XJ040116	PRDM10||LEF1||IKZF1||KDM1A||JUND||FOXA1||MTA2||PHF21A||PKNOX1||MTA1||ZNF740||BRD9||ZNF24||DPF2||SOX6||TCF12||EP300||SCRT2||CBX3||POLR2A||ZBTB2||HDAC2||GATAD2A||AFF1||ZBTB17||TBL1XR1||MYC||EP400||SCRT1||NCOR1||ZNF623||NFIC||ARNT||ZFHX2||STAT5A||BCOR||ZNF644||FOXM1||ZNF592||NCOA1||NR2F1||SPI1||ELF1||TAL1||CREM||PHF20||BHLHE40||ADNP||VEZF1||FOXK2||ETV1||ID3||GLIS1||NBN||MEIS2||KLF16||SMARCA4||KLF1||SMARCE1||ZMYM3||GABPB1||ZNF579||TEAD4||CBFA2T2||ATF7||NFXL1||RNF2||TRIM24||CBFA2T3||MLLT1||ARID1B||SMARCA5||GTF2F1||PML||GMEB1
GH0XJ040130	ZNF629||JUND||MTA2||NR2C1||DPF2||HDAC1||ZNF600||SOX6||EP300||SCRT2||MGA||ZBTB20||THRA||HMBOX1||SMARCC1||SMARCC2||BRCA1||NFE2||CEBPB||GATAD2A||FOS||CHD2||JUN||NR2C2||RCOR1||GABPA||GTF2F1||EP400||NCOR1||FOSL1||MAFG||MAX||NFIC||FOSL2||BCOR||RFX5||ZNF592||NCOA1||BHLHE40||STAT1||ZNF395||NR2F1||STAT3||TCF7L2||USF2||CREM||ZKSCAN1||ADNP||VEZF1||ATF3||RXRA||ZNF184||KLF1||SMARCE1||MAFF||POLR2A||GABPB1||L3MBTL2||RNF2||ZFX||EGR1||CBFA2T3||ARID1B||SP7||NR3C1||ZNF121||EMSY||ZNF639||SP1||GMEB1||ATF1||SMARCA4
GH0XJ040223	SPI1
GH0XJ040210	ZSCAN29||NFYB||RAD51
GH0XJ040133	MGA||GATAD2A||NR2C2||NCOR1||ZNF592||TAL1||DPF2||ADNP||HDAC2||TCF12||SMARCA4||L3MBTL2||TEAD4||CBFA2T2||EGR1||CBFA2T3||ARID1B||ZNF639
GH0XJ040220	ZBTB33||TEAD3
GH0XJ040141	GATAD2A||TEAD4||SP1||ZNF600||CEBPA||CEBPB||NR3C1||YY1||NFIC||NFIB||SSRP1||HNF4A||RXRA||NFIA||GLIS1||MAX||TEAD3||CEBPG||ZBTB6||HNF1A||ZBTB8A
GH0XJ040126	TCF12||POLR2A||GABPA||ZC3H11A||YY1
GH0XJ040113	GLIS1
GH0XJ040240	IKZF1||PKNOX1||CEBPA||HMBOX1||NR2C2||NCOR1||CEBPG||NR2F1||SPI1||HNF4A||CEBPB||RXRA||ZEB2||MEIS2||HLF||TBL1XR1||TEAD4||CBFA2T3||ARID1B||ZNF121||SP1
GH0XJ040237	SPI1
GH0XJ040261	JUND||GABPA||SOX6||ZNF341||EP300||ZNF140||MGA||TCF7L2||ZNF766||EGR1||NR2C2||NCOR1||NR2F2||GTF2A2||HDAC8||ZNF592||GABPB1||NR2F1||ZNF584||CTCF||ATF4||TFAP4||VEZF1||CEBPG||ATF3||ETV1||RARA||TRIM28||ATF1||PYGO2||NR4A1||BACH1||ESRRA||ATF7||NR2C1||ZFX||ELF1||TRIM24||DACH1||CBFA2T3||ZKSCAN8
GH0XJ040260	EGR1||NRF1||EGR2||ZNF148
GH0XJ040258	NFIC||ZKSCAN8
GH0XJ040111	ZNF740||VEZF1
GH0XJ040243	ZNF316||MAFF||MAFK||MAFG||TRIM28||EMSY
GH0XJ040245	ZBTB33||CTCF||MAX||MEIS2||GATA2
GH0XJ040246	PRDM10||NRF1||NR2F2||ATF7
GH0XJ040298	
GH0XJ040058	POLR2A||TOE1||RAD51||RAD21||HNF4A||RXRA
GH0XJ040104	PRDM10||PKNOX1||EZH2||ZNF600||ZNF341||NRF1||MGA||UBTF||MTA3||EGR1||CTBP1||HDAC2||AFF1||EP400||FOSL1||CUX1||ZNF644||ZNF592||HIC1||DPF2||POLR2A||KDM1A||ZBTB33||MEIS2||KLF1||L3MBTL2||ARID1B||GMEB1
GH0XJ040248	KDM1A||SOX6||FOXJ2||NFIC||TAL1||ADNP||CBFA2T3||SMARCA5||NFIB
GH0XJ040278	RFX1||ZNF692||FOXA1||ZIC2||REST||FOXJ2||ZBTB20||RUNX3||HDAC2||ZNF585B||ZNF316||OSR2||MAFF||ZNF423||ATF2||ZNF623||MAFG||BCOR||GATA3||MAFK||ATF4||ADNP||ATF3||PRDM6||GLIS1||ZNF664||POLR2A||ZMYM3||KDM1A||ATF7||TRIM24||SMARCA5||ZNF121||EMSY
GH0XJ040076	
GH0XJ040077	RFX1||POLR2A||CTCF
