BCOR ENSG00000183337
DNMT3B ENSG00000088305
NCOA2 ENSG00000140396
NCOA6 ENSG00000198646
PHF20 ENSG00000025293
POLR3G ENSG00000113356
PRDM4 ENSG00000110851
RBBP5 ENSG00000117222
SOX5 ENSG00000134532
SP1 ENSG00000185591
SP7 ENSG00000170374
ZBTB33 ENSG00000177485
ZIK1 ENSG00000171649
ZNF10 ENSG00000256223
ZNF140 ENSG00000196387
ZNF189 ENSG00000136870
ZNF248 ENSG00000198105
ZNF26 ENSG00000198393
ZNF280C ENSG00000056277
ZNF300 ENSG00000145908
ZNF37A ENSG00000075407
ZNF423 ENSG00000102935
ZNF433 ENSG00000197647
ZNF491 ENSG00000177599
ZNF507 ENSG00000168813
ZNF585B ENSG00000245680
ZNF623 ENSG00000183309
ZNF623 ENSG00000276340
ZXDB ENSG00000198455
