ATF7 ENSG00000170653
BCL11A ENSG00000119866
CAVIN1 ENSG00000177469
CC2D1A ENSG00000132024
CC2D1A ENSG00000288293
ELF1 ENSG00000120690
FOSL2 ENSG00000075426
GTF2F1 ENSG00000125651
HLTF ENSG00000071794
IRF3 ENSG00000126456
L3MBTL2 ENSG00000100395
MAX ENSG00000125952
MBD1 ENSG00000141644
MBD2 ENSG00000134046
MIER1 ENSG00000198160
NR2F1 ENSG00000175745
SIN3B ENSG00000127511
SNIP1 ENSG00000163877
SNRNP70 ENSG00000104852
SRF ENSG00000112658
SUPT5H ENSG00000196235
TEAD1 ENSG00000187079
THAP11 ENSG00000168286
THRB ENSG00000151090
TRIM25 ENSG00000121060
USF2 ENSG00000105698
ZBTB48 ENSG00000204859
ZC3H8 ENSG00000144161
ZMYM3 ENSG00000147130
ZNF157 ENSG00000147117
ZNF174 ENSG00000103343
ZNF205 ENSG00000122386
ZNF211 ENSG00000121417
ZNF223 ENSG00000178386
ZNF248 ENSG00000198105
ZNF300 ENSG00000145908
ZNF311 ENSG00000169260
ZNF311 ENSG00000197935
ZNF311 ENSG00000223687
ZNF311 ENSG00000225351
ZNF311 ENSG00000233831
ZNF311 ENSG00000235178
ZNF311 ENSG00000235589
ZNF324 ENSG00000083812
ZNF37A ENSG00000075407
ZNF423 ENSG00000102935
ZNF444 ENSG00000167685
ZNF491 ENSG00000177599
ZNF524 ENSG00000171443
ZNF580 ENSG00000213015
ZNF585B ENSG00000245680
ZNF600 ENSG00000189190
ZNF621 ENSG00000172888
ZNF623 ENSG00000183309
ZNF623 ENSG00000276340
ZNF692 ENSG00000171163
ZNF7 ENSG00000147789
ZNF701 ENSG00000167562
ZNF747 ENSG00000169955
ZNF776 ENSG00000152443
