InputTerm,Symbol,GHIDs,GHtype,NumGenesAway,OtherGeneTargets,Score,Sources,TFBSs,TSSdistance
ATF7,ATF7,GH12J053622,Promoter/Enhancer,2,ATF7-NPFF||lnc-ATP5MC2-1||MN298678-017||piR-41306-056||ATP5MC2||NPFF||ENSG00000257550||TARBP2||PRR13||PCBP2||SP1||SOAT2||ITGB7||CSAD||ZNF740||AAAS||HOXC6||HOXC9||ENSG00000257808||EIF4B||HOXC8||HOXC4||ENSG00000258344||HNRNPA1||COPZ1,620.6416,Ensembl||ENCODE||CraniofacialAtlas||EPDnew||dbSUPER,BRCA1||ARHGAP35||CEBPG||SP1||HNRNPL||CREB1||GATAD2A||ATF7||PRDM10||ZNF629||ZNF512||RFX1||SIX5||LEF1||IKZF1||ZNF692||POLR2A||FOS||TARDBP||ZHX2||JUND||FOXA1||LARP7||PRDM1||DDX20||MTA2||ZNF143||ZIC2||RBFOX2||PKNOX1||ZNF24||PATZ1||SMAD5||TCF12||REST||IKZF2||RCOR1||BRD9||ZNF501||TRIM22||DPF2||HDAC1||GABPA||PBX2||ZNF600||IRF3||SOX6||ZNF341||GATAD2B||CEBPA||FOXK2||ZNF561||SCRT2||KMT2B||EED||MNT||NRF1||YBX1||CEBPB||NONO||KLF9||MGA||ZFX||ZBTB20||TAF1||SIN3A||ARID3A||RELA||SP2||RAD21||CBX3||UBTF||NKRF||HMBOX1||ZNF524||RELB||CHD2||KLF7||MTA3||SMARCC2||EGR1||ZXDB||BHLHE40||CTBP1||RUNX3||ZBTB10||TAF9B||DNMT1||ZBTB2||HES1||FOXA2||ATF3||HDAC2||ZNF444||CTCF||E2F5||ZSCAN29||BCLAF1||ZSCAN5C||CEBPZ||NFRKB||ZBTB40||CBFB||ZNF580||BCL11A||PHB2||NR2C2||ZBTB11||YY1||ZNF318||ZBTB26||KLF4||AFF1||ELK1||MAX||ZBTB17||CHD1||GTF2F1||ZBTB33||ZNF217||ZNF512B||MYC||ZNF205||SMARCB1||ZNF423||EP400||TRIM28||TRIM24||SCRT1||TFDP1||KDM6A||SREBF2||MIER1||EHMT2||HCFC1||PCBP1||MAZ||ARNT||DEK||CREM||NCOR1||MXI1||RUNX1||ELF1||MBD2||NFYA||KLF13||TRIM25||NFYB||FOXM1||NFIC||NBN||ZSCAN9||WT1||HDGF||ZC3H8||ZFHX2||KLF8||STAT5A||OVOL3||HNRNPH1||FOSL2||ZNF792||SAP130||TBP||ZNF777||ZNF189||RFX5||ZNF207||ZNF335||ZNF592||ZNF610||NCOA1||SIN3B||NR2F1||GABPB1||ZNF511||KLF6||ZGPAT||PRDM4||MXD4||ZFP69B||ETS1||TCF7L2||GATAD1||SKIL||STAT1||WRNIP1||NFIB||KLF17||ZBTB5||DRAP1||USF2||ZHX1||E4F1||ZFP91||RB1||SUPT5H||NFE2L2||ZNF366||HLTF||NUFIP1||KLF5||ZNF687||HNF4A||ZNF843||SUZ12||VEZF1||TBL1XR1||BCL11B||RXRA||ZBTB7B||PRDM6||KLF1||ATF2||THAP11||ZNF324||TOE1||NFIA||DMAP1||GLIS1||TBX21||ZNF398||ARID4B||ZEB2||NFATC3||KDM1A||KLF10||KLF16||DIDO1||ZFP37||ZNF184||NFATC1||MLLT1||MAFF||XRCC5||TAF7||ZBTB12||SP3||SMARCE1||HNF4G||IRF5||ATF1||NFYC||CUX1||HBP1||RLF||EGR2||L3MBTL2||RBPJ||BACH1||SREBF1||GATA4||ZC3H11A||NR3C1||MLX||ESRRA||RNF2||POLR2B||ZNF547||ZNF148||KLF14||ARID1B||HMG20B||SP7||ZSCAN21||CC2D1A||ZNF121||E2F1||GLIS2||SP5||ZBTB8A||PML||GMEB1||RAD51||KAT8||SMARCA4,1280
ATF7,ATF7,GH12J053617,Promoter/Enhancer,2,ATF7-NPFF||lnc-ATP5MC2-1||MN298678-017||ATP5MC2||piR-41306-056||NPFF||ENSG00000285692||PRR13||PFDN5,0.4424177,FANTOM5||Ensembl||ENCODE||dbSUPER,LEF1||PKNOX1||ZNF740||CTCF||ZNF316||MAFG||IRF2||TAL1||EBF1||MEIS2||MAFF||ZNF384||EMSY||MAFK,7770
ATF7,ATF7,GH12J053614,Enhancer,2,ATF7-NPFF||lnc-ATP5MC2-1||MN298678-017||piR-41306-056||ENSG00000285692||NPFF,0.409542,Ensembl||dbSUPER,ZNF121,12714
ATF7,ATF7,GH12J053613,Enhancer,2,ATF7-NPFF||lnc-ATP5MC2-1||MN298678-017||piR-41306-056||ATP5MC2||ENSG00000285692||NPFF||PRR13,0.409542,Ensembl||dbSUPER,PRDM1,12114
ATF7,ATF7,GH12J053645,Enhancer,3,lnc-TARBP2-4||FJ601684-074||ATP5MC2||PRR13,0.3721704,Ensembl,,-18886
ATF7,ATF7,GH12J053601,Enhancer,2,piR-41306-056||ATF7-NPFF||lnc-ATP5MC2-1||MN298678-017||ATP5MC2||NPFF||ENSG00000285692||PRR13,0.3504288,dbSUPER,CREB1||PRDM10||FOXA1||PRDM1||POLR2A||ZNF24||ZNF600||ZNF561||SCRT2||ZBTB44||CTCF||ZBTB20||ZXDB||ZSCAN5C||FOXA2||OSR2||ZBTB48||ZBTB17||ZNF423||WT1||RAD21||USF2||ZNF18||ZSCAN16||ZFP91||ZNF366||ZBTB40||ZNF843||FEZF1||PRDM6||TOE1||ZNF664||RAD51||KLF1||ZNF362||MZF1||ZNF121||YY1||PKNOX1||ZEB2,24053
ATF7,ATF7,GH12J053649,Enhancer,3,lnc-TARBP2-4||FJ601684-074||ATP5MC2,0.3504288,Ensembl,GATAD2A||RXRB||SP1||CEBPA||ZBTB33||KDM6A||JUND||NR2F2||RAD21||SMAD4||HNF4A||RXRA||NFIA||MAX||ZNF48||REST||HNF4G||YY1,-22986
ATF7,ATF7,GH12J053653,Enhancer,3,lnc-TARBP2-4||FJ601684-074||ATP5MC2,0.3222245,Ensembl,CEBPB,-26285
ATF7,ATF7,GH12J053652,Enhancer,3,lnc-TARBP2-4||FJ601684-074||ATP5MC2,0.3222245,Ensembl,,-25786
ATF7,ATF7,GH12J053568,Enhancer,6,LOC100419830||piR-35674-106||ATF7-NPFF||ENSG00000285692||NPFF||MAP3K12||MN298678-017||TARBP2||ATP5MC2||AMHR2||PRR13||SP1,10.88645,Ensembl||ENCODE||dbSUPER,ZNF692||PRDM1||IKZF2||EED||RELB||RUNX3||GATAD2B||TSHZ1||BCL11A||IKZF1||ZNF189||ZNF213||ZFP69B||ATF4||PRDM6||SMARCA4||SP1||TRIM24||ZNF121||PKNOX1,56314
