ATF3 ENSG00000162772
EHMT2 ENSG00000204371
EHMT2 ENSG00000206376
EHMT2 ENSG00000224143
EHMT2 ENSG00000227333
EHMT2 ENSG00000232045
EHMT2 ENSG00000236759
EHMT2 ENSG00000238134
FOS ENSG00000170345
FOSL2 ENSG00000075426
FUS ENSG00000089280
GATA2 ENSG00000179348
HMG20B ENSG00000064961
IRF3 ENSG00000126456
JUNB ENSG00000171223
KDM1A ENSG00000004487
KLF6 ENSG00000067082
KLF8 ENSG00000102349
L3MBTL2 ENSG00000100395
MYC ENSG00000136997
NANOG ENSG00000111704
NFKBIZ ENSG00000144802
NONO ENSG00000147140
PAX5 ENSG00000196092
PRDM4 ENSG00000110851
RFXANK ENSG00000064490
SMARCA4 ENSG00000127616
ZFP3 ENSG00000180787
ZNF114 ENSG00000178150
ZNF133 ENSG00000125846
ZNF211 ENSG00000121417
ZNF366 ENSG00000178175
ZNF652 ENSG00000198740
ZSCAN9 ENSG00000137185
