	CBFA2T3	DEK	EHMT2	ETV4	FOS	FOXM1	GATA3	GATAD2B	KLF5	LEF1	LRTOMT	MBOAT7	MCM3	MXD3	PAFAH2	PBX2	RXRB	SCRT2	SP5	TCF12	TCF7L2	TEAD2	ZBTB20
CBFA2T3	2	2	2	2	2	0	2	2	1	2	2	2	2	2	2	2	2	1	2	2	1	2	1	
DEK	0	1	2	2	2	1	0	2	1	0	2	0	2	2	2	2	2	0	0	2	1	2	1	
EHMT2	2	1	2	2	2	1	0	2	0	1	2	2	2	2	2	2	2	1	2	2	1	2	0	
ETV4	2	2	2	2	2	0	2	2	1	0	2	2	2	2	2	2	2	2	2	2	2	2	0	
FOS	2	2	2	2	2	0	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	
FOXM1	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	0	
GATA3	0	0	0	0	2	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	1	2	0	
GATAD2B	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
KLF5	2	2	2	2	2	2	2	2	0	1	2	2	2	2	2	2	2	0	1	2	2	2	2	
LEF1	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	0	
MCM3	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	2	2	0	1	0	0	2	0	
MXD3	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	
PBX2	2	2	2	2	2	1	0	2	2	2	2	0	2	2	1	2	2	0	2	2	2	2	2	
RXRB	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	
SCRT2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	
SP5	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	
TCF12	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
TCF7L2	0	2	2	2	2	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	
TEAD2	1	1	2	0	0	0	0	1	0	0	2	2	2	2	2	2	2	0	1	1	0	2	1	
ZBTB20	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	
