	ACACA	ACHE	AFF1	AGPAT1	AKR1C2	BCL11B	BRCA1	CYP46A1	DACH1	DGKI	E2F7	EBF1	EHMT2	FAP	FEZF1	FOS	FOSL2	GATA3	GATAD2B	GPX8	HES1	HSD11B2	LEF1	LPIN1	LRTOMT	MBOAT7	MCM5	MGAT3	MXD3	MYRF	NFIA	NR2F2	OSR2	PAX8	PBX2	PCYT1B	PLA2G6	PLD2	PLPP3	PNPLA2	PPT2	PRDM6	PTDSS2	PTGDS	REST	RXRB	SCD5	SMAD5	SOX13	SPHK1	TBX3	TCF12	TCF7L2	TEAD1	TEAD3	XRCC3	ZIC2	ZNF521	ZNF623
AFF1	2	2	2	2	1	1	2	2	0	2	0	2	2	0	0	2	2	1	2	2	2	2	1	2	2	2	2	2	2	1	2	2	0	2	2	0	2	2	0	2	2	2	2	2	2	2	2	1	2	2	0	2	2	2	2	2	0	2	2	
BCL11B	2	2	0	2	0	0	2	2	2	0	0	2	2	0	0	0	2	2	2	0	2	2	0	2	2	2	2	2	2	1	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	0	1	2	2	2	2	2	1	2	2	2	1	2	
BRCA1	2	2	2	2	1	2	2	2	0	2	1	2	2	2	1	2	2	0	2	2	2	2	0	2	2	2	0	0	2	1	1	2	0	0	2	2	2	2	1	2	2	0	2	0	2	2	2	2	2	2	2	0	1	2	2	2	2	2	2	
DACH1	1	1	2	2	2	0	2	1	0	2	0	0	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	0	0	2	2	2	2	1	2	0	2	2	2	0	2	1	2	2	2	0	1	2	
E2F7	0	2	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	2	2	0	0	1	2	2	2	0	2	0	2	2	0	0	2	2	2	0	0	2	2	0	0	0	0	2	2	1	1	1	0	1	2	0	2	2	0	0	2	
EBF1	2	2	2	2	0	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	0	2	2	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	
EHMT2	2	2	2	2	1	1	2	0	0	2	0	2	2	0	0	2	2	0	2	0	2	2	1	2	2	2	0	2	2	2	2	2	2	2	2	0	0	1	2	0	2	2	0	0	2	2	2	1	2	2	0	2	1	2	2	2	0	1	2	
FEZF1	2	2	2	2	0	2	1	1	2	2	1	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	
FOS	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	
FOSL2	2	1	2	2	1	1	2	2	0	2	0	1	2	1	0	2	2	2	2	0	2	2	1	2	2	2	2	2	2	2	1	1	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	0	2	
GATA3	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	1	1	0	0	2	0	0	2	0	0	0	0	1	0	1	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	1	1	1	0	2	2	0	0	0	
GATAD2B	2	2	2	2	1	2	0	2	0	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
HES1	2	2	2	2	2	2	2	1	0	2	0	2	2	0	0	2	2	2	2	0	2	2	2	2	2	2	1	2	2	1	2	2	0	2	2	2	2	1	2	2	2	1	1	2	2	2	0	2	2	2	0	2	1	2	2	2	0	2	2	
LEF1	2	2	2	2	2	2	2	2	2	2	0	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	
MCM5	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	1	0	2	0	1	0	0	0	2	0	0	1	
MXD3	2	2	2	2	0	0	2	1	0	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	
MYRF	0	2	0	2	2	0	1	0	0	1	0	2	2	2	0	1	2	0	2	0	2	2	0	2	0	2	0	1	2	1	2	0	0	2	2	0	2	0	2	2	2	0	2	0	2	2	0	0	2	2	2	2	0	0	2	2	0	0	2	
NFIA	2	1	2	2	1	1	2	0	0	2	0	1	2	1	1	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	1	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	1	2	2	2	2	0	2	
NR2F2	1	2	2	2	1	2	2	1	1	2	1	2	2	2	1	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
OSR2	2	2	2	2	0	2	2	1	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	
PAX8	2	2	2	1	1	1	2	2	0	2	1	2	2	0	1	2	2	2	2	0	0	0	0	2	2	0	1	2	0	0	0	2	2	0	2	0	2	0	0	0	2	0	0	0	0	2	0	0	2	2	1	0	0	0	2	0	0	0	1	
PBX2	0	1	2	2	1	0	2	0	0	2	0	0	2	0	0	2	2	0	2	0	2	2	2	2	2	0	2	2	2	1	2	1	2	2	2	0	2	0	0	0	2	1	2	2	0	2	2	2	1	2	1	2	2	1	2	2	0	1	2	
PRDM6	2	1	2	1	1	2	2	2	2	2	1	2	2	0	2	2	2	1	2	2	2	1	2	2	0	0	2	2	2	0	2	2	0	2	2	2	2	0	2	0	2	2	0	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	0	
REST	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
RXRB	2	2	2	2	2	2	2	2	0	2	0	2	2	2	1	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	0	2	
SMAD5	2	2	2	2	2	2	2	2	0	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	
SOX13	2	2	2	2	1	2	2	2	1	2	0	2	2	1	1	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	
TBX3	0	2	1	2	1	0	1	0	0	0	0	0	2	0	1	2	2	1	2	0	2	2	0	2	0	2	2	0	1	2	2	1	0	2	2	0	0	2	2	2	2	0	0	2	0	2	0	2	0	2	2	1	1	1	1	2	0	0	2	
TCF12	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
TCF7L2	1	0	2	2	2	2	1	2	2	2	0	2	2	0	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	1	0	2	2	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	
TEAD1	2	2	2	2	2	2	2	2	1	2	0	1	2	1	1	2	2	2	2	1	2	2	0	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	0	1	2	
TEAD3	2	2	2	2	2	2	2	2	1	2	0	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	1	2	
XRCC3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	
ZIC2	2	2	2	2	0	2	2	2	2	2	1	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
ZNF521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	2	0	0	2	2	1	0	0	0	0	2	0	0	1	
ZNF623	2	2	2	2	0	1	2	1	0	0	1	2	2	0	0	2	2	0	2	1	2	1	1	2	1	2	2	2	2	2	0	0	0	2	2	1	2	2	0	0	2	2	0	2	0	2	0	1	2	0	1	0	1	1	2	1	0	1	2	
