	ACSBG1	AKR1C3	ALDH7A1	ATF3	BMI1	CPS1	DACH1	DGKE	EBF1	ENPP2	HSD17B3	KAT2B	KLF9	LCAT	LEF1	NR2F1	PTGDS	SOX6	TM7SF2	WT1	ZIC2	ZNF217	ZNF423	ZNF626
ATF3	2	2	2	2	2	2	1	2	2	1	1	2	2	2	2	1	0	2	2	2	2	2	1	0	
BMI1	1	0	2	2	2	0	2	2	2	2	1	2	2	0	2	2	0	2	2	0	2	2	2	0	
DACH1	0	1	1	2	2	0	0	0	0	0	1	2	2	2	2	0	2	1	2	2	0	2	0	0	
EBF1	2	0	2	2	2	0	0	2	2	0	2	2	1	2	1	2	2	2	2	1	1	2	2	0	
KAT2B	0	1	2	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	2	0	0	
KLF9	2	0	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	
LEF1	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	
NR2F1	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	0	2	2	0	
SOX6	1	2	2	2	2	0	0	2	2	2	2	2	2	2	2	1	2	2	2	2	0	2	2	0	
WT1	2	0	2	2	2	0	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	1	0	
ZIC2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	
ZNF217	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	0	2	0	2	
ZNF423	2	0	2	2	2	0	2	2	1	2	1	2	2	2	1	2	2	0	0	2	2	2	2	0	
ZNF626	0	0	2	0	2	0	0	2	1	0	0	1	1	2	0	2	0	0	0	0	0	2	0	0	
