	ADH1A	AKR1B1	ATF3	CERS5	CHKB	CPN2	CPT1B	DEGS1	DGKB	DGKI	ECHS1	EHMT2	FOS	FOSL2	FUS	GATA2	GBA	GPAT3	GPD1	HMG20B	HSD17B8	IRF3	JUNB	KDM1A	KDSR	KLF6	KLF8	L3MBTL2	LPIN2	MYC	NANOG	NFKBIZ	NONO	OLAH	OXSM	PAX5	PCYT1A	PRDM4	PTDSS1	RFXANK	SLC27A5	SMARCA4	SMPD1	SOAT1	SPTLC3	TAFAZZIN	ZFP3	ZNF114	ZNF133	ZNF211	ZNF366	ZNF652	ZSCAN9
ATF3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	0	2	2	2	2	2	2	2	2	
EHMT2	0	2	0	2	2	2	2	2	0	2	2	2	2	2	2	1	2	2	0	2	2	2	2	2	0	2	0	0	2	1	0	2	2	0	2	2	2	2	0	2	2	2	2	2	0	0	2	2	2	2	2	2	2	
FOS	2	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	0	2	2	2	1	2	2	2	2	2	1	2	2	
FOSL2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	1	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	0	2	2	
FUS	2	0	2	2	2	2	0	0	0	0	0	2	0	0	2	2	2	2	0	2	2	2	2	2	0	2	0	0	2	2	0	0	0	0	0	0	0	2	2	2	2	2	0	2	0	0	0	0	0	2	0	0	2	
GATA2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	1	2	0	2	2	2	0	2	0	0	0	2	2	2	1	2	2	2	1	2	1	0	1	2	2	2	1	2	2	
HMG20B	2	2	2	1	2	2	2	2	0	2	2	2	1	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	1	0	2	0	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	
IRF3	2	0	0	2	2	2	2	2	0	2	0	2	2	2	2	0	2	0	2	2	2	2	2	2	0	2	0	2	2	0	0	2	2	2	0	2	2	2	2	2	2	2	2	0	0	0	2	2	2	2	0	2	2	
JUNB	1	0	2	2	2	2	2	2	0	2	2	2	2	2	2	1	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	2	
KDM1A	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	
KLF6	2	2	2	2	2	2	2	2	0	0	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	
KLF8	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	
L3MBTL2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
MYC	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	
NANOG	0	0	0	0	0	1	0	2	1	1	0	2	2	2	0	1	0	1	0	0	1	2	2	0	1	2	0	1	2	2	0	1	0	0	0	1	1	0	1	0	2	0	1	0	1	0	0	0	2	2	0	0	2	
NFKBIZ	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	0	2	2	0	2	2	2	2	2	0	2	0	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	0	2	2	
NONO	2	1	2	2	2	2	1	2	0	1	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	0	2	2	2	2	2	1	2	0	1	2	2	2	2	2	2	2	2	0	0	0	2	2	2	1	2	2	
PAX5	1	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	0	2	0	1	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
PRDM4	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	0	2	0	2	0	2	2	2	1	2	2	2	2	2	1	1	2	2	2	2	0	2	2	
RFXANK	0	2	2	2	2	2	2	2	0	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	0	2	2	1	0	0	0	0	0	2	2	2	2	2	2	2	2	0	1	0	0	1	2	2	0	2	2	
SMARCA4	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	
ZFP3	0	0	0	2	2	2	0	2	0	2	0	2	0	1	2	1	2	0	2	2	0	2	0	2	0	1	0	2	0	1	0	0	2	0	2	1	2	0	1	2	0	2	0	2	0	1	2	0	2	2	0	2	2	
ZNF114	0	0	0	2	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ZNF133	0	0	1	2	0	1	0	1	0	1	0	0	0	0	2	1	2	0	0	0	0	2	2	2	1	1	0	2	0	1	0	1	0	0	2	2	0	0	0	2	0	2	0	0	0	0	2	2	2	2	0	2	2	
ZNF211	0	0	0	0	1	0	0	0	0	0	2	2	0	0	2	0	2	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	
ZNF366	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	0	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	0	2	0	2	2	2	2	2	1	2	2	
ZNF652	1	1	0	2	2	2	2	1	0	2	2	2	2	2	2	0	2	2	0	2	0	2	2	2	1	2	1	2	2	2	1	2	2	1	0	2	2	2	2	2	2	2	0	1	1	0	2	0	2	2	0	2	2	
ZSCAN9	2	1	2	2	2	2	2	2	0	2	2	2	1	2	2	0	2	2	0	2	2	2	2	2	2	2	0	2	2	2	0	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	
