	ACADSB	ATF3	B4GALT6	CHD2	COMT	CPS1	CTCF	DGKB	DGKE	E2F7	E2F8	ETS1	GATA2	GATAD1	IKZF2	JUN	KDM5A	KLF6	KLF8	LIPG	LPCAT1	MBOAT1	MCAT	MIER3	MLX	NFRKB	RFXANK	SPHK1	TAF1	ZC3H11A	ZFP36	ZFP41	ZHX2	ZNF248	ZNF274	ZNF280C	ZSCAN23
ATF3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
CHD2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
CTCF	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
E2F7	2	2	1	2	1	0	2	0	1	0	2	0	0	2	0	0	1	2	0	0	0	2	0	2	2	0	2	1	2	2	2	2	0	0	2	1	2	
E2F8	0	0	0	2	0	0	2	0	1	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	2	2	2	1	0	2	0	2	
ETS1	2	2	2	2	2	1	2	0	2	1	1	1	2	2	1	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
GATA2	2	2	2	2	2	1	2	1	2	1	1	2	2	2	1	2	2	2	0	2	1	2	2	2	2	2	2	2	0	2	2	0	1	0	2	2	2	
GATAD1	2	2	2	2	2	2	2	0	2	0	2	1	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
IKZF2	2	2	2	2	2	1	2	1	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
JUN	2	2	1	2	2	1	2	1	2	1	0	2	1	2	1	2	1	2	0	2	1	0	0	2	2	1	2	2	2	2	2	0	2	0	2	0	2	
KDM5A	2	0	0	2	0	2	2	0	0	0	0	0	0	2	0	0	2	0	2	0	2	0	2	0	2	0	2	2	2	2	2	2	0	0	2	0	2	
KLF6	2	2	2	2	2	2	2	0	2	0	0	0	2	2	0	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
KLF8	2	2	2	2	2	0	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
MIER3	2	2	2	2	2	1	2	0	2	0	0	1	2	2	0	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	0	2	
MLX	2	2	1	2	2	1	2	0	2	0	0	1	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	
NFRKB	2	2	2	2	2	0	2	1	2	0	2	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	2	2	2	
RFXANK	0	2	0	2	2	1	2	0	2	0	0	0	0	2	0	2	2	0	0	2	2	2	2	1	2	2	2	2	0	2	2	2	0	2	2	0	2	
TAF1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
ZC3H11A	2	1	0	2	2	0	2	0	1	0	0	0	0	2	0	1	1	1	0	0	0	2	2	2	2	0	2	2	2	2	2	2	1	0	2	0	2	
ZFP36	0	2	0	2	0	0	2	0	2	0	0	0	0	1	0	2	0	1	0	1	0	1	0	0	2	0	2	2	0	2	2	0	1	0	2	2	0	
ZFP41	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	2	0	0	0	1	0	0	0	0	0	2	2	0	0	0	2	0	2	
ZHX2	2	2	2	2	2	1	2	0	2	0	2	1	2	2	1	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
ZNF248	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	2	0	0	2	0	2	
ZNF274	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	2	2	0	0	1	0	2	2	0	0	0	2	0	0	
ZNF280C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0	0	1	0	0	0	0	2	0	2	0	0	0	2	0	0	
ZSCAN23	2	2	2	2	2	0	2	0	2	0	0	1	2	2	0	2	2	2	0	2	0	2	0	2	2	0	2	2	2	2	2	0	0	0	2	2	2	
