	ACSBG1	AHR	CH25H	CPT1A	CYP1B1	EGR2	ELOVL2	ETS1	FAP	FOSL2	FOXA1	FOXP1	GATA3	GPD1	GPX8	HHEX	IKZF1	LEF1	NFIA	NFIB	PLPP3	PTGS2	SCD5	SOX6	SPHK1	TCF7L2	VDR	ZIC2
AHR	0	1	0	0	2	2	2	2	2	2	2	2	2	0	0	2	2	0	2	0	2	0	2	0	2	2	2	0	
EGR2	2	2	2	1	2	2	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	
ETS1	0	1	2	2	2	2	2	1	2	2	2	2	2	2	0	2	1	0	2	0	2	0	2	2	2	2	2	2	
FOSL2	1	2	1	2	2	2	2	2	1	2	2	2	2	0	0	1	2	1	1	2	2	0	2	2	2	1	2	2	
FOXA1	2	2	1	2	2	2	2	2	0	2	2	2	2	2	1	2	1	1	2	2	2	1	2	2	2	2	1	2	
FOXP1	0	2	2	2	2	1	2	1	1	2	2	2	2	0	0	2	1	1	2	0	2	1	2	2	2	1	1	2	
GATA3	1	2	0	1	1	1	0	0	0	1	2	1	1	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	
HHEX	0	1	1	2	0	0	2	0	0	2	1	2	2	0	0	2	1	1	1	2	2	0	2	1	2	1	0	2	
IKZF1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	0	
LEF1	2	0	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	1	2	0	2	2	2	1	2	2	
NFIA	2	2	1	2	2	1	2	1	1	2	1	2	2	2	0	2	0	2	2	2	2	0	2	2	2	1	1	2	
NFIB	2	2	1	1	2	2	1	0	1	2	2	1	2	0	1	0	2	1	2	2	2	1	2	2	2	1	2	0	
SOX6	1	1	1	2	2	1	2	2	0	2	2	2	2	0	2	2	2	2	2	2	0	0	2	2	2	2	2	0	
TCF7L2	1	2	2	1	2	1	2	1	0	2	2	2	1	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	
ZIC2	2	1	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
