	ALOX5	BCL11B	CBR3	CYP1B1	ELOVL2	ETS1	FOSL2	INSM2	KLF5	PRDM1	RUNX1	SCRT2	SPHK1	SPTLC3	ZFP3	ZIC2	ZNF311
BCL11B	0	0	2	2	2	1	2	2	1	2	2	0	2	0	2	2	2	
ETS1	2	2	0	2	2	1	2	2	2	2	2	2	2	1	2	2	2	
FOSL2	2	1	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	
INSM2	2	2	2	2	2	2	2	0	1	2	2	2	2	0	2	2	2	
KLF5	2	0	2	2	2	2	2	2	0	2	2	0	2	0	2	0	2	
PRDM1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	
RUNX1	2	0	0	1	0	0	2	0	0	1	2	0	2	0	1	0	2	
SCRT2	2	2	2	2	2	1	2	1	2	2	2	2	2	0	2	2	2	
ZFP3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	2	
ZIC2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	
ZNF311	0	0	2	0	0	0	0	0	0	0	1	0	2	0	2	0	0	
