	ACADM	AKR1C3	B4GALT6	DRAP1	ELOVL6	LRTOMT	NFE2L2	NFIA	PAFAH1B3	PHF21A	SKIL	SMARCA4	SOAT1	SRD5A3	TBXAS1	TRIM25	ZBTB2	ZBTB20	ZFP91	ZHX1	ZNF10	ZNF24	ZNF623	ZNF768
DRAP1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
NFE2L2	2	2	2	2	1	2	2	1	1	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	
NFIA	0	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	
PHF21A	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	0	2	2	2	
SKIL	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
SMARCA4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	
TRIM25	0	1	0	2	0	0	2	1	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	
ZBTB2	2	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	
ZBTB20	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
ZFP91	2	1	2	1	1	2	2	2	2	2	0	2	1	2	2	1	2	0	2	2	2	2	2	2	
ZHX1	2	0	0	2	2	1	2	2	0	2	2	2	2	0	2	2	2	1	2	0	2	2	2	2	
ZNF10	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	1	1	0	2	2	2	2	2	
ZNF24	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
ZNF623	0	0	1	1	1	1	2	0	2	2	2	2	2	0	1	1	1	0	0	2	1	2	2	2	
ZNF768	0	0	2	2	0	0	0	1	2	2	0	2	2	0	1	2	2	1	0	0	2	0	0	2	
