	ACACA	ACADVL	ACOT7	AFF1	AKR1C2	BRCA1	CRLS1	CYP51A1	DACH1	DHRS11	E2F4	ELF3	ELF4	ELOVL6	ETV1	GCDH	GTF2F1	HOMEZ	HSD3B1	IKZF2	LCAT	LPCAT1	LPIN3	LRTOMT	MTA1	NR2F1	NR2F2	OSR2	PAF1	PBX2	PCYT1B	PLA2G6	PLD1	PLD2	PNPLA2	PTDSS2	REST	RNF2	RXRB	SQLE	SREBF1	SREBF2	TCF7L2	TEAD1	TFAP4	THRB	U2AF2	XRCC3	ZNF174	ZNF217	ZNF514	ZNF623	ZNF680	ZNF687
AFF1	2	0	2	2	1	2	1	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	1	2	0	0	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	
BRCA1	2	2	2	2	1	2	0	2	0	2	2	1	0	0	0	2	2	2	2	0	2	2	2	2	2	1	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	1	2	1	0	2	2	2	2	2	2	0	2	
DACH1	1	2	2	2	2	2	1	2	0	2	2	2	2	1	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	0	2	2	2	0	2	1	2	2	2	1	2	1	2	2	1	2	2	2	2	2	2	2	2	
E2F4	2	2	2	0	0	2	0	2	0	0	2	0	2	2	0	2	2	2	0	0	2	0	2	2	2	0	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	
ELF3	2	2	2	2	2	2	2	2	0	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
ELF4	0	2	0	2	0	2	0	2	1	2	2	0	2	0	1	2	2	2	2	0	2	2	2	2	2	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	2	2	2	1	2	2	2	2	
ETV1	2	2	2	2	2	2	1	2	0	2	2	2	2	2	1	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	
GTF2F1	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	
HOMEZ	2	0	0	2	2	2	2	2	1	0	2	1	0	2	1	2	2	2	1	1	2	1	2	2	0	2	1	0	2	2	0	2	2	0	2	2	2	2	2	2	2	0	1	2	1	2	2	2	2	2	2	2	2	2	
IKZF2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	
MTA1	0	2	2	2	2	2	0	2	0	0	2	2	2	2	2	2	2	2	0	1	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	
NR2F1	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
NR2F2	1	2	2	2	1	2	0	2	1	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	1	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
OSR2	2	2	2	2	0	2	0	2	2	2	2	2	2	1	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
PAF1	1	0	0	0	1	2	0	0	0	2	2	0	0	0	0	2	2	2	0	0	2	1	2	0	2	1	0	0	2	2	0	2	2	2	2	0	0	0	2	0	2	1	0	0	0	2	2	2	2	2	0	2	2	2	
PBX2	0	2	0	2	1	2	0	0	0	0	2	0	2	0	2	2	2	2	0	0	2	1	2	2	2	2	1	2	2	2	0	2	2	0	0	2	0	2	2	1	2	2	2	1	2	1	2	2	2	2	0	2	2	2	
REST	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
RNF2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
RXRB	2	2	2	2	2	2	2	2	0	2	2	2	1	2	1	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	
SREBF1	2	2	0	2	1	0	0	2	0	2	2	2	0	2	0	2	2	2	0	1	2	1	2	2	2	0	1	2	2	2	0	2	0	1	2	1	0	2	2	2	2	2	1	1	0	1	2	2	2	2	0	2	0	2	
SREBF2	2	0	1	0	0	2	0	2	0	2	2	1	0	0	0	2	2	2	0	0	2	2	2	2	2	0	2	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	1	2	0	0	2	2	2	2	2	2	0	2	
TCF7L2	1	2	2	2	2	1	2	2	2	0	2	2	2	0	1	2	2	2	0	1	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	0	2	2	2	2	2	0	2	2	1	1	2	2	2	2	2	2	2	2	
TEAD1	2	2	2	2	2	2	2	2	1	0	2	2	0	2	1	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	
TFAP4	2	2	2	2	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
THRB	2	0	2	2	1	2	2	2	0	0	2	2	0	2	1	2	2	2	1	2	2	2	1	2	2	2	1	0	2	2	1	2	2	1	0	2	0	0	2	2	2	2	1	2	1	2	2	2	2	2	1	2	2	2	
U2AF2	0	2	2	0	0	2	0	0	0	2	2	0	0	0	0	2	2	2	0	0	2	2	2	2	0	0	2	0	2	2	0	2	2	0	0	0	0	0	2	0	2	2	0	0	0	2	2	2	2	2	2	2	2	2	
XRCC3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	2	
ZNF174	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	2	0	2	0	0	0	0	0	0	2	2	0	2	0	2	0	0	1	2	2	0	1	0	1	0	2	
ZNF217	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
ZNF514	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	1	0	0	0	2	2	0	1	0	0	0	0	0	2	2	0	2	0	0	0	0	0	2	0	2	0	0	1	0	2	
ZNF623	2	0	1	2	0	2	0	2	0	2	2	1	2	1	1	2	2	2	0	0	2	1	2	1	2	2	0	0	2	2	1	2	1	2	0	0	0	1	2	2	2	1	1	1	0	2	2	1	2	2	1	2	0	2	
ZNF680	0	3	2	2	0	0	0	2	0	0	1	1	0	1	0	2	2	1	1	0	0	0	1	0	1	1	2	0	2	2	2	2	2	0	0	0	0	1	2	0	2	1	1	1	0	1	2	1	0	1	0	2	2	2	
ZNF687	2	2	2	2	2	0	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
