	ALOX15B	AMACR	BDH2	CYP1A2	CYP2R1	DGKI	EGR1	ELK1	ETNPPL	ETV1	FADS1	HADH	HSD17B7	KDM4B	KLF10	LEF1	LYPLA2	MGAT3	NEU1	NFIB	PNPLA6	PNPLA7	RBPJ	SP1	SUZ12	TAZ	TEAD1	UGT1A1	ZKSCAN1	ZNF16	ZNF197	ZNF207	ZNF3	ZNF662	ZNF664	ZNF7
EGR1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
ELK1	2	0	2	2	0	2	2	2	0	0	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	
ETV1	2	2	2	0	2	2	2	2	2	1	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	
KDM4B	2	0	2	1	2	2	1	0	0	0	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	
KLF10	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	
LEF1	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	1	0	2	2	2	2	2	2	0	2	2	2	2	2	2	1	2	
NFIB	2	0	2	2	2	2	2	0	0	0	2	1	0	2	2	1	1	2	2	2	0	2	2	2	2	2	2	2	2	2	1	0	2	2	1	2	
RBPJ	2	0	2	2	2	2	2	0	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	
SP1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
SUZ12	2	0	2	0	0	0	0	0	0	0	2	0	0	2	2	0	2	1	0	0	2	1	1	2	2	2	0	0	2	2	0	2	2	0	0	2	
TEAD1	2	2	2	1	1	2	1	0	2	1	2	1	1	2	2	0	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	
ZKSCAN1	2	2	2	2	2	2	2	2	1	0	2	0	1	2	2	1	2	2	2	1	2	2	0	2	2	2	2	0	2	2	2	2	2	2	1	2	
ZNF16	0	2	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	2	1	0	2	2	0	0	0	0	0	1	2	2	0	0	0	
ZNF197	2	0	2	0	2	2	2	0	2	1	2	0	0	2	2	0	2	1	0	0	2	0	0	2	2	2	2	0	2	2	2	2	2	2	1	2	
ZNF207	2	2	2	0	0	1	1	0	2	0	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	1	2	
ZNF3	0	0	2	0	0	1	0	0	0	0	2	2	1	2	2	0	2	2	2	0	0	2	2	2	2	0	2	2	1	2	2	2	2	2	0	2	
ZNF662	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	1	
ZNF664	2	0	2	2	0	0	1	2	1	1	2	2	2	2	2	2	2	1	2	2	1	1	2	2	2	2	1	0	2	2	1	2	2	1	1	2	
ZNF7	2	0	2	0	1	2	1	0	2	1	2	1	1	2	0	0	2	1	2	2	0	0	0	2	2	0	1	0	0	2	1	2	2	2	0	2	
